Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-02-22,90.0999984741211,90.0999984741211,76.55000305175781,79.55000305175781,63.70383834838867,53656752,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.17700842432627614
2007-02-23,80.9000015258789,82.19999694824219,78.6500015258789,80.05000305175781,64.10423278808594,17554890,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.045136622421999506
2007-02-26,80.69999694824219,85.5,78.0999984741211,81.8499984741211,65.5456771850586,13470061,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.09475034149111977
2007-02-27,82.0,84.3499984741211,80.19999694824219,82.5999984741211,66.14627075195312,8050388,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.05174565690516358
2007-02-28,78.9000015258789,80.69999694824219,74.0999984741211,78.4000015258789,62.78290939331055,4480363,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.08906880715289214
2007-03-01,80.5,80.55000305175781,77.80000305175781,78.05000305175781,62.502628326416016,3122780,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.035347042315287756
2007-03-02,86.30000305175781,86.30000305175781,77.05000305175781,79.0,63.263389587402344,2978973,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.12005190958638089
2007-03-05,76.5,77.9000015258789,68.5999984741211,70.75,56.65676498413086,2930744,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.1355685606212685
2007-03-06,74.1500015258789,75.0,68.6500015258789,70.9000015258789,56.77688980102539,3020075,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.0924981548868188
2007-03-07,72.9000015258789,72.9000015258789,64.0,64.6500015258789,51.77187728881836,2233027,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.1390625238418579
2007-03-08,68.44999694824219,68.44999694824219,61.150001525878906,65.4000015258789,52.372474670410156,2130798,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.11937849943100813
2007-03-09,66.0,66.75,63.54999923706055,64.05000305175781,51.2913932800293,1594394,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.050354064537475304
2007-03-12,64.69999694824219,70.19999694824219,63.75,69.55000305175781,55.69580841064453,2282968,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.10117642271752451
2007-03-13,70.19999694824219,81.30000305175781,69.5999984741211,78.05000305175781,62.502628326416016,7450148,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.16810351773193002
2007-03-14,75.0,75.0,71.3499984741211,72.25,57.85797119140625,2599215,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.051156294378937865
2007-03-15,82.0,82.0,73.44999694824219,74.3499984741211,59.53965377807617,2611703,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.116405764560926
2007-03-16,75.0,75.69999694824219,71.80000305175781,73.0,58.45856475830078,1024200,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.05431746143064955
2007-03-19,73.69999694824219,74.9000015258789,72.69999694824219,73.5,58.858970642089844,731335,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.030261412241914993
2007-03-20,74.0999984741211,75.0,71.80000305175781,72.19999694824219,57.81793212890625,899272,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.04456820072744892
2007-03-21,72.6500015258789,76.8499984741211,71.5,75.5999984741211,60.54066467285156,1334608,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.07482515348421111
2007-03-22,78.0,78.94999694824219,76.5,77.0999984741211,61.74187088012695,1475778,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.03202610389859069
2007-03-23,78.0,78.0,73.4000015258789,73.94999694824219,59.219329833984375,870374,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.06267027763615585
2007-03-26,74.5,74.5,68.9000015258789,69.9000015258789,55.9760856628418,1055304,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.08127718940641429
2007-03-28,69.0,72.30000305175781,68.30000305175781,71.19999694824219,57.01712417602539,675802,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.05856515111674001
2007-03-29,70.94999694824219,74.0,70.5,73.69999694824219,59.01913070678711,638136,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.04964539007092199
2007-03-30,73.19999694824219,74.0,72.0,72.25,57.85797119140625,300215,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.027777777777777776
2007-04-02,71.0,72.0,70.0,70.19999694824219,56.216331481933594,211212,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.02857142857142857
2007-04-03,71.0,71.9000015258789,69.5,71.05000305175781,56.89700698852539,266046,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.0345323960558116
2007-04-04,71.4000015258789,73.0,70.55000305175781,71.30000305175781,57.09720993041992,358760,FSL,Technology,Information Technology Services,N/A,EQUITY,0.015,41.845,0.937,7.35,0.03472709911075112
