Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2018-02-08,1525.0,1735.0,1525.0,1700.449951171875,1631.7430419921875,8538388,GALAXYSURF,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0070999996,8.6,2.822,85.03,0.1377049180327869
2018-02-09,1696.0,1742.0,1650.0,1665.949951171875,1598.6370849609375,839072,GALAXYSURF,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0070999996,8.6,2.822,85.03,0.055757575757575756
2018-02-12,1664.0,1698.4000244140625,1635.0,1680.0,1612.119384765625,408617,GALAXYSURF,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0070999996,8.6,2.822,85.03,0.03877677334193425
2018-02-14,1689.0,1694.050048828125,1636.050048828125,1643.949951171875,1577.52587890625,147006,GALAXYSURF,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0070999996,8.6,2.822,85.03,0.03545123820725681
2018-02-15,1654.0,1673.0,1605.0,1656.949951171875,1590.0006103515625,160761,GALAXYSURF,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0070999996,8.6,2.822,85.03,0.04236760124610592
2018-02-16,1648.300048828125,1656.0,1611.0,1623.449951171875,1557.8543701171875,82293,GALAXYSURF,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0070999996,8.6,2.822,85.03,0.027932960893854747
2018-02-19,1620.0,1627.800048828125,1585.0,1596.4000244140625,1531.8973388671875,95057,GALAXYSURF,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0070999996,8.6,2.822,85.03,0.027003185380520506
2018-02-20,1586.25,1609.4000244140625,1560.0,1570.199951171875,1506.7557373046875,91458,GALAXYSURF,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0070999996,8.6,2.822,85.03,0.03166668231670673
2018-02-21,1578.8499755859375,1617.949951171875,1561.300048828125,1601.0,1536.311279296875,83674,GALAXYSURF,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0070999996,8.6,2.822,85.03,0.03628380232631779
2018-02-22,1597.5,1609.0,1578.5999755859375,1596.6500244140625,1532.1370849609375,36259,GALAXYSURF,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0070999996,8.6,2.822,85.03,0.019257585762206007
2018-02-23,1595.0,1671.0999755859375,1595.0,1614.5,1549.26611328125,88600,GALAXYSURF,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0070999996,8.6,2.822,85.03,0.04771158343945925
