Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-01-31,83.5,84.375,74.75,74.9749984741211,43.15871810913086,7476,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.12876254180602006
2007-02-01,74.0250015258789,77.0,70.5,76.9749984741211,44.309993743896484,2082,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.09219858156028368
2007-02-02,76.0,76.0,73.05000305175781,73.05000305175781,42.05061721801758,484,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.040383255646848346
2007-02-05,78.44999694824219,84.4000015258789,77.5,77.92500305175781,44.85686492919922,1180,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.08903227775327621
2007-02-06,84.0,84.0,78.05000305175781,78.05000305175781,44.92881393432617,90,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.07623314177574762
2007-02-07,74.0,83.0,74.0,75.7750015258789,43.619232177734375,4600,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.12162162162162163
2007-02-08,79.625,79.625,78.0,78.05000305175781,44.92881393432617,650,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.020833333333333332
2007-02-09,71.17500305175781,80.0,71.17500305175781,75.0250015258789,43.18750762939453,1030,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.12399011689293123
2007-02-12,71.80000305175781,71.80000305175781,71.80000305175781,71.80000305175781,41.331058502197266,50,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-02-13,71.80000305175781,71.80000305175781,71.80000305175781,71.80000305175781,41.331058502197266,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-02-14,71.80000305175781,71.80000305175781,71.80000305175781,71.80000305175781,41.331058502197266,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-02-15,71.80000305175781,71.80000305175781,71.80000305175781,71.80000305175781,41.331058502197266,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-02-19,71.5250015258789,74.5,71.5250015258789,74.5,42.885284423828125,404,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.04159382608394201
2007-02-20,72.0,77.5,72.0,74.0,42.59746551513672,26000,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0763888888888889
2007-02-21,74.0,74.0,74.0,74.0,42.59746551513672,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-02-22,72.0,77.0,72.0,74.6500015258789,42.97163009643555,16000,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.06944444444444445
2007-02-23,71.5,77.75,71.4000015258789,73.0,42.021827697753906,52250,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.08893555095821026
2007-02-26,70.6500015258789,70.6500015258789,70.5,70.5,40.58272933959961,400,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.002127681218140514
2007-02-27,70.0999984741211,77.2249984741211,70.0999984741211,70.375,40.510765075683594,140,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.10164051576449527
2007-02-28,69.0,74.5,69.0,71.5,41.158363342285156,4400,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.07971014492753623
2007-03-01,69.94999694824219,74.05000305175781,69.94999694824219,70.42500305175781,40.53955078125,8250,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.058613385023437894
2007-03-02,71.0,71.0,67.5999984741211,69.625,40.079036712646484,150,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0502958816956262
2007-03-05,62.5,75.0,62.5,69.5999984741211,40.06465148925781,28860,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.2
2007-03-06,69.5999984741211,69.5999984741211,69.5999984741211,69.5999984741211,40.06465148925781,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-03-07,68.0,69.25,67.0,69.25,39.8631706237793,520,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.033582089552238806
2007-03-08,70.5,70.5,67.5,69.0,39.71925735473633,4450,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.044444444444444446
2007-03-09,69.0,70.0,69.0,70.0,40.29489517211914,110,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.014492753623188406
2007-03-12,70.0,70.0,70.0,70.0,40.29489517211914,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-03-13,67.0250015258789,73.75,67.0250015258789,73.0,42.021827697753906,2130,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.10033567058591586
2007-03-14,73.0,73.0,69.0,69.0,39.71925735473633,24,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.057971014492753624
2007-03-15,71.0,72.1500015258789,71.0,71.9749984741211,41.431793212890625,242,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.01619720458984375
2007-03-16,70.0,70.0,67.5,67.5,38.85579299926758,256,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.037037037037037035
2007-03-19,65.0,77.0,65.0,67.07499694824219,38.611148834228516,5720,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.18461538461538463
2007-03-20,68.9000015258789,68.9000015258789,67.0,68.0,39.143619537353516,2002,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.028358231729535915
2007-03-21,68.0,68.0,68.0,68.0,39.143619537353516,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-03-22,70.94999694824219,70.94999694824219,67.0999984741211,67.0999984741211,38.62553787231445,1600,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.05737702774473159
2007-03-23,69.94999694824219,69.94999694824219,66.55000305175781,66.55000305175781,38.30894470214844,4000,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.05108931240529176
2007-03-26,66.5,70.0,66.0,66.0,37.99233627319336,2942,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.06060606060606061
2007-03-28,65.5,65.5,64.25,64.5,37.128875732421875,1600,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.019455252918287938
2007-03-29,64.5,64.5,64.5,64.5,37.128875732421875,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-03-30,69.0,69.0,69.0,69.0,39.71925735473633,2,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-04-02,65.0,65.0,65.0,65.0,37.41669464111328,100,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-04-03,65.0,65.0,65.0,65.0,37.41669464111328,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-04-04,64.125,70.0,64.125,67.2750015258789,38.72627639770508,252,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.09161793372319688
2007-04-05,65.5,66.5,65.5,66.5,38.2801513671875,40,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.015267175572519083
2007-04-09,69.5,69.5,65.5,65.5250015258789,37.71890640258789,228,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.061068702290076333
2007-04-10,63.54999923706055,66.0,63.54999923706055,65.6500015258789,37.790863037109375,550,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.03855233347525648
2007-04-11,65.6500015258789,65.6500015258789,65.6500015258789,65.6500015258789,37.790863037109375,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-04-12,65.6500015258789,65.6500015258789,65.6500015258789,65.6500015258789,37.790863037109375,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-04-13,65.6500015258789,65.6500015258789,65.6500015258789,65.6500015258789,37.790863037109375,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-04-16,65.6500015258789,65.6500015258789,65.6500015258789,65.6500015258789,37.790863037109375,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-04-17,65.6500015258789,65.6500015258789,65.6500015258789,65.6500015258789,37.790863037109375,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-04-18,68.75,68.75,65.25,65.25,37.56060791015625,148,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.05363984674329502
2007-04-19,65.5,65.5,65.5,65.5,37.70452117919922,200,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-04-20,65.5,65.5,65.5,65.5,37.70452117919922,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-04-23,65.5,65.5,65.5,65.5,37.70452117919922,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
2007-04-24,65.5,65.5,65.5,65.5,37.70452117919922,0,GANDHITUBE,Industrials,Metal Fabrication,N/A,EQUITY,0.0159,0.127,6.79,45.73,0.0
