Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2015-03-09,158.89999389648438,174.0,154.0,166.0500030517578,158.21359252929688,19462,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.12987012987012986
2015-03-10,165.39999389648438,167.60000610351562,158.0,158.5,151.0198516845703,52898,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.060759532300731806
2015-03-11,160.0,160.60000610351562,156.0,157.75,150.30526733398438,32743,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.029487218612279646
2015-03-12,159.5,160.0,151.1999969482422,152.85000610351562,145.63653564453125,21658,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.05820107955934796
2015-03-13,160.6999969482422,180.0,144.0,149.9499969482422,142.8733673095703,37711,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.25
2015-03-16,152.0,153.89999389648438,148.0,148.60000610351562,141.5871124267578,7309,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.03986482362489443
2015-03-17,147.10000610351562,153.10000610351562,147.0,151.25,144.112060546875,18786,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.04149664015997024
2015-03-18,149.6999969482422,153.75,145.0,151.0,143.87384033203125,4096,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.0603448275862069
2015-03-19,151.0,153.9499969482422,148.5500030517578,151.9499969482422,144.77903747558594,8780,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.03635135500201173
2015-03-20,151.0,156.39999389648438,141.6999969482422,144.75,137.91879272460938,21697,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.10374027709832313
2015-03-23,146.0,146.0,140.0,142.9499969482422,136.20376586914062,2960,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.04285714285714286
2015-03-24,142.4499969482422,148.75,140.5,145.0,138.15699768066406,78214,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.05871886120996441
2015-03-25,141.1999969482422,145.10000610351562,140.5,141.5,134.82217407226562,3114,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.03274025696452402
2015-03-26,141.0,141.0,134.10000610351562,135.9499969482422,129.53408813476562,2864,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.051454090845887604
2015-03-27,135.0,143.89999389648438,132.0,136.8000030517578,130.34396362304688,28219,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.09015146891276042
2015-03-30,135.0500030517578,154.0,135.0,146.6999969482422,139.77674865722656,2511,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.14074074074074075
2015-03-31,145.0,153.0,143.25,145.14999389648438,138.2999267578125,7518,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.06806282722513089
2015-04-01,151.0,153.0,148.0,152.25,145.06483459472656,28140,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.033783783783783786
2015-04-06,151.0,157.0,149.0,153.0,145.77944946289062,749,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.053691275167785234
2015-04-07,153.0,153.0,143.0,147.64999389648438,140.68194580078125,1547,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.06993006993006994
2015-04-08,149.0,155.0,143.0,144.1999969482422,137.39474487304688,17020,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.08391608391608392
2015-04-09,143.5500030517578,144.35000610351562,139.0,139.1999969482422,132.63070678710938,12244,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.038489252543277876
2015-04-10,140.0,141.8000030517578,140.0,140.5,133.86935424804688,1506,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.012857164655412947
2015-04-13,140.5,144.0,140.0,140.4499969482422,133.8217315673828,3410,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.02857142857142857
2015-04-15,144.6999969482422,146.0,134.0,136.8000030517578,130.34396362304688,22231,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.08955223880597014
2015-04-16,139.6999969482422,154.6999969482422,139.6999969482422,145.5500030517578,138.6810302734375,157783,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.10737294436418197
2015-04-17,146.0,150.0,137.25,142.6999969482422,135.96554565429688,31986,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.09289617486338798
2015-04-20,145.0,149.8000030517578,141.10000610351562,144.0,137.20419311523438,1430153,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.06165837400360977
2015-04-21,151.6999969482422,152.0,142.5500030517578,144.5,137.6805877685547,154241,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.06629250610967038
2015-04-22,147.9499969482422,147.9499969482422,140.5,143.0500030517578,136.29904174804688,235158,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.05302488931133229
2015-04-23,145.75,162.85000610351562,141.60000610351562,159.6999969482422,152.1632537841797,174034,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.15007061500029417
2015-04-24,160.75,160.75,147.0,148.5500030517578,141.53945922851562,86894,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.0935374149659864
2015-04-27,151.3000030517578,151.35000610351562,141.1999969482422,143.60000610351562,136.82310485839844,39932,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.07188391908389341
2015-04-28,145.0,147.35000610351562,143.25,144.0,137.20419311523438,12921,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.0286213340559555
2015-04-29,144.0,160.89999389648438,144.0,158.9499969482422,151.4486541748047,439818,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.11736106872558594
2015-04-30,154.0500030517578,171.1999969482422,152.1999969482422,169.4499969482422,161.45309448242188,134843,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.12483574494723035
2015-05-04,175.8000030517578,178.89999389648438,165.0500030517578,167.4499969482422,159.5474853515625,45244,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.08391390844375424
2015-05-05,170.0,172.85000610351562,161.64999389648438,169.89999389648438,161.88186645507812,48523,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.06928557148108146
2015-05-06,169.8000030517578,169.8000030517578,157.9499969482422,158.9499969482422,151.4486541748047,25338,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.07502378178201986
2015-05-07,161.0,169.39999389648438,155.3000030517578,160.6999969482422,153.11605834960938,25852,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.09079195471765296
2015-05-08,164.39999389648438,165.4499969482422,160.10000610351562,164.0500030517578,156.3079833984375,14611,GANECOS,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0014,37.904,4.643,18.12,0.03341655615720231
