Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2023-07-10,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,71348,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-07-17,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,128602,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-07-24,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,472848,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-08-07,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,20709,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-08-14,1.25,1.25,1.25,1.25,1.25,121256,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-08-21,1.25,1.25,1.25,1.25,1.25,10830,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-08-28,1.25,1.25,1.25,1.25,1.25,26282,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-09-04,1.25,1.25,1.25,1.25,1.25,617629,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-09-11,1.25,1.25,1.2000000476837158,1.2000000476837158,1.2000000476837158,1400712,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.041666625274553885
2023-09-18,1.2000000476837158,1.2000000476837158,1.149999976158142,1.149999976158142,1.149999976158142,881449,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.04347832396711109
2023-09-25,1.100000023841858,1.149999976158142,1.100000023841858,1.100000023841858,1.100000023841858,572479,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.045454501120513115
2023-10-03,1.100000023841858,1.100000023841858,1.0499999523162842,1.100000023841858,1.100000023841858,92962,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.04761911790117163
2023-10-09,1.100000023841858,1.149999976158142,1.0499999523162842,1.149999976158142,1.149999976158142,118335,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0952381222696814
2023-10-16,1.149999976158142,1.149999976158142,1.100000023841858,1.100000023841858,1.100000023841858,124214,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.045454501120513115
2023-10-23,1.100000023841858,1.100000023841858,1.0499999523162842,1.0499999523162842,1.0499999523162842,23090,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.04761911790117163
2023-10-30,1.0499999523162842,1.0499999523162842,1.0,1.0,1.0,390824,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.04999995231628418
2023-11-06,1.0,1.0,1.0,1.0,1.0,1108573,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-11-13,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,69706,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-11-20,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,15944,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-11-28,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,13052,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-12-04,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,57208,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-12-11,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,7026,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
2023-12-12,1.0499999523162842,1.100000023841858,1.0499999523162842,1.100000023841858,1.100000023841858,99907,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.04761911790117163
2023-12-13,1.149999976158142,1.149999976158142,1.149999976158142,1.149999976158142,1.149999976158142,14965,GATECH,Financial Services,Asset Management,N/A,EQUITY,,124.071,4.003,0.03,0.0
