Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2006-10-04,83.5,95.4000015258789,83.5,93.8499984741211,69.15982818603516,17056536,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.14251498833387913
2006-10-05,94.0,100.3499984741211,94.0,96.3499984741211,71.00212860107422,8033800,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.06755317525660738
2006-10-06,96.5,96.5,91.25,92.0,67.79653930664062,1153400,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.057534246575342465
2006-10-09,91.0,95.94999694824219,90.0,93.80000305175781,69.12298583984375,1638700,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.06611107720269097
2006-10-10,95.0,99.25,94.19999694824219,95.30000305175781,70.22836303710938,2111800,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.05360937595924251
2006-10-11,95.94999694824219,97.80000305175781,92.0999984741211,92.8499984741211,68.42292022705078,1205000,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.061889301542587385
2006-10-12,93.3499984741211,94.5999984741211,92.30000305175781,93.94999694824219,69.2335205078125,701500,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.024918692809506673
2006-10-13,95.05000305175781,112.25,94.30000305175781,107.94999694824219,79.55038452148438,10472000,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.19034990845535915
2006-10-16,108.25,112.19999694824219,102.1500015258789,104.0,76.63955688476562,4700700,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.09838468205815144
2006-10-17,104.80000305175781,109.25,101.69999694824219,103.94999694824219,76.60269927978516,3537700,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.07423798700407246
2006-10-18,103.0,107.9000015258789,102.6500015258789,105.55000305175781,77.78178405761719,2062400,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.05114466558167982
2006-10-19,107.0,107.0,100.80000305175781,101.69999694824219,74.94464111328125,737100,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.06150790437038651
2006-10-20,102.80000305175781,105.75,101.6500015258789,102.3499984741211,75.42365264892578,773800,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.04033446544589851
2006-10-23,102.5,104.9000015258789,101.5999984741211,102.44999694824219,75.49732971191406,684600,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.03248034548542211
2006-10-26,103.0,103.75,99.5,99.80000305175781,73.54450225830078,503800,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.04271356783919598
2006-10-27,100.80000305175781,102.9000015258789,98.0999984741211,98.4000015258789,72.5128173828125,468000,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.048929695478273215
2006-10-30,98.80000305175781,99.3499984741211,92.69999694824219,93.0999984741211,68.60714721679688,557600,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.07173680415104917
2006-10-31,94.0,94.19999694824219,87.25,87.94999694824219,64.81200408935547,519500,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.07965612548128581
2006-11-01,88.4000015258789,93.80000305175781,88.19999694824219,92.5,68.16499328613281,736400,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.06349213488977601
2006-11-02,92.69999694824219,93.69999694824219,90.5,90.94999694824219,67.02277374267578,417000,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.03535908230101865
2006-11-03,91.4000015258789,92.30000305175781,89.0,90.25,66.50692749023438,537600,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.03707868597480688
2006-11-06,92.9000015258789,92.9000015258789,89.8499984741211,90.69999694824219,66.83853149414062,378500,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.033945499204836214
2006-11-07,91.25,91.5999984741211,88.05000305175781,88.30000305175781,65.06993103027344,237000,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.040317947749263706
2006-11-08,88.5,91.44999694824219,86.1500015258789,87.30000305175781,64.33301544189453,300400,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.06152054937307455
2006-11-09,87.5,88.8499984741211,87.0,87.6500015258789,64.59092712402344,133600,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.02126435027725395
2006-11-10,88.5,89.44999694824219,87.05000305175781,87.55000305175781,64.51725006103516,217600,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.027570290779397183
2006-11-13,85.44999694824219,88.55000305175781,85.44999694824219,86.69999694824219,63.89086151123047,145000,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.03627859817705232
2006-11-14,87.44999694824219,87.80000305175781,84.05000305175781,84.80000305175781,62.49072265625,154200,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.04461629820156887
2006-11-15,85.75,93.5,83.5999984741211,91.1500015258789,67.1701431274414,1631800,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.11842107304515698
2006-11-16,92.0,95.80000305175781,90.0999984741211,90.80000305175781,66.9122314453125,1081300,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.06326309294304704
2006-11-17,91.6500015258789,91.69999694824219,86.0,87.05000305175781,64.1487808227539,318300,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.0662790342818859
2006-11-20,86.5,86.6500015258789,82.0,83.94999694824219,61.864322662353516,281000,GEECEE,Real Estate,Real Estate - Development,N/A,EQUITY,0.0050999997,,6.985,17.8,0.056707335681450075
