Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,50.0,55.599998474121094,48.400001525878906,55.599998474121094,39.624267578125,558368,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.14876026283578594
2002-07-02,62.0,62.0,57.5,57.849998474121094,41.22777557373047,664431,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.0782608695652174
2002-07-03,69.0,69.0,55.599998474121094,56.70000076293945,40.40821075439453,224624,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.24100722830263943
2002-07-04,68.05000305175781,68.05000305175781,57.0,61.54999923706055,43.86463928222656,492292,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.19385970266241775
2002-07-05,63.0,70.3499984741211,62.0,69.3499984741211,49.423439025878906,615034,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.1346773947438886
2002-07-08,69.0,70.0,65.5,66.0999984741211,47.10727310180664,214726,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.06870229007633588
2002-07-09,66.75,67.94999694824219,62.0,62.54999923706055,44.57731246948242,131332,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.09596769271358367
2002-07-10,61.0,64.5,60.04999923706055,62.150001525878906,44.29224395751953,112897,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.07410492621943422
2002-07-11,61.0,65.8499984741211,60.599998474121094,64.4000015258789,45.895748138427734,224162,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.08663366554773073
2002-07-12,66.9000015258789,68.4000015258789,62.0,67.19999694824219,47.89120864868164,271918,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.103225831062563
2002-07-15,68.4000015258789,68.44999694824219,63.849998474121094,64.5999984741211,46.03826904296875,138983,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.07204383060377847
2002-07-16,60.0,63.75,60.0,61.900001525878906,44.114078521728516,118125,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.0625
2002-07-17,72.0,72.0,57.599998474121094,58.04999923706055,41.370304107666016,105026,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.2500000331136924
2002-07-18,59.400001525878906,60.45000076293945,58.099998474121094,58.599998474121094,41.762271881103516,118001,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.040447544759662904
2002-07-19,70.3499984741211,70.3499984741211,57.25,60.79999923706055,43.330135345458984,108259,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.2288209340457833
2002-07-22,59.45000076293945,64.19999694824219,58.54999923706055,60.29999923706055,42.97379684448242,156714,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.09649868120929618
2002-07-23,55.0,59.0,53.150001525878906,55.04999923706055,39.2322998046875,199813,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.11006581949527716
2002-07-24,65.0,65.0,54.5,54.900001525878906,39.125404357910156,78377,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.1926605504587156
2002-07-25,59.0,59.0,53.54999923706055,54.0,38.48400115966797,68820,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.10177405864774786
2002-07-26,54.0,54.0,49.54999923706055,50.099998474121094,35.70460510253906,108544,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.08980829125040851
2002-07-29,50.0,50.5,47.099998474121094,49.04999923706055,34.956298828125,62943,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.0721868712532342
2002-07-30,54.0,54.0,48.0,48.349998474121094,34.457435607910156,52248,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.125
2002-07-31,48.0,51.20000076293945,46.5,50.099998474121094,35.70460510253906,92162,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.10107528522450437
2002-08-01,51.5,52.25,49.5,50.04999923706055,35.66896438598633,39057,GEPIL,Industrials,Engineering & Construction,N/A,EQUITY,,236.39,0.97,-25.51,0.05555555555555555
