Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2020-11-20,1710.0,1850.0,1700.0,1819.550048828125,1819.550048828125,11310647,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.08823529411764706
2020-11-23,1844.0,2183.449951171875,1840.0,2089.050048828125,2089.050048828125,3893237,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.1866575821586277
2020-11-24,2110.0,2174.800048828125,1960.199951171875,2048.5,2048.5,1961368,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.10947867717676182
2020-11-25,2077.0,2222.0,2036.0999755859375,2053.0,2053.0,2771893,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.09130201200486986
2020-11-26,2074.39990234375,2155.89990234375,2070.0,2106.699951171875,2106.699951171875,1211725,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.041497537364130435
2020-11-27,2125.0,2151.0,2092.0,2113.0,2113.0,780377,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.02820267686424474
2020-12-01,2120.0,2220.0,2110.0,2191.050048828125,2191.050048828125,990336,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.052132701421800945
2020-12-02,2205.0,2212.89990234375,2141.10009765625,2184.75,2184.75,649329,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.033534071931571756
2020-12-03,2198.0,2239.0,2174.0,2202.39990234375,2202.39990234375,399313,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.029898804047838085
2020-12-04,2212.0,2220.0,2169.0,2178.449951171875,2178.449951171875,409649,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.02351313969571231
2020-12-07,2179.0,2438.85009765625,2164.0,2352.800048828125,2352.800048828125,967392,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.1270102114862523
2020-12-08,2368.0,2396.85009765625,2292.0,2305.5,2305.5,317512,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.04574611590586824
2020-12-09,2320.0,2349.949951171875,2275.0,2279.5,2279.5,192250,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.03294503348214286
2020-12-10,2278.0,2278.449951171875,2205.0,2250.050048828125,2250.050048828125,255923,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.0333106354520975
2020-12-11,2258.0,2274.60009765625,2227.85009765625,2241.60009765625,2241.60009765625,177900,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.02098435619577012
2020-12-14,2245.0,2273.0,2221.0,2224.39990234375,2224.39990234375,167368,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.02341287708239532
2020-12-15,2228.0,2230.0,2178.0,2197.14990234375,2197.14990234375,246370,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.023875114784205693
2020-12-16,2199.0,2252.199951171875,2190.0,2196.199951171875,2196.199951171875,411542,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.028401804188070777
2020-12-17,2199.0,2203.949951171875,2115.5,2178.300048828125,2178.300048828125,1643980,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.041810423621779724
2020-12-18,2180.0,2255.0,2164.0,2226.5,2226.5,885005,GLAND,Healthcare,Drug Manufacturers - General,N/A,EQUITY,0.011,4.266,4.037,46.88,0.04205175600739371
