Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2021-08-06,750.0,799.0,738.0,748.5,658.78564453125,20222318,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.08265582655826559
2021-08-09,751.7000122070312,758.4500122070312,713.5499877929688,736.8499755859375,648.531982421875,3967075,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.06292484784834712
2021-08-10,740.0,772.0,740.0,765.0999755859375,673.39599609375,2882997,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.043243243243243246
2021-08-11,774.4000244140625,774.4500122070312,735.0,748.0,658.3455810546875,894950,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.05367348599596088
2021-08-12,751.75,767.0999755859375,748.0,751.9500122070312,661.8221435546875,502395,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.02553472671916778
2021-08-13,758.2999877929688,761.9500122070312,742.25,757.75,666.927001953125,816238,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.02654093931563658
2021-08-16,756.0,756.0,731.0,733.8499755859375,645.8916015625,592645,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.03419972640218878
2021-08-17,738.8499755859375,741.0,720.0,721.3499755859375,634.8897705078125,461158,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.029166666666666667
2021-08-18,723.0,731.0,716.5499877929688,720.1500244140625,633.8336181640625,298872,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.020166090926242903
2021-08-20,720.0,726.7000122070312,706.3499755859375,710.25,625.1203002929688,419924,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.02881013282999382
2021-08-23,719.75,719.75,672.5999755859375,676.4000244140625,595.3275146484375,455913,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.0701011390507227
2021-08-24,675.5,687.1500244140625,665.1500244140625,668.4000244140625,588.286376953125,283832,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.03307524497105751
2021-08-25,671.7000122070312,688.0,671.0,675.5,594.5353393554688,221101,GLS,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0477,0.735,4.367,38.38,0.02533532041728763
