Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,12.140000343322754,12.800000190734863,12.140000343322754,12.71500015258789,7.03188419342041,666670,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.05436571900717636
2002-07-02,12.6899995803833,12.800000190734863,12.5,12.640000343322754,6.990408897399902,547560,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.024000015258789063
2002-07-03,12.5,12.6850004196167,12.239999771118164,12.585000038146973,6.959988594055176,529470,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.03635626281207707
2002-07-04,12.539999961853027,12.800000190734863,12.539999961853027,12.734999656677246,7.042945384979248,523140,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.020733670627812017
2002-07-05,12.729999542236328,12.979999542236328,12.729999542236328,12.824999809265137,7.092719554901123,581140,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.019638649567153207
2002-07-08,12.970000267028809,12.970000267028809,12.505000114440918,12.585000038146973,6.959988594055176,667440,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.03718513781146656
2002-07-09,12.5600004196167,12.649999618530273,12.319999694824219,12.375,6.84385347366333,348850,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.026785708756526323
2002-07-10,12.399999618530273,12.600000381469727,11.970000267028809,12.050000190734863,6.6641154289245605,447340,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.05263158733389874
2002-07-11,11.899999618530273,12.130000114440918,11.899999618530273,12.039999961853027,6.658583641052246,247270,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.019327773385176886
2002-07-12,12.199999809265137,12.53499984741211,12.024999618530273,12.25,6.774721622467041,263690,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.0424116627909024
2002-07-15,12.470000267028809,12.489999771118164,11.71500015258789,11.8149995803833,6.534150123596191,371980,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.0661544693500557
2002-07-16,11.699999809265137,11.925000190734863,11.609999656677246,11.739999771118164,6.492673397064209,425760,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.027131829747854583
2002-07-17,11.720000267028809,11.899999618530273,11.619999885559082,11.835000038146973,6.545210838317871,479340,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.02409636279938049
2002-07-18,12.010000228881836,12.399999618530273,12.0,12.34000015258789,6.824494361877441,806260,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.03333330154418945
2002-07-19,12.050000190734863,12.300000190734863,12.0,12.194999694824219,6.744304656982422,293050,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.02500001589457194
2002-07-22,11.510000228881836,11.800000190734863,11.510000228881836,11.614999771118164,6.423543453216553,358470,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.02519547837413032
2002-07-23,10.800000190734863,11.510000228881836,10.800000190734863,11.385000228881836,6.296344757080078,199900,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.06574074311184454
2002-07-24,11.350000381469727,11.484999656677246,10.75,10.845000267028809,5.997702598571777,136560,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.06837206108625545
2002-07-25,11.194999694824219,11.5,10.899999618530273,11.005000114440918,6.086188793182373,185370,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.055045908483309564
2002-07-26,11.0,11.0,10.149999618530273,10.369999885559082,5.735010623931885,193510,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.08374388309512146
2002-07-29,10.420000076293945,10.5,9.40999984741211,10.039999961853027,5.552506446838379,600290,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.11583423700986105
2002-07-30,10.5,10.609999656677246,9.510000228881836,9.635000228881836,5.328526020050049,181710,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.11566765523882071
2002-07-31,9.5,9.949999809265137,9.0,9.699999809265137,5.364474296569824,223150,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.10555553436279297
2002-08-01,10.0600004196167,10.390000343322754,9.704999923706055,9.805000305175781,5.422543048858643,193960,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.07058221792907729
2002-08-02,10.100000381469727,10.380000114440918,10.010000228881836,10.265000343322754,5.676940441131592,507840,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.0369630246852065
2002-08-05,10.399999618530273,10.699999809265137,10.25,10.529999732971191,5.823494911193848,451890,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.0439024204161109
2002-08-06,10.5,10.569999694824219,10.404999732971191,10.449999809265137,5.779253005981445,105780,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.015857757432725172
2002-08-07,10.6899995803833,10.6899995803833,10.260000228881836,10.364999771118164,5.73224401473999,169870,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.04191026724258927
2002-08-08,10.494999885559082,10.494999885559082,9.920000076293945,10.0600004196167,5.563569068908691,296470,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.057963690004320376
2002-08-09,9.920000076293945,10.199999809265137,9.920000076293945,9.949999809265137,5.5027337074279785,134930,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.028225779316303965
2002-08-12,10.100000381469727,10.300000190734863,10.029999732971191,10.074999809265137,5.571863651275635,41400,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.02691928862930184
2002-08-13,10.25,10.300000190734863,10.024999618530273,10.100000381469727,5.585689544677734,32060,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.027431479567966967
2002-08-14,10.010000228881836,10.074999809265137,9.899999618530273,9.979999542236328,5.519324779510498,53690,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.01767678762404269
2002-08-15,9.979999542236328,9.979999542236328,9.979999542236328,9.979999542236328,5.519324779510498,0,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.0
2002-08-16,10.194999694824219,10.199999809265137,9.925000190734863,9.975000381469727,5.516560077667236,33400,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.02770776959651746
2002-08-19,10.100000381469727,10.100000381469727,9.854999542236328,9.904999732971191,5.477847576141357,27810,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.024860563228174648
2002-08-20,9.949999809265137,10.0,9.8100004196167,9.869999885559082,5.45849084854126,27290,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.019367948242220823
2002-08-21,9.850000381469727,10.0,9.710000038146973,9.744999885559082,5.389360427856445,39180,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.029866113358777088
2002-08-22,9.989999771118164,10.0,9.729999542236328,9.795000076293945,5.417014122009277,27180,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.027749277540214085
2002-08-23,9.8100004196167,9.819999694824219,9.600000381469727,9.614999771118164,5.3174662590026855,26250,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.0229165942304693
2002-08-26,9.774999618530273,9.800000190734863,9.524999618530273,9.53499984741211,5.273221492767334,30770,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.028871452306370064
2002-08-27,9.574999809265137,9.600000381469727,9.350000381469727,9.454999923706055,5.228979110717773,30660,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.026737966823558834
2002-08-28,9.600000381469727,9.600000381469727,9.125,9.180000305175781,5.0768938064575195,53990,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.05205483632544949
2002-08-29,9.779999732971191,9.779999732971191,9.154999732971191,9.210000038146973,5.093483924865723,47730,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.06826870761657146
2002-08-30,9.25,9.25,8.949999809265137,8.994999885559082,4.974581241607666,34910,GMDCLTD,Energy,Thermal Coal,N/A,EQUITY,0.028800001,0.049,4.735,19.39,0.03351957509812457
