Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2022-03-23,48.0,48.0,45.599998474121094,45.599998474121094,45.599998474121094,924151,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.05263161417079772
2022-03-24,43.349998474121094,43.349998474121094,43.349998474121094,43.349998474121094,43.349998474121094,35801,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.0
2022-03-25,41.20000076293945,41.20000076293945,41.20000076293945,41.20000076293945,41.20000076293945,25042,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.0
2022-03-28,39.150001525878906,39.150001525878906,39.150001525878906,39.150001525878906,39.150001525878906,9835,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.0
2022-03-29,37.20000076293945,37.20000076293945,37.20000076293945,37.20000076293945,37.20000076293945,17115,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.0
2022-03-30,35.349998474121094,35.349998474121094,35.349998474121094,35.349998474121094,35.349998474121094,25015,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.0
2022-03-31,33.599998474121094,33.599998474121094,33.599998474121094,33.599998474121094,33.599998474121094,25601,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.0
2022-04-01,31.950000762939453,31.950000762939453,31.950000762939453,31.950000762939453,31.950000762939453,32369,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.0
2022-04-04,30.399999618530273,33.400001525878906,30.399999618530273,30.399999618530273,30.399999618530273,8552365,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.09868427450637159
2022-04-05,28.899999618530273,28.899999618530273,28.899999618530273,28.899999618530273,28.899999618530273,706287,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.0
2022-04-06,27.299999237060547,28.450000762939453,26.049999237060547,27.299999237060547,27.299999237060547,26896669,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.09213057950744569
2022-04-07,26.850000381469727,27.850000381469727,24.600000381469727,24.600000381469727,24.600000381469727,5550096,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.13211381908953568
2022-04-08,24.0,25.0,23.200000762939453,23.700000762939453,23.700000762939453,3332536,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.07758617145978429
2022-04-11,23.799999237060547,26.049999237060547,23.5,26.049999237060547,26.049999237060547,5814197,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.1085106058323637
2022-04-12,28.649999618530273,28.649999618530273,27.149999618530273,28.649999618530273,28.649999618530273,10208254,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.05524861956079837
2022-04-13,31.5,31.5,29.75,31.5,31.5,10927090,GMRP&UI,Energy,Thermal Coal,N/A,EQUITY,,,0.605,-1.44,0.058823529411764705
