Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2016-09-26,126.0,130.89999389648438,121.0999984741211,122.5250015258789,117.80119323730469,3041298,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.08092481871052647
2016-09-27,127.5,128.125,116.5,116.92500305175781,112.41709899902344,538352,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.09978540772532189
2016-09-28,116.44999694824219,122.75,115.0,121.25,116.57534790039062,447962,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.06739130434782609
2016-09-29,121.0,122.5,115.19999694824219,115.19999694824219,110.75859832763672,380026,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.06336808372518973
2016-09-30,109.44999694824219,115.9000015258789,109.44999694824219,114.0999984741211,109.70101165771484,231542,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.058931062197168094
2016-10-03,114.55000305175781,119.80000305175781,110.1500015258789,119.80000305175781,115.18125915527344,244116,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.0876078201743076
2016-10-04,125.7750015258789,125.7750015258789,121.0,125.7750015258789,120.92588806152344,447212,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.039462822527924844
2016-10-05,130.0500030517578,131.5500030517578,126.6500015258789,128.8000030517578,123.83426666259766,399326,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.03868931280571417
2016-10-06,130.0,132.35000610351562,125.55000305175781,128.10000610351562,123.16126251220703,413242,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.054161711560887185
2016-10-07,129.0,134.5,128.0,133.6750030517578,128.5213165283203,422524,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.05078125
2016-10-10,136.5,138.25,129.6999969482422,130.375,125.34854888916016,794530,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.06592138205808716
2016-10-13,129.89999389648438,131.0,122.05000305175781,124.55000305175781,119.74812316894531,264956,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.07333057537447793
2016-10-14,125.07499694824219,127.5,124.05000305175781,125.17500305175781,120.34903717041016,179400,GNA,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0137,26.635,2.159,23.26,0.027811341099304394
