Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-11-08,255.85157775878906,255.85157775878906,214.58518981933594,233.56771850585938,181.7340545654297,60440,GOCLCORP,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0107,83.696,5.129,9.72,0.19230771692210546
2007-11-12,247.59829711914062,247.59829711914062,223.78759765625,234.39305114746094,182.376220703125,17820,GOCLCORP,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0107,83.696,5.129,9.72,0.10639865529753424
2007-11-13,254.20091247558594,254.20091247558594,235.30091857910156,236.53890991210938,184.0458526611328,12333,GOCLCORP,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0107,83.696,5.129,9.72,0.08032265241723112
2007-11-14,239.3450164794922,250.81707763671875,239.3450164794922,239.7576904296875,186.55035400390625,19552,GOCLCORP,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0107,83.696,5.129,9.72,0.04793106339111733
2007-11-15,242.64633178710938,251.7249298095703,231.99960327148438,233.1963348388672,181.44508361816406,75791,GOCLCORP,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0107,83.696,5.129,9.72,0.08502310460851734
2007-11-16,246.73170471191406,267.4061584472656,238.5196990966797,250.9408721923828,195.25173950195312,98251,GOCLCORP,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0107,83.696,5.129,9.72,0.12110722703401251
2007-11-19,267.4061584472656,277.3100891113281,259.97821044921875,267.4061584472656,208.06301879882812,98696,GOCLCORP,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0107,83.696,5.129,9.72,0.0666666588409908
2007-11-20,267.8188171386719,288.6170654296875,267.8188171386719,280.7764587402344,218.4661865234375,78899,GOCLCORP,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0107,83.696,5.129,9.72,0.07765790512115756
2007-11-21,284.738037109375,284.738037109375,252.55026245117188,252.55026245117188,196.50393676757812,57629,GOCLCORP,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0107,83.696,5.129,9.72,0.12745096499128095
2007-11-22,255.85157775878906,257.5022277832031,239.3450164794922,245.94764709472656,191.36660766601562,16238,GOCLCORP,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0107,83.696,5.129,9.72,0.07586208215564288
