Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,7.896666049957275,7.896666049957275,7.670000076293945,7.75,5.252813339233398,63252,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.029552277889005243
2002-07-02,7.786665916442871,7.960000038146973,7.626666069030762,7.863333225250244,5.329630374908447,394968,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.043706380494324286
2002-07-03,7.693333148956299,7.75,7.5833330154418945,7.613333225250244,5.160184860229492,118860,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.021978064819087137
2002-07-04,7.610000133514404,7.699999809265137,7.093332767486572,7.3933329582214355,5.01107120513916,152052,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.08552637549436846
2002-07-05,7.25,7.75,7.25,7.596665859222412,5.148886680603027,572748,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.06896551724137931
2002-07-08,7.5833330154418945,8.229999542236328,7.5,7.913332939147949,5.36352014541626,483564,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.09733327229817708
2002-07-09,7.916666030883789,8.376666069030762,7.916666030883789,8.286665916442871,5.616558074951172,639048,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.05810527264286022
2002-07-10,8.25,8.576665878295898,8.09666633605957,8.293333053588867,5.621077537536621,792204,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.05928360170883996
2002-07-11,8.543333053588867,8.543333053588867,8.079999923706055,8.143333435058594,5.519409656524658,469488,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.057343209685365375
2002-07-12,8.476666450500488,8.826665878295898,8.09666633605957,8.69666576385498,5.894448757171631,2768196,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.09016050704537236
2002-07-15,9.0,9.0,7.626666069030762,8.313332557678223,5.634629249572754,178728,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.1800700225418115
2002-07-16,8.393333435058594,8.65999984741211,8.083333015441895,8.466666221618652,5.738559722900391,355512,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.07134022944107171
2002-07-17,8.336666107177734,8.75,8.166666030883789,8.236665725708008,5.582672595977783,163356,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.0714286548403257
2002-07-18,8.25,8.376666069030762,8.229999542236328,8.3100004196167,5.632375240325928,137208,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.0178209641497234
2002-07-19,8.25333309173584,8.319999694824219,8.083333015441895,8.133333206176758,5.512633323669434,46284,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.029278353239958192
2002-07-22,8.25,9.166666030883789,7.920000076293945,8.546666145324707,5.792781829833984,1759644,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.15740731598240135
2002-07-23,8.699999809265137,9.626666069030762,8.666666030883789,9.083333015441895,6.156526565551758,2584236,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.11076924329678779
2002-07-24,9.0,9.416666030883789,8.833333015441895,8.91333293914795,6.041301727294922,1406976,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.06603770223789224
2002-07-25,9.333333015441895,9.416666030883789,8.833333015441895,8.886666297912598,6.023227691650391,435348,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.06603770223789224
2002-07-26,8.916666030883789,8.983332633972168,8.046666145324707,8.270000457763672,5.605263710021973,865536,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.11640429362061766
2002-07-29,8.333333015441895,8.333333015441895,7.429999828338623,7.793333053588867,5.282185077667236,434436,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.1215791666182663
2002-07-30,8.050000190734863,8.050000190734863,7.510000228881836,7.650000095367432,5.185037136077881,202536,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.07190412055865249
2002-07-31,7.25,8.043333053588867,7.0833330154418945,7.9033331871032715,5.356741905212402,608328,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.13552942323255757
2002-08-01,7.866665840148926,8.170000076293945,7.5833330154418945,7.683332920074463,5.207630157470703,1203144,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.07736269258615232
2002-08-02,7.579999923706055,7.809999942779541,7.466666221618652,7.593332767486572,5.146627902984619,242556,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.045982197539085855
2002-08-05,7.909999847412109,8.210000038146973,7.550000190734863,7.699999809265137,5.218927383422852,306600,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.0874171961243182
2002-08-06,7.746665954589844,7.793333053588867,7.5833330154418945,7.650000095367432,5.185037136077881,202560,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.027692313883532594
2002-08-07,7.876666069030762,7.920000076293945,7.793333053588867,7.816666126251221,5.297998905181885,164844,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.016253254138387855
2002-08-08,7.793333053588867,7.96999979019165,7.676665782928467,7.913332939147949,5.36352014541626,1045152,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.03821112128073962
2002-08-09,7.763332843780518,8.153332710266113,7.763332843780518,8.069999694824219,5.469706058502197,136212,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.05023613882509733
2002-08-12,8.376666069030762,8.583333015441895,8.220000267028809,8.34666633605957,5.657226085662842,490296,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.04420106284794754
2002-08-13,8.5600004196167,8.5600004196167,8.386666297912598,8.496665954589844,5.758892059326172,138828,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.02066782146169851
2002-08-14,8.583333015441895,8.583333015441895,8.353333473205566,8.460000038146973,5.7340407371521,331032,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.027533863334210516
2002-08-15,8.460000038146973,8.460000038146973,8.460000038146973,8.460000038146973,5.7340407371521,0,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.0
2002-08-16,8.5,8.5,8.350000381469727,8.386666297912598,5.684336185455322,64308,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.017964025350603784
2002-08-19,8.403332710266113,8.433333396911621,8.210000038146973,8.246665954589844,5.589447498321533,101016,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.02720260142837412
2002-08-20,8.16333293914795,8.520000457763672,8.020000457763672,8.466666221618652,5.738559722900391,271992,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.062344136092408894
2002-08-21,8.460000038146973,8.65999984741211,8.430000305175781,8.533332824707031,5.7837443351745605,161916,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.027283455979843194
2002-08-22,8.5,8.75,8.359999656677246,8.453332901000977,5.729523658752441,181440,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.04665076068648583
2002-08-23,8.619999885559082,8.619999885559082,8.420000076293945,8.510000228881836,5.76793098449707,106680,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.02375294625331719
2002-08-26,8.75,8.863332748413086,8.416666030883789,8.783332824707031,5.953190803527832,460728,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.05306931698255762
2002-08-27,9.166666030883789,9.166666030883789,8.666666030883789,8.800000190734863,5.964486598968506,206232,GODREJCP,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.011,25.576,0.995,-5.46,0.05769231192459047
