Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2008-06-04,43.97999954223633,44.939998626708984,35.599998474121094,36.40999984741211,35.944114685058594,83796345,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.26235956609316907
2008-06-05,34.2599983215332,42.900001525878906,33.31999969482422,40.66999816894531,40.14960861206055,48015435,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.2875150635893554
2008-06-06,40.599998474121094,42.369998931884766,39.13999938964844,41.0099983215332,40.48525619506836,41207120,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.08252426143600256
2008-06-09,39.79999923706055,39.79999923706055,36.709999084472656,38.630001068115234,38.13570785522461,11401645,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.08417325605150662
2008-06-10,38.400001525878906,40.5,38.0,40.040000915527344,39.52766799926758,8822475,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.06578947368421052
2008-06-11,40.099998474121094,41.13999938964844,39.65999984741211,40.310001373291016,39.794219970703125,6109050,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.03731718476879674
2008-06-12,40.0,41.97999954223633,38.41999816894531,41.0099983215332,40.48525619506836,3271130,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.09266011303895758
2008-06-13,41.38999938964844,43.97999954223633,41.20000076293945,43.599998474121094,43.042110443115234,8161960,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.06747569727711174
2008-06-16,44.279998779296875,47.25,43.20000076293945,45.9900016784668,45.40153884887695,12896670,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.09374998068368028
2008-06-17,46.91999816894531,47.959999084472656,45.72999954223633,46.540000915527344,45.94449996948242,9305680,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.04876447768552229
2008-06-18,46.939998626708984,47.38999938964844,42.810001373291016,44.220001220703125,43.6541862487793,7565730,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.10698429968317787
2008-06-19,43.02000045776367,45.38999938964844,42.04999923706055,45.08000183105469,44.503177642822266,5013110,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.07942925596165526
2008-06-20,45.38999938964844,45.900001525878906,43.20000076293945,43.93000030517578,43.36789321899414,5004115,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.06250001655684548
2008-06-23,43.779998779296875,43.779998779296875,40.41999816894531,41.150001525878906,40.62346649169922,3060160,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.08312718363587288
2008-06-24,41.20000076293945,42.099998474121094,39.400001525878906,40.189998626708984,39.67574691772461,1578320,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.06852783867200518
2008-06-25,39.779998779296875,41.599998474121094,39.380001068115234,41.0,40.47538375854492,1267955,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.056373726404068646
2008-06-26,41.0,42.599998474121094,40.630001068115234,41.81999969482422,41.28489303588867,1539095,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.04848627502379843
2008-06-27,40.43000030517578,40.900001525878906,39.97999954223633,40.06999969482422,39.557281494140625,655050,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.023011555632226923
2008-06-30,40.400001525878906,41.54999923706055,39.0,40.790000915527344,40.268070220947266,682320,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.06538459582206531
2008-07-01,41.0,42.400001525878906,39.40999984741211,40.5,39.98178482055664,1052655,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.07586911164789405
2008-07-02,40.20000076293945,41.380001068115234,39.290000915527344,40.790000915527344,40.268070220947266,692805,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.05319419964080291
2008-07-03,40.2400016784668,42.599998474121094,39.79999923706055,41.810001373291016,41.275020599365234,1086120,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.07035174097323281
2008-07-04,41.599998474121094,43.599998474121094,41.400001525878906,42.27000045776367,41.7291374206543,700305,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.05314002094582006
2008-07-07,42.31999969482422,44.400001525878906,40.849998474121094,41.790000915527344,41.255279541015625,853685,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.08690338272611631
2008-07-08,40.97999954223633,40.97999954223633,39.400001525878906,39.869998931884766,39.35984420776367,317235,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.04010147094333587
2008-07-09,41.0,43.189998626708984,40.400001525878906,41.65999984741211,41.12693786621094,1201335,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.0690593315706411
2008-07-10,41.58000183105469,42.279998779296875,40.310001373291016,40.90999984741211,40.386531829833984,284385,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.04887118181323504
2008-07-11,41.400001525878906,41.5,39.79999923706055,39.95000076293945,39.43881607055664,575875,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.04271358782731996
2008-07-14,40.0,40.790000915527344,40.0,40.13999938964844,39.62638854980469,484385,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.019750022888183595
2008-07-15,40.20000076293945,41.20000076293945,39.06999969482422,39.59000015258789,39.08342361450195,1067690,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.05451756039807201
2008-07-16,39.900001525878906,40.70000076293945,32.72999954223633,35.47999954223633,35.0260124206543,699815,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.24350752618918498
2008-07-17,37.0,39.779998779296875,36.81999969482422,38.060001373291016,37.57300567626953,527690,GOKUL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,101.451,1.472,0.18,0.08039106759929558
