Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,9.5,10.449999809265137,9.149999618530273,10.050000190734863,10.050000190734863,36683,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.1420765295008479
2002-07-02,10.199999809265137,10.199999809265137,9.5,9.649999618530273,9.649999618530273,26635,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.07368419044896175
2002-07-03,9.800000190734863,9.800000190734863,9.5,9.550000190734863,9.550000190734863,4789,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.03157896744577508
2002-07-04,9.5,10.0,9.350000381469727,9.550000190734863,9.550000190734863,24351,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.0695186729423534
2002-07-05,10.25,10.25,9.350000381469727,9.550000190734863,9.550000190734863,13112,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.09625663976591223
2002-07-08,9.699999809265137,11.199999809265137,9.5,10.449999809265137,10.449999809265137,66448,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.1789473483436986
2002-07-09,11.0,11.5,10.600000381469727,10.699999809265137,10.699999809265137,67450,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.08490562133408955
2002-07-10,10.699999809265137,11.0,9.600000381469727,10.0,10.0,44206,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.14583328780200927
2002-07-11,9.550000190734863,10.300000190734863,9.350000381469727,9.550000190734863,9.550000190734863,15738,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.10160425353007378
2002-07-12,9.5,9.850000381469727,9.25,9.550000190734863,9.550000190734863,7710,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.06486490610483531
2002-07-15,11.399999618530273,11.399999618530273,8.800000190734863,8.949999809265137,8.949999809265137,15997,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.29545447402749336
2002-07-16,9.100000381469727,9.199999809265137,8.300000190734863,8.649999618530273,8.649999618530273,8554,GOLDENTOBC,Consumer Defensive,Tobacco,N/A,EQUITY,,,,3.06,0.10843368648773362
