Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2005-08-29,14.600000381469727,15.199999809265137,13.029999732971191,13.510000228881836,7.267607688903809,862500,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.16653876598346842
2005-08-30,13.539999961853027,13.539999961853027,12.739999771118164,12.789999961853027,6.880289077758789,488000,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.06279436460811245
2005-08-31,13.300000190734863,13.300000190734863,12.699999809265137,12.729999542236328,6.8480119705200195,311500,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.047244125234710894
2005-09-01,12.920000076293945,12.920000076293945,12.729999542236328,12.760000228881836,6.864150524139404,102500,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.014925415623718009
2005-09-02,12.960000038146973,12.970000267028809,12.529999732971191,12.579999923706055,6.7673211097717285,130500,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.0351157656372337
2005-09-05,13.0,13.100000381469727,12.270000457763672,12.390000343322754,6.665111064910889,648000,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.0676446530351092
2005-09-06,12.550000190734863,14.350000381469727,12.399999618530273,13.890000343322754,7.472024440765381,1500000,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.1572581308813443
2005-09-08,16.600000381469727,16.600000381469727,13.989999771118164,14.260000228881836,7.671063423156738,1206000,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.18656187655841225
2005-09-09,14.380000114440918,14.489999771118164,13.8100004196167,13.899999618530273,7.477404594421387,556500,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.049239632935531685
2005-09-12,14.199999809265137,14.880000114440918,14.050000190734863,14.729999542236328,7.923898696899414,548000,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.05907472686394624
2005-09-13,14.819999694824219,17.18000030517578,14.5,16.309999465942383,8.773847579956055,1504500,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.18482760725350217
2005-09-14,16.579999923706055,17.1200008392334,15.460000038146973,15.970000267028809,8.590947151184082,1343500,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.10737391959834643
2005-09-15,15.800000190734863,16.399999618530273,15.800000190734863,15.9399995803833,8.574809074401855,410500,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.037974646870400065
2005-09-16,16.15999984741211,16.700000762939453,15.859999656677246,15.949999809265137,8.580187797546387,412000,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.05296350091083115
2005-09-19,16.0,16.15999984741211,15.220000267028809,15.8100004196167,8.504874229431152,352000,GOLDIAM,Consumer Cyclical,Luxury Goods,N/A,EQUITY,0.018099999,0.738,7.321,8.38,0.06176081234503184
