Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2016-09-07,114.0,117.3499984741211,113.0999984741211,114.30000305175781,109.99581909179688,33858,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.03757736567054385
2016-09-08,114.25,118.0,113.9000015258789,117.30000305175781,112.8828353881836,36167,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.03599647426861135
2016-09-09,118.25,118.25,113.5,114.1500015258789,109.85145568847656,35456,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.04185022026431718
2016-09-12,112.80000305175781,114.0,108.80000305175781,109.8499984741211,105.71337127685547,45677,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.04779408825722615
2016-09-14,111.0,112.19999694824219,110.0,111.25,107.06066131591797,25958,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.01999997225674716
2016-09-15,111.3499984741211,113.75,110.5,112.6500015258789,108.4079360961914,21680,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.029411764705882353
2016-09-16,112.80000305175781,116.80000305175781,111.0,112.05000305175781,107.83052825927734,42570,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.05225227974556588
2016-09-19,112.0,112.0,107.55000305175781,109.30000305175781,105.18409729003906,89529,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.0413760745883071
2016-09-20,110.0999984741211,111.0,108.25,109.4000015258789,105.28032684326172,24474,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.025404157043879907
2016-09-21,112.0,112.0,106.5999984741211,109.6500015258789,105.52090454101562,36113,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.050656675451921755
2016-09-22,110.5999984741211,111.9000015258789,109.30000305175781,109.6500015258789,106.24763488769531,27917,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.02378772554004315
2016-09-23,108.9000015258789,111.75,108.9000015258789,109.8499984741211,106.4414291381836,18156,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.026170784519629436
2016-09-26,110.0,111.5,107.5999984741211,108.4000015258789,105.03643035888672,33596,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.0362453678548787
2016-09-27,108.44999694824219,109.5999984741211,106.44999694824219,106.9000015258789,103.58296966552734,27622,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.029591372627380073
2016-09-28,107.0,108.0,104.4000015258789,106.30000305175781,103.0015869140625,49864,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.034482743501001945
2016-09-29,107.44999694824219,108.44999694824219,99.9000015258789,101.75,98.5927734375,60724,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.0855855384561573
2016-09-30,100.5999984741211,105.0,100.55000305175781,103.0999984741211,99.90087127685547,18444,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.04425655706794524
2016-10-03,104.9000015258789,106.9000015258789,100.0,103.0999984741211,99.90087127685547,45345,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.06900001525878906
2016-10-04,104.0,118.94999694824219,103.30000305175781,113.5999984741211,110.07506561279297,456593,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.15150042046603857
2016-10-05,114.0,117.0,112.30000305175781,115.1500015258789,111.57698059082031,103459,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.041852153343896276
2016-10-06,120.69999694824219,121.0,115.1500015258789,116.25,112.64285278320312,222284,GOODLUCK,Basic Materials,Steel,N/A,EQUITY,0.0101,53.18,1.932,46.41,0.05080328611898768
