Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2024-03-14,351.0,384.79998779296875,341.79998779296875,362.70001220703125,362.70001220703125,8463274,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.1258045685655363
2024-03-15,373.95001220703125,392.8500061035156,370.1000061035156,379.1499938964844,379.1499938964844,1994031,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.061469871993563026
2024-03-18,379.6000061035156,384.0,365.29998779296875,369.1499938964844,369.1499938964844,541965,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.05119083720755379
2024-03-19,366.54998779296875,376.5,360.04998779296875,373.1000061035156,373.1000061035156,638038,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.04568813432786483
2024-03-20,373.0,377.95001220703125,367.45001220703125,374.79998779296875,374.79998779296875,281157,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.0285753154202755
2024-03-21,378.0,379.95001220703125,372.0,374.20001220703125,374.20001220703125,232351,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.021371000556535617
2024-03-22,370.1000061035156,374.70001220703125,364.5,366.0,366.0,134790,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.027983572584447874
2024-03-26,366.0,372.5,358.0,362.6000061035156,362.6000061035156,630453,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.040502793296089384
2024-03-27,362.6000061035156,364.8999938964844,358.04998779296875,358.79998779296875,358.79998779296875,313306,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.019131423926975324
2024-03-28,359.45001220703125,362.0,355.3500061035156,357.79998779296875,357.79998779296875,175050,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.018713926501375072
2024-04-01,357.0,364.20001220703125,357.0,360.3999938964844,360.3999938964844,153088,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.020168101420255602
2024-04-02,363.79998779296875,365.6000061035156,357.1000061035156,358.29998779296875,358.29998779296875,295532,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.023802855935925224
2024-04-03,341.04998779296875,357.3999938964844,341.04998779296875,353.45001220703125,353.45001220703125,620438,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.04794020433579592
2024-04-04,353.45001220703125,356.45001220703125,349.0,349.70001220703125,349.70001220703125,135486,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.02134673984822708
2024-04-05,349.6499938964844,354.0,347.5,348.1499938964844,348.1499938964844,106851,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.01870503597122302
2024-04-08,348.45001220703125,352.0,338.0,339.8500061035156,339.8500061035156,177305,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.04142011834319527
2024-04-09,337.1000061035156,339.75,326.0,327.3500061035156,327.3500061035156,211302,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.04217791411042945
2024-04-10,328.04998779296875,344.0,322.70001220703125,337.8500061035156,337.8500061035156,348191,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.06600553761151871
2024-04-12,337.8500061035156,338.0,327.0,328.1499938964844,328.1499938964844,196285,GOPAL,Consumer Defensive,Packaged Foods,N/A,EQUITY,,17.286,2.389,7.98,0.03363914373088685
