Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-08-12,2.3399999141693115,2.3399999141693115,2.1500000953674316,2.2300000190734863,1.3989412784576416,33020,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.08837200482514826
2002-08-13,2.2799999713897705,2.2799999713897705,2.130000114440918,2.140000104904175,1.3424816131591797,7500,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.07042246426743713
2002-08-14,2.0999999046325684,2.180000066757202,2.0999999046325684,2.1600000858306885,1.3550279140472412,8890,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.03809531702746968
2002-08-15,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,1.3550279140472412,0,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.0
2002-08-16,2.200000047683716,2.200000047683716,2.0999999046325684,2.1500000953674316,1.3487550020217896,9010,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.04761911790117163
2002-08-19,2.119999885559082,2.119999885559082,2.0399999618530273,2.0399999618530273,1.2797490358352661,11685,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.0392156496088299
2002-08-20,2.059999942779541,2.0999999046325684,2.059999942779541,2.0899999141693115,1.3111152648925781,4640,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.019417457749564656
2002-08-21,2.0799999237060547,2.0999999046325684,2.0399999618530273,2.059999942779541,1.2922958135604858,14050,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.029411737206622428
2002-08-22,2.049999952316284,2.059999942779541,2.0299999713897705,2.049999952316284,1.2860217094421387,17000,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.01477831123772482
2002-08-23,2.0399999618530273,2.1500000953674316,2.0199999809265137,2.0899999141693115,1.3111152648925781,32525,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.06435649290515874
2002-08-26,2.049999952316284,2.069999933242798,1.9800000190734863,1.9900000095367432,1.248382568359375,38505,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.045454501667846314
2002-08-27,2.0199999809265137,2.069999933242798,2.0,2.009999990463257,1.260928988456726,15650,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.034999966621398926
2002-08-28,1.7999999523162842,1.9299999475479126,1.7999999523162842,1.8600000143051147,1.1668301820755005,28065,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.07222222148636238
2002-08-29,1.9900000095367432,1.9900000095367432,1.690000057220459,1.75,1.0978236198425293,46265,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.17751475867385103
2002-08-30,1.6100000143051147,1.899999976158142,1.6100000143051147,1.7999999523162842,1.1291900873184204,18330,GREAVESCOT,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0125,4.823,1.72,-5.83,0.18012419830827953
