Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2017-07-04,170.0,175.0,162.0,171.64999389648438,151.39862060546875,14138363,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.08024691358024691
2017-07-05,170.1999969482422,172.3000030517578,167.3000030517578,169.89999389648438,149.8550567626953,779615,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.02988643101490646
2017-07-06,171.0,176.0,168.35000610351562,171.75,151.48681640625,1181250,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.045441007538666325
2017-07-07,172.0,183.25,168.0,179.1999969482422,158.057861328125,3137606,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.09077380952380952
2017-07-10,178.0,184.6999969482422,175.0,183.1999969482422,161.58590698242188,575129,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.05542855398995536
2017-07-11,183.5,190.4499969482422,176.3000030517578,177.35000610351562,156.42611694335938,1780195,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.08026088287888598
2017-07-12,179.14999389648438,183.89999389648438,178.0,180.75,159.42498779296875,838264,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.03314603312631671
2017-07-13,182.39999389648438,185.5,178.5,180.10000610351562,158.8516845703125,907601,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.0392156862745098
2017-07-14,181.0,184.89999389648438,164.0500030517578,170.8000030517578,150.64889526367188,1203937,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.12709533957246186
2017-07-17,171.10000610351562,174.0,169.10000610351562,170.0,149.9432830810547,302605,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.02897689958381677
2017-07-18,169.10000610351562,171.9499969482422,166.1999969482422,167.14999389648438,147.4295196533203,188357,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.03459687187473691
2017-07-19,168.14999389648438,170.0,167.1999969482422,168.0500030517578,148.22332763671875,114062,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.0167464300410518
2017-07-20,169.39999389648438,169.8000030517578,165.0500030517578,166.60000610351562,146.9444122314453,194347,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.028779157298836608
2017-07-21,165.1999969482422,168.9499969482422,163.0,163.39999389648438,144.1219482421875,298067,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.03650304876222201
2017-07-24,163.3000030517578,164.4499969482422,155.64999389648438,156.8000030517578,138.3006134033203,203695,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.05653712429703202
2017-07-25,155.64999389648438,161.0,150.0,155.0,136.71298217773438,422546,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.07333333333333333
2017-07-26,155.6999969482422,158.0,155.6999969482422,156.39999389648438,137.94781494140625,197420,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.014772017320734951
2017-07-27,156.89999389648438,161.8000030517578,155.60000610351562,156.8000030517578,138.3006134033203,173457,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.039845737178940285
2017-07-28,154.14999389648438,159.39999389648438,154.14999389648438,156.60000610351562,138.12423706054688,129568,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.03405773731996063
2017-07-31,156.0,158.9499969482422,156.0,157.5500030517578,138.96214294433594,130338,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.01891023684770633
2017-08-01,157.5500030517578,157.64999389648438,147.75,151.75,133.846435546875,97587,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.06700503483238156
2017-08-02,152.0,155.0,150.1999969482422,151.8000030517578,133.89053344726562,110713,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.031957411113742284
2017-08-03,151.10000610351562,153.0,145.0,147.35000610351562,129.96554565429688,96801,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.05517241379310345
2017-08-04,148.64999389648438,148.64999389648438,141.25,142.4499969482422,125.64363861083984,266775,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.05238933732024336
2017-08-07,142.1999969482422,148.5,142.1999969482422,146.14999389648438,128.9071044921875,205690,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.04430381988018524
2017-08-08,148.1999969482422,150.0,142.60000610351562,143.85000610351562,126.87847900390625,109122,GTPL,Communication Services,Entertainment,N/A,EQUITY,0.0225,22.411,0.464,9.51,0.05189336311186832
