Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-06-04,119.19999694824219,119.19999694824219,105.56666564941406,105.69999694824219,75.1689682006836,30103,GUJAPOLLO,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0081,4.491,6.394,9.37,0.12914428257215488
2007-06-05,107.33333587646484,109.33333587646484,104.0,108.0,76.80461883544922,10467,GUJAPOLLO,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0081,4.491,6.394,9.37,0.05128207573523888
2007-06-06,107.66666412353516,108.06666564941406,100.0,101.33333587646484,72.06358337402344,6925,GUJAPOLLO,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0081,4.491,6.394,9.37,0.08066665649414062
2007-06-07,100.66666412353516,102.66666412353516,99.03333282470703,102.5999984741211,72.96437072753906,972,GUJAPOLLO,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0081,4.491,6.394,9.37,0.0366879634886091
2007-06-08,102.53333282470703,103.33333587646484,96.69999694824219,102.66666412353516,73.01179504394531,2581,GUJAPOLLO,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0081,4.491,6.394,9.37,0.0685970955280701
2007-06-11,103.30000305175781,104.66666412353516,101.43333435058594,102.66666412353516,73.01179504394531,3486,GUJAPOLLO,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0081,4.491,6.394,9.37,0.031876402305516256
2007-06-12,100.06666564941406,102.0,99.33333587646484,100.66666412353516,71.58949279785156,2559,GUJAPOLLO,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0081,4.491,6.394,9.37,0.02684561129459634
2007-06-13,103.93333435058594,103.93333435058594,98.66666412353516,99.06666564941406,70.45162963867188,1633,GUJAPOLLO,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0081,4.491,6.394,9.37,0.053378415839180196
2007-06-14,100.0,105.26666259765625,100.0,103.5,73.60443115234375,6535,GUJAPOLLO,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0081,4.491,6.394,9.37,0.0526666259765625
2007-06-15,109.80000305175781,109.80000305175781,100.4000015258789,100.4000015258789,71.39984893798828,5230,GUJAPOLLO,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0081,4.491,6.394,9.37,0.09362551178304494
