Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2004-09-24,12.440455436706543,12.440455436706543,9.330341339111328,9.528257369995117,8.097990989685059,8329630,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.33333336740405245
2004-09-27,9.712037086486816,9.712037086486816,8.793140411376953,8.991056442260742,7.641428470611572,2364029,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.10450153552887137
2004-09-28,8.76486587524414,8.934508323669434,8.538676261901855,8.566949844360352,7.280983924865723,1211370,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.04635754414694401
2004-09-29,8.65177059173584,8.76486587524414,8.552812576293945,8.63763427734375,7.341058254241943,588531,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.024793399488017426
2004-09-30,8.708317756652832,8.920372009277344,8.665907859802246,8.779003143310547,7.461206436157227,582165,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.029363818954902258
2004-10-01,8.793140411376953,8.849686622619629,8.482128143310547,8.566949844360352,7.280983924865723,348733,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.04333328536175889
2004-10-04,8.566949844360352,8.76486587524414,8.496265411376953,8.538676261901855,7.256954193115234,540076,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.031613944581759076
2004-10-05,8.510401725769043,8.665907859802246,8.298349380493164,8.411443710327148,7.148820877075195,613996,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.04429296266714168
2004-10-06,8.482128143310547,9.58480453491211,8.213526725769043,9.160698890686035,7.785604953765869,3244350,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.16695359434831228
2004-10-07,9.188972473144531,9.415162086486816,9.061739921569824,9.160698890686035,7.785604953765869,801803,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.03900157894354648
2004-10-08,9.160698890686035,9.160698890686035,9.160698890686035,9.160698890686035,7.785604953765869,0,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.0
2004-10-11,9.005192756652832,9.118288040161133,8.793140411376953,8.849686622619629,7.521280288696289,257482,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.03697741802956875
2004-10-12,8.877961158752441,8.877961158752441,8.566949844360352,8.609359741210938,7.317028045654297,281533,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.03630362264777697
2004-10-14,8.665907859802246,8.694181442260742,8.453853607177734,8.46799087524414,7.196879863739014,385870,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.02842819928641274
2004-10-15,8.46799087524414,8.46799087524414,8.46799087524414,8.46799087524414,7.196879863739014,0,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.0
2004-10-18,8.453853607177734,8.581086158752441,8.298349380493164,8.34075927734375,7.0887451171875,159511,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.03407144786213792
2004-10-19,8.439718246459961,8.439718246459961,8.213526725769043,8.35489559173584,7.100761413574219,280825,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.027538903596827265
2004-10-20,8.482128143310547,8.863823890686035,8.482128143310547,8.566949844360352,7.280983924865723,668817,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.04499999775133245
2004-10-21,8.623497009277344,8.63763427734375,8.34075927734375,8.397307395935059,7.136804580688477,284362,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.03559328235337163
2004-10-22,8.397307395935059,8.397307395935059,8.397307395935059,8.397307395935059,7.136804580688477,0,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.0
2004-10-25,8.46799087524414,8.46799087524414,8.255937576293945,8.284212112426758,7.040687084197998,139351,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.025684944561485543
2004-10-26,8.270074844360352,8.383170127868652,7.860105037689209,7.916653156280518,6.728301048278809,523099,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.06654683209338118
2004-10-27,8.171116828918457,8.270074844360352,8.001474380493164,8.072158813476562,6.860463619232178,367478,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.033568871322266554
2004-10-28,8.19939136505127,8.270074844360352,8.001474380493164,8.043885231018066,6.836434364318848,265617,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.033568871322266554
2004-10-29,8.043885231018066,8.043885231018066,8.043885231018066,8.043885231018066,6.836434364318848,0,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.0
2004-11-01,8.19939136505127,8.284212112426758,8.043885231018066,8.058021545410156,6.84844970703125,251823,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.029876965484535473
2004-11-02,8.171116828918457,8.19939136505127,8.058021545410156,8.086296081542969,6.872480392456055,188160,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.017543986305377582
2004-11-03,8.114568710327148,8.142843246459961,7.944927215576172,7.987337112426758,6.788374900817871,253592,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.024910993582895405
2004-11-04,7.973199844360352,8.072158813476562,7.902515888214111,7.930789947509766,6.740316867828369,365356,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.02146695149521411
2004-11-05,8.114568710327148,8.185254096984863,7.704599857330322,7.7611470222473145,6.596137046813965,514611,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.062385360506066544
2004-11-08,7.888379096984863,7.916653156280518,7.648052215576172,7.690463066101074,6.536064147949219,409920,GULFPETRO,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,,5.786,6.061,5.44,0.03512017610932465
