Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2017-03-15,184.8000030517578,184.8000030517578,162.0,162.0,162.0,48000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.14074075957875193
2017-03-16,172.0,172.0,172.0,172.0,172.0,2000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.0
2017-03-17,177.8000030517578,177.8000030517578,160.1999969482422,160.60000610351562,160.60000610351562,44000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.10986271185262181
2017-03-20,151.0,158.0,150.0,158.0,158.0,6000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.05333333333333334
2017-03-21,174.60000610351562,174.60000610351562,150.10000610351562,160.0,160.0,52000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.1632245103514767
2017-03-22,151.1999969482422,156.0,151.1999969482422,153.60000610351562,153.60000610351562,10000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.03174605257036426
2017-03-23,170.8000030517578,170.8000030517578,152.3000030517578,162.10000610351562,162.10000610351562,18000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.1214707789185857
2017-03-24,171.60000610351562,171.60000610351562,152.0,160.0,160.0,20000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.1289474085757607
2017-03-27,174.0,174.0,158.89999389648438,162.10000610351562,162.10000610351562,26000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.09502836175911086
2017-03-28,152.5,169.0,152.5,164.39999389648438,164.39999389648438,20000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.10819672131147541
2017-03-29,161.3000030517578,161.3000030517578,148.3000030517578,152.0,152.0,40000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.08766014654404898
2017-03-30,122.0,147.89999389648438,121.5999984741211,139.3000030517578,139.3000030517578,42000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.2162828598057955
2017-03-31,144.0,144.0,143.8000030517578,143.8000030517578,143.8000030517578,4000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.0013907993323908538
2017-04-03,146.10000610351562,148.0,146.0,148.0,148.0,5000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.0136986301369863
2017-04-05,174.39999389648438,174.39999389648438,156.0,164.0,164.0,23000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.11794867882361779
2017-04-06,170.0,193.0,170.0,189.60000610351562,189.60000610351562,27000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.13529411764705881
2017-04-07,194.8000030517578,197.8000030517578,184.5,185.0,185.0,19000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.07208673740790142
2017-04-10,180.0,188.3000030517578,180.0,184.0,184.0,24000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.04611112806532118
2017-04-11,178.0,183.0,172.0,176.10000610351562,176.10000610351562,22000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.06395348837209303
2017-04-12,181.60000610351562,181.89999389648438,181.60000610351562,181.89999389648438,181.89999389648438,2000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.001651915103999231
2017-04-13,181.89999389648438,181.89999389648438,181.89999389648438,181.89999389648438,181.89999389648438,0,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.0
2017-04-17,172.0,172.0,170.0,170.0,170.0,3000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.011764705882352941
2017-04-18,170.0,170.0,170.0,170.0,170.0,0,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.0
2017-04-19,154.0,160.0,154.0,160.0,160.0,3000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.03896103896103896
2017-04-20,160.0,160.0,152.0,156.0,156.0,5000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.05263157894736842
2017-04-21,160.0,163.0,160.0,160.89999389648438,160.89999389648438,3000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.01875
2017-04-24,160.0,160.0,157.0,157.0,157.0,3000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.01910828025477707
2017-04-25,153.0,156.0,153.0,156.0,156.0,2000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.0196078431372549
2017-04-26,156.0,156.0,156.0,156.0,156.0,0,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.0
2017-04-27,152.0,152.0,152.0,152.0,152.0,1000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.0
2017-04-28,152.0,152.0,152.0,152.0,152.0,0,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.0
2017-05-02,152.0,152.0,152.0,152.0,152.0,1000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.0
2017-05-03,155.0,160.0,148.0,148.3000030517578,148.3000030517578,31000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.08108108108108109
2017-05-04,154.0,159.0,134.3000030517578,154.0,154.0,20000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.18391657771387443
2017-05-05,140.60000610351562,158.0,140.60000610351562,155.0,155.0,12000,GVPTECH,Technology,Information Technology Services,N/A,EQUITY,,0.015,2.144,0.49,0.12375528549887664
