Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2018-04-02,563.8499755859375,577.5,559.0,574.625,480.7665710449219,352730,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.03309481216457961
2018-04-03,570.5,573.5,563.1749877929688,564.2999877929688,472.1280212402344,115130,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.018333577361974166
2018-04-04,565.0,570.0,557.5,557.9500122070312,466.8152160644531,163364,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.02242152466367713
2018-04-05,561.0,565.625,554.75,556.9749755859375,465.9994812011719,149988,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.019603424966200992
2018-04-06,551.75,559.4249877929688,550.0250244140625,551.4249877929688,461.3560485839844,146026,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.017090064927354823
2018-04-09,550.25,556.0,550.25,552.2249755859375,462.0253601074219,119028,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.010449795547478418
2018-04-10,554.9000244140625,555.0,546.0250244140625,551.1500244140625,461.1259460449219,107306,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.0164369308816359
2018-04-11,551.0,553.0,547.5,548.6500244140625,459.0343017578125,79912,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.01004566210045662
2018-04-12,548.0,549.0250244140625,540.0499877929688,543.0750122070312,454.3699035644531,109438,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.016618899775874788
2018-04-13,557.5,575.0,552.5499877929688,561.5250244140625,469.8062744140625,289764,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.04062983024703802
2018-04-16,562.5,579.9500122070312,562.0,573.9500122070312,480.20184326171875,270532,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.031939523500055605
2018-04-17,578.5,582.0,571.0,573.2000122070312,479.57427978515625,123586,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.01926444833625219
2018-04-18,577.0,577.5,562.5,565.0,472.7137145996094,83918,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.02666666666666667
2018-04-19,569.0,576.7000122070312,564.5499877929688,570.5250244140625,477.3363037109375,101248,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.02152160955943222
2018-04-20,570.5999755859375,572.9500122070312,559.0,562.7750244140625,470.85211181640625,69878,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.024955299118123882
2018-04-23,566.0,574.5,561.1749877929688,565.6500244140625,473.257568359375,79814,HAL,Industrials,Aerospace & Defense,N/A,EQUITY,0.0047,0.004,1.735,114.16,0.02374484340336846
