Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2022-09-26,450.0,527.6500244140625,430.0,486.5,485.364501953125,36180429,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.22709308003270348
2022-09-27,495.0,518.4000244140625,465.1499938964844,471.04998779296875,469.9505615234375,16853164,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.11447926736816967
2022-09-28,463.3999938964844,468.6000061035156,446.0,451.75,450.69561767578125,4965382,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.050672659424922925
2022-09-29,466.95001220703125,478.6499938964844,460.6000061035156,470.79998779296875,469.7011413574219,4273634,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.03918798861003962
2022-09-30,466.1499938964844,469.95001220703125,460.04998779296875,461.75,460.6722717285156,1486480,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.02151945370449113
2022-10-03,460.0,460.8999938964844,432.1000061035156,435.6499938964844,434.6331787109375,1357159,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.06665120894737805
2022-10-04,445.5,453.70001220703125,437.54998779296875,440.0,438.9730529785156,1175219,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.03691012424780148
2022-10-06,444.8999938964844,458.70001220703125,438.1000061035156,450.3999938964844,449.3487548828125,1347843,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.047021241306826625
2022-10-07,451.95001220703125,466.29998779296875,446.5,457.04998779296875,455.9832458496094,1195132,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.04434487747585386
2022-10-10,449.0,468.8999938964844,448.5,464.54998779296875,463.4657287597656,885072,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.04548493622404543
2022-10-11,466.0,466.95001220703125,442.6000061035156,445.6000061035156,444.5599670410156,495046,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.05501582866634807
2022-10-12,448.0,457.5,441.0,443.29998779296875,442.26531982421875,451922,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.03741496598639456
2022-10-13,445.75,446.75,433.0,436.1000061035156,435.0821533203125,354561,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.03175519630484989
2022-10-14,445.04998779296875,447.0,432.8999938964844,434.95001220703125,433.9348449707031,412808,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.03257104712939136
2022-10-17,434.3999938964844,434.95001220703125,418.20001220703125,426.0,425.0057067871094,578380,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.04005260523930319
2022-10-18,428.0,443.70001220703125,425.75,439.1000061035156,438.07513427734375,505366,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.042160921214401056
2022-10-19,440.3999938964844,449.0,435.79998779296875,443.5,442.4648742675781,389368,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.030289152310169525
2022-10-20,442.3999938964844,445.6000061035156,432.75,436.95001220703125,435.93017578125,243955,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.029693832705986425
2022-10-21,438.70001220703125,439.70001220703125,421.0,422.8500061035156,421.8630676269531,280283,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.0444180812518557
2022-10-24,426.25,429.3999938964844,422.79998779296875,424.45001220703125,423.4593505859375,93005,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.015610232483609793
2022-10-25,424.6000061035156,438.0,419.0,435.3500061035156,434.3338928222656,339614,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.045346062052505964
2022-10-27,437.0,437.95001220703125,422.04998779296875,424.5,423.50921630859375,214082,HARSHA,Industrials,Tools & Accessories,N/A,EQUITY,0.0017,15.032,2.914,12.23,0.03767332039791944
