Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2017-11-17,310.0,369.0,307.0,344.6000061035156,337.629150390625,168836552,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.20195439739413681
2017-11-20,344.70001220703125,358.8999938964844,344.0,355.3500061035156,348.16168212890625,14650240,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.04331393574559411
2017-11-21,356.3999938964844,418.8999938964844,352.5,385.29998779296875,377.50579833984375,43078194,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.1883687770113032
2017-11-22,388.0,408.0,386.8999938964844,395.20001220703125,387.20556640625,15227642,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.054536072464144214
2017-11-23,390.0,392.0,371.1000061035156,374.8500061035156,367.2672119140625,12300150,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.056319034095231126
2017-11-24,376.04998779296875,383.0,366.1000061035156,370.70001220703125,363.201171875,9463228,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.04616223330984011
2017-11-27,371.0,384.5,371.0,380.3500061035156,372.6559753417969,3832223,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.03638814016172507
2017-11-28,383.0,386.3999938964844,378.1000061035156,382.20001220703125,374.468505859375,2409447,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.021951831946536368
2017-11-29,382.3999938964844,384.70001220703125,376.1000061035156,377.79998779296875,370.15753173828125,1657909,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.02286627483103153
2017-11-30,379.79998779296875,379.79998779296875,370.79998779296875,371.5,363.9849548339844,2536960,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.024271845459242655
2017-12-01,373.70001220703125,379.54998779296875,368.0,372.75,365.20965576171875,1904781,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.03138583639393682
2017-12-04,374.04998779296875,374.8999938964844,362.0,362.79998779296875,355.4609680175781,1323453,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.0356353422554817
2017-12-05,361.0,365.8999938964844,357.1499938964844,362.3500061035156,355.02008056640625,1806017,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.024499510428484236
2017-12-06,360.8999938964844,371.70001220703125,358.54998779296875,368.3500061035156,360.8987121582031,3331373,HDFCLIFE,Financial Services,Insurance - Life,N/A,EQUITY,0.0033000002,6.477,0.953,7.31,0.03667556787550496
