Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2008-02-19,149.82000732421875,149.82000732421875,149.82000732421875,149.82000732421875,124.4757308959961,0,HERCULES,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0069,0.572,3.227,11.23,0.0
2008-02-20,147.8000030517578,149.81500244140625,144.75,149.71499633789062,124.38845825195312,3960,HERCULES,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0069,0.572,3.227,11.23,0.034991381287780655
2008-02-21,157.0,157.0,146.3000030517578,149.74000549316406,124.40926361083984,1880,HERCULES,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0069,0.572,3.227,11.23,0.07313736654165863
2008-02-22,142.5,149.9499969482422,142.3000030517578,149.72500610351562,124.39677429199219,840,HERCULES,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0069,0.572,3.227,11.23,0.05375961863965593
2008-02-25,143.5,145.0,142.25,144.4550018310547,120.01826477050781,1660,HERCULES,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0069,0.572,3.227,11.23,0.019332161687170474
2008-02-26,142.5,147.75,140.5124969482422,146.63999938964844,121.83365631103516,1020,HERCULES,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0069,0.572,3.227,11.23,0.051507895802490426
2008-02-27,149.89999389648438,149.9499969482422,142.5,143.24249267578125,119.01089477539062,1820,HERCULES,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0069,0.572,3.227,11.23,0.05228068033854167
2008-02-28,140.25,145.4499969482422,140.25,145.4499969482422,120.8449478149414,300,HERCULES,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0069,0.572,3.227,11.23,0.03707662708194073
2008-02-29,141.5,141.5,138.25,138.3000030517578,114.90447235107422,680,HERCULES,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0069,0.572,3.227,11.23,0.023508137432188065
2008-03-03,137.10000610351562,137.10000610351562,131.39999389648438,132.00250244140625,109.67230987548828,1580,HERCULES,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0069,0.572,3.227,11.23,0.043379090348525155
