Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,5.071123123168945,5.071123123168945,4.659093856811523,4.836584091186523,3.3941359519958496,136537,HERITGFOOD,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0045,16.354,1.71,11.48,0.08843549390082396
2002-07-02,4.703466892242432,4.817566871643066,4.633738994598389,4.703466892242432,3.3007185459136963,96948,HERITGFOOD,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0045,16.354,1.71,11.48,0.03967160801654308
2002-07-03,4.602044105529785,4.690789222717285,4.2597432136535645,4.443572044372559,3.1183342933654785,124248,HERITGFOOD,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0045,16.354,1.71,11.48,0.10119060878648933
2002-07-04,4.437232971191406,4.614721775054932,4.424554824829102,4.48794412612915,3.14947247505188,46190,HERITGFOOD,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0045,16.354,1.71,11.48,0.0429799059463966
2002-07-05,4.449911117553711,4.614721775054932,4.449911117553711,4.544993877410889,3.189509153366089,59158,HERITGFOOD,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0045,16.354,1.71,11.48,0.0370368425677283
2002-07-08,4.449911117553711,4.564011096954346,4.437232971191406,4.443572044372559,3.1183342933654785,67125,HERITGFOOD,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0045,16.354,1.71,11.48,0.028571437782519513
2002-07-09,4.437232971191406,4.722483158111572,4.437232971191406,4.671772003173828,3.2784767150878906,139298,HERITGFOOD,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0045,16.354,1.71,11.48,0.06428560068225936
2002-07-10,4.690789222717285,4.690789222717285,4.513299942016602,4.551332950592041,3.1939568519592285,89258,HERITGFOOD,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0045,16.354,1.71,11.48,0.0393258331998602
2002-07-11,4.564011096954346,4.690789222717285,4.500621795654297,4.513299942016602,3.167267084121704,96885,HERITGFOOD,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0045,16.354,1.71,11.48,0.04225358976988687
2002-07-12,4.564011096954346,4.690789222717285,4.538654804229736,4.621060848236084,3.242889642715454,46459,HERITGFOOD,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0045,16.354,1.71,11.48,0.03351971565358292
2002-07-15,4.564011096954346,4.614721775054932,4.500621795654297,4.538654804229736,3.1850597858428955,33862,HERITGFOOD,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0045,16.354,1.71,11.48,0.02535204791275891
