Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,207.0,209.0,199.5500030517578,202.25,49.318843841552734,25104,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.04735653622511405
2002-07-02,202.25,203.0,192.0500030517578,193.60000610351562,47.20952224731445,15568,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.05701638518220249
2002-07-03,198.5,208.5,195.60000610351562,202.75,49.44076156616211,51361,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.06595088698339523
2002-07-04,208.4499969482422,209.0,199.0500030517578,200.25,48.831138610839844,17769,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.04998742424362057
2002-07-05,200.10000610351562,202.0,196.10000610351562,197.75,48.22151184082031,6941,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.030086658403110582
2002-07-08,196.0,203.0,196.0,201.35000610351562,49.09938049316406,10423,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.03571428571428571
2002-07-09,197.10000610351562,222.4499969482422,197.10000610351562,214.85000610351562,52.39136505126953,63601,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.12861486585349427
2002-07-10,218.0,220.0,207.35000610351562,214.1999969482422,52.23286056518555,25913,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.06100792632805181
2002-07-11,219.0,227.0,202.0,206.10000610351562,50.25767135620117,53570,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.12376237623762376
2002-07-12,206.14999389648438,212.35000610351562,203.0,205.39999389648438,50.086978912353516,20938,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.04605914336707204
2002-07-15,202.0,204.0,195.3000030517578,199.64999389648438,48.684810638427734,10859,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.044546834676375
2002-07-16,198.0,211.8000030517578,197.0500030517578,205.35000610351562,50.07476806640625,30193,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.07485409678540181
2002-07-17,208.6999969482422,211.0,203.8000030517578,206.6999969482422,50.40397262573242,14848,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.03532873817677838
2002-07-18,207.0500030517578,212.39999389648438,206.0,209.4499969482422,51.07456588745117,12782,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.031067931536331916
2002-07-19,209.89999389648438,214.89999389648438,204.0,204.64999389648438,49.90408706665039,12108,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.053431342629825365
2002-07-22,203.0,205.9499969482422,201.0,202.39999389648438,49.35541534423828,12252,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.024626850488767102
2002-07-23,201.0,203.1999969482422,196.5500030517578,198.1999969482422,48.33124923706055,8443,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.033833598540994284
2002-07-24,199.0,207.0,199.0,203.8000030517578,49.696807861328125,17140,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.04020100502512563
2002-07-25,202.0500030517578,210.0,202.0500030517578,204.0500030517578,49.75777816772461,8516,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.03934668066402201
2002-07-26,201.0,201.0,199.10000610351562,199.10000610351562,48.550716400146484,7639,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.009542912296529687
2002-07-29,198.5,201.6999969482422,192.0,194.75,47.48995590209961,38345,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.05052081743876139
2002-07-30,200.10000610351562,205.89999389648438,197.0,201.35000610351562,49.09938049316406,20705,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.045177633992306475
2002-07-31,239.0,239.0,190.0500030517578,197.1999969482422,48.087379455566406,6969,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.2575637788067346
2002-08-01,208.4499969482422,208.4499969482422,198.3000030517578,202.89999389648438,49.47734832763672,5795,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.05118504155461435
2002-08-02,200.0,218.39999389648438,196.35000610351562,214.3000030517578,52.257240295410156,24330,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.11229939958007441
2002-08-05,212.0,218.5,207.0,216.6999969482422,52.84248733520508,15240,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.05555555555555555
2002-08-06,210.10000610351562,230.0,210.10000610351562,221.25,53.9520149230957,187607,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.09471676972098568
2002-08-07,225.0,227.89999389648438,209.0,210.3000030517578,51.28184127807617,46029,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.09043059280614534
2002-08-08,211.9499969482422,211.9499969482422,204.0,204.89999389648438,49.965057373046875,10809,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.038970573275696994
2002-08-09,208.9499969482422,208.9499969482422,203.39999389648438,204.85000610351562,49.95284652709961,10169,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.02728615151572893
2002-08-12,220.0,224.89999389648438,210.0,213.0,51.94023132324219,78939,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.07095235188802083
2002-08-13,217.0,217.0,209.0,210.1999969482422,51.257450103759766,5221,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.03827751196172249
2002-08-14,206.0,212.8000030517578,206.0,210.8000030517578,51.403770446777344,9325,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.03300972355222239
2002-08-15,210.8000030517578,210.8000030517578,210.8000030517578,210.8000030517578,51.403770446777344,0,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.0
2002-08-16,211.10000610351562,215.89999389648438,191.5,211.8000030517578,51.64760971069336,66597,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.1274151117309889
2002-08-19,213.0,215.5,203.5500030517578,208.1999969482422,50.76974868774414,7193,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.05870791829565138
2002-08-20,210.9499969482422,212.89999389648438,207.0,211.14999389648438,51.489105224609375,10681,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.028502385973354468
2002-08-21,212.5500030517578,213.0,208.0500030517578,210.3000030517578,51.28184127807617,8882,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.023792342588962845
2002-08-22,212.4499969482422,214.75,210.5500030517578,210.89999389648438,51.42815017700195,4944,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.019947741094117847
2002-08-23,207.5,220.0,206.25,207.85000610351562,50.68440628051758,19446,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.06666666666666667
2002-08-26,211.0,217.85000610351562,207.14999389648438,207.1999969482422,50.525901794433594,28724,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.05165345171276321
2002-08-27,210.0,211.85000610351562,207.10000610351562,207.6999969482422,50.647830963134766,6526,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.022935779140565493
2002-08-28,207.10000610351562,210.0500030517578,205.89999389648438,209.0,50.96483612060547,11541,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.0201554603122516
2002-08-29,207.3000030517578,207.85000610351562,204.5,205.35000610351562,50.07476806640625,3693,HEUBACHIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,,5.719,2.229,17.84,0.016381447938951712
