Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2012-04-20,88.0,92.4000015258789,83.5999984741211,92.4000015258789,87.92903137207031,13892,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.1052631963202955
2012-04-23,97.0,97.0,87.80000305175781,87.80000305175781,83.5516128540039,9155,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.10478356068870316
2012-04-24,83.44999694824219,84.94999694824219,83.44999694824219,83.44999694824219,79.41209411621094,5009,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.01797483588801493
2012-04-25,79.4000015258789,80.0,79.30000305175781,79.30000305175781,75.46290588378906,10877,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.008827199512026639
2012-04-26,75.44999694824219,75.44999694824219,75.3499984741211,75.3499984741211,71.70403289794922,7153,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.0013271197895967863
2012-04-27,71.5999984741211,71.6500015258789,71.5999984741211,71.5999984741211,68.13548278808594,7879,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.000698366659545188
2012-04-30,71.0,77.5,71.0,74.05000305175781,70.46693420410156,10289,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.09154929577464789
2012-05-02,74.0999984741211,77.6500015258789,74.0,75.4000015258789,71.7516098022461,19344,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.049324344944309546
2012-05-03,71.80000305175781,74.0,71.6500015258789,72.25,68.7540283203125,41505,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.03279830319713684
2012-05-04,75.0,78.0,68.1500015258789,69.94999694824219,66.56531524658203,19212,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.14453409029463793
2012-05-07,67.5,67.9000015258789,57.25,59.5,56.620967864990234,26129,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.1860262275262691
2012-05-08,57.54999923706055,61.900001525878906,53.599998474121094,53.79999923706055,51.196773529052734,40629,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.15485080761271255
2012-05-09,53.150001525878906,58.849998474121094,49.5,49.900001525878906,47.4854850769043,11191,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.1888888580630524
2012-05-10,47.099998474121094,53.0,46.349998474121094,49.29999923706055,46.91451644897461,28971,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.14347360830209835
2012-05-11,49.0,53.900001525878906,49.0,52.25,49.72177505493164,8044,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.10000003114038584
2012-05-14,52.0,57.0,51.400001525878906,54.25,51.625,2265,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.10894938342174179
2012-05-15,53.04999923706055,59.0,53.04999923706055,55.099998474121094,52.433868408203125,10333,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.11215835718208272
2012-05-16,52.900001525878906,55.0,51.150001525878906,51.400001525878906,48.91290283203125,4597,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.07526878512746905
2012-05-17,51.0,53.95000076293945,48.150001525878906,48.400001525878906,46.05806350708008,7995,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.1204568858412861
2012-05-18,48.099998474121094,48.45000076293945,46.400001525878906,47.54999923706055,45.24919128417969,12915,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.04418101658719107
2012-05-21,47.0,48.849998474121094,45.150001525878906,46.150001525878906,43.916934967041016,4595,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.08194898833218062
2012-05-22,45.599998474121094,47.79999923706055,44.79999923706055,45.099998474121094,42.91773986816406,24898,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.06696428685468073
2012-05-23,44.45000076293945,45.25,43.0,44.25,42.10887145996094,3280,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.05232558139534884
2012-05-24,43.0,44.0,41.650001525878906,42.0,39.967742919921875,18505,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.05642253032478139
2012-05-25,41.95000076293945,45.900001525878906,40.5,40.75,38.77822494506836,5395,HEXATRADEX,Financial Services,Credit Services,N/A,EQUITY,,1.188,3.543,16.71,0.13333337100935572
