Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-08-12,48.25,49.20000076293945,47.900001525878906,48.54999923706055,47.70160675048828,1632747,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.0271398579467309
2002-08-13,49.0,49.0,47.650001525878906,48.20000076293945,47.35772705078125,1000175,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.028331551540200985
2002-08-14,47.900001525878906,48.20000076293945,46.599998474121094,46.79999923706055,45.9821891784668,1253472,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.03433481418903708
2002-08-15,46.79999923706055,46.79999923706055,46.79999923706055,46.79999923706055,45.9821891784668,0,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.0
2002-08-16,48.0,48.0,44.400001525878906,44.849998474121094,44.066261291503906,3944661,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.08108104392795584
2002-08-19,46.79999923706055,46.79999923706055,42.75,43.20000076293945,42.445098876953125,3018922,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.09473682425872625
2002-08-20,43.79999923706055,46.900001525878906,41.849998474121094,46.5,45.68743133544922,9960283,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.12066913347393782
2002-08-21,46.75,49.5,45.599998474121094,47.79999923706055,46.9647102355957,9841478,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.08552635211363516
2002-08-22,48.25,48.95000076293945,46.150001525878906,46.599998474121094,45.78567886352539,4885154,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.06067170410580441
2002-08-23,46.95000076293945,47.79999923706055,46.04999923706055,46.75,45.93305969238281,3783145,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.038002172182266154
2002-08-26,46.70000076293945,47.54999923706055,46.099998474121094,46.650001525878906,45.834808349609375,2156565,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.03145337984671371
2002-08-27,47.0,47.75,44.900001525878906,45.20000076293945,44.4101448059082,3914782,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.06347435138679108
2002-08-28,44.650001525878906,45.20000076293945,43.650001525878906,44.900001525878906,44.11539077758789,2025829,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.03550971782077932
2002-08-29,44.5,45.20000076293945,43.650001525878906,44.25,43.476749420166016,1745453,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.03550971782077932
2002-08-30,44.70000076293945,46.20000076293945,44.29999923706055,45.849998474121094,45.04878616333008,2379021,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.04288942570205285
2002-09-02,46.0,55.04999923706055,46.0,55.04999923706055,54.08802032470703,14637789,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.19673911384914233
2002-09-03,55.5,58.20000076293945,53.54999923706055,55.54999923706055,54.57928466796875,24356698,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.08683476362518344
2002-09-04,53.349998474121094,55.849998474121094,52.25,55.04999923706055,54.08802032470703,15798537,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.06889949232767643
2002-09-05,57.0,57.0,53.45000076293945,54.599998474121094,53.64588165283203,15371314,HFCL,Technology,Communication Equipment,N/A,EQUITY,0.0016,24.782,2.076,2.33,0.06641719712606636
