Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
1996-01-01,15.929047584533691,15.971638679504395,15.54572868347168,15.630910873413086,14.718749046325684,3756,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.02739723590348937
1996-01-02,15.758684158325195,15.758684158325195,15.503137588500977,15.673501968383789,14.758854866027832,7630,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.016483538791125955
1996-01-03,15.673501968383789,15.758684158325195,15.375365257263184,15.375365257263184,14.478116989135742,2582,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.02493071836982444
1996-01-04,15.375365257263184,16.056821823120117,15.417956352233887,15.758684158325195,14.839066505432129,7161,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.04143645605752841
1996-01-05,16.780868530273438,16.780868530273438,16.056821823120117,16.184593200683594,15.240120887756348,4695,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.04509277832994136
1996-01-08,16.184593200683594,16.227184295654297,15.417956352233887,15.417956352233887,14.518221855163574,4930,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.05248607045791528
1996-01-09,15.417956352233887,15.417956352233887,14.480953216552734,14.821681022644043,13.956744194030762,5752,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.06470590172269135
1996-01-10,14.821681022644043,14.90686321258545,14.523544311523438,14.56613540649414,13.716110229492188,2700,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.026392930874171976
1996-01-11,14.56613540649414,14.693907737731934,14.480953216552734,14.480953216552734,13.635899543762207,4226,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.014705835865540773
1996-01-12,14.480953216552734,14.90686321258545,14.736498832702637,14.821681022644043,13.956744194030762,3169,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.011560709352804129
1996-01-15,14.821681022644043,15.119817733764648,14.90686321258545,14.992045402526855,14.117165565490723,821,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.014285669502850717
1996-01-16,14.992045402526855,14.90686321258545,14.480953216552734,14.523544311523438,13.676004409790039,1643,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.029411737588232116
1996-01-17,14.523544311523438,15.247591972351074,14.055042266845703,14.182815551757812,13.3551607131958,1643,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.08484853213984739
1996-01-18,14.182815551757812,14.055042266845703,12.862492561340332,12.862492561340332,12.111886024475098,1878,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.09271528825522615
1996-01-19,12.862492561340332,13.969860076904297,13.28840446472168,13.416176795959473,12.633258819580078,1643,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.05128197399407575
1996-01-22,12.819902420043945,13.416176795959473,12.819902420043945,12.947674751281738,12.192097663879395,939,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.0465116157969542
1996-01-23,13.203222274780273,13.671723365783691,13.203222274780273,13.671723365783691,12.873892784118652,3639,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.035483844871589475
1996-01-24,13.629132270812988,14.055042266845703,13.629132270812988,13.671723365783691,12.873892784118652,3052,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.031249971573378017
1996-01-25,13.629132270812988,13.842086791992188,13.586541175842285,13.629132270812988,12.833786964416504,2934,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.01880873232138569
1996-01-26,13.629132270812988,13.629132270812988,13.629132270812988,13.629132270812988,12.833786964416504,0,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.0
1996-01-29,13.629132270812988,14.267997741699219,13.629132270812988,14.140225410461426,13.315054893493652,1643,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.0468749923466787
1996-01-30,14.480953216552734,14.693907737731934,14.225406646728516,14.693907737731934,13.836427688598633,3991,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.032934108854537486
1996-01-31,14.90686321258545,15.54572868347168,14.90686321258545,15.119817733764648,14.237482070922852,2817,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.04285713645959092
1996-02-01,15.54572868347168,16.610504150390625,15.54572868347168,16.610504150390625,15.641179084777832,6456,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.06849312043191784
1996-02-02,16.610504150390625,17.462326049804688,16.610504150390625,17.462326049804688,16.44329071044922,4813,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.051282121945349285
1996-02-05,17.888235092163086,18.271554946899414,17.675281524658203,17.675281524658203,16.643815994262695,3287,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.033734875532781164
1996-02-06,17.675281524658203,18.314146041870117,17.036415100097656,17.845645904541016,16.804243087768555,14439,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.0749999888042841
1996-02-07,17.462326049804688,17.462326049804688,17.036415100097656,17.036415100097656,16.042234420776367,4108,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.025000033587147676
1996-02-08,17.036415100097656,17.036415100097656,16.184593200683594,17.036415100097656,16.042234420776367,1291,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.05263165337872588
1996-02-09,16.610504150390625,17.462326049804688,16.610504150390625,17.462326049804688,16.44329071044922,2582,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.051282121945349285
1996-02-12,17.462326049804688,17.675281524658203,17.249370574951172,17.249370574951172,16.242761611938477,1878,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.024691390787645415
1996-02-13,17.291961669921875,17.888235092163086,17.036415100097656,17.036415100097656,16.042234420776367,3874,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.04999995521713643
1996-02-14,17.036415100097656,17.888235092163086,17.036415100097656,17.07900619506836,16.082340240478516,1760,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.04999995521713643
1996-02-15,16.993824005126953,16.993824005126953,15.801275253295898,16.184593200683594,15.240120887756348,1408,HINDOILEXP,Energy,Oil & Gas E&P,N/A,EQUITY,,14.823,1.315,17.13,0.07547167761553344
