Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2020-02-11,41.25,41.25,41.20000076293945,41.20000076293945,38.886024475097656,18000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.001213573692588923
2020-02-12,41.150001525878906,41.150001525878906,41.0,41.099998474121094,38.79164123535156,18000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.003658573801924543
2020-02-13,41.04999923706055,41.04999923706055,41.0,41.0,38.69725799560547,6000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0012194935868426067
2020-02-14,41.0,41.0,41.0,41.0,38.69725799560547,6000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-02-17,41.04999923706055,41.04999923706055,41.0,41.0,38.69725799560547,6000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0012194935868426067
2020-02-18,41.0,41.0,41.0,41.0,38.69725799560547,12000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-02-19,41.0,41.0,41.0,41.0,38.69725799560547,3000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-02-20,41.0,41.0,41.0,41.0,38.69725799560547,3000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-02-24,41.0,41.0,41.0,41.0,38.69725799560547,6000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-02-25,41.0,41.0,41.0,41.0,38.69725799560547,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-02-26,41.20000076293945,41.20000076293945,41.20000076293945,41.20000076293945,38.886024475097656,3000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-02-27,41.20000076293945,41.20000076293945,41.20000076293945,41.20000076293945,38.886024475097656,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-02-28,41.0,41.0,41.0,41.0,38.69725799560547,24000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-02,41.0,41.0,41.0,41.0,38.69725799560547,3000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-03,41.0,41.0,41.0,41.0,38.69725799560547,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-04,41.0,41.0,41.0,41.0,38.69725799560547,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-05,40.900001525878906,40.900001525878906,40.900001525878906,40.900001525878906,38.602874755859375,6000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-06,40.900001525878906,40.900001525878906,40.900001525878906,40.900001525878906,38.602874755859375,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-09,40.900001525878906,40.900001525878906,40.900001525878906,40.900001525878906,38.602874755859375,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-11,41.0,41.0,41.0,41.0,38.69725799560547,12000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-12,41.0,41.0,41.0,41.0,38.69725799560547,24000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-13,41.0,41.0,41.0,41.0,38.69725799560547,3000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-16,41.0,41.0,41.0,41.0,38.69725799560547,15000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-17,41.0,41.0,41.0,41.0,38.69725799560547,30000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-18,41.0,41.0,41.0,41.0,38.69725799560547,30000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-19,41.0,41.0,41.0,41.0,38.69725799560547,27000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-20,41.0,41.0,41.0,41.0,38.69725799560547,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-23,40.900001525878906,40.900001525878906,40.900001525878906,40.900001525878906,38.602874755859375,12000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-24,40.900001525878906,40.900001525878906,40.900001525878906,40.900001525878906,38.602874755859375,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-25,40.900001525878906,41.20000076293945,40.900001525878906,41.20000076293945,38.886024475097656,9000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.00733494439775819
2020-03-26,41.20000076293945,41.20000076293945,41.20000076293945,41.20000076293945,38.886024475097656,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-27,41.20000076293945,41.20000076293945,41.20000076293945,41.20000076293945,38.886024475097656,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-03-30,40.900001525878906,41.0,40.900001525878906,41.0,38.69725799560547,6000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0024449503762932895
2020-03-31,40.900001525878906,40.900001525878906,40.900001525878906,40.900001525878906,38.602874755859375,3000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-04-01,40.900001525878906,40.900001525878906,40.900001525878906,40.900001525878906,38.602874755859375,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-04-03,40.900001525878906,41.0,40.900001525878906,40.900001525878906,38.602874755859375,39000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0024449503762932895
2020-04-07,40.20000076293945,40.20000076293945,40.20000076293945,40.20000076293945,37.94218826293945,3000,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
2020-04-08,40.20000076293945,40.20000076293945,40.20000076293945,40.20000076293945,37.94218826293945,0,HPIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0027,44.524,1.534,1.41,0.0
