Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-03-02,32.099998474121094,34.790000915527344,29.010000228881836,30.030000686645508,28.495555877685547,265180,HSCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0011999999,19.882,1.918,9.14,0.19924166291081385
2007-03-05,29.989999771118164,29.989999771118164,27.104999542236328,27.75,26.332059860229492,30570,HSCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0011999999,19.882,1.918,9.14,0.10643793682365825
2007-03-06,25.5,29.0,25.5,28.579999923706055,27.119646072387695,14290,HSCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0011999999,19.882,1.918,9.14,0.13725490196078433
2007-03-07,29.200000762939453,29.200000762939453,27.100000381469727,27.825000762939453,26.40322494506836,17940,HSCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0011999999,19.882,1.918,9.14,0.07749078789333347
2007-03-08,28.9950008392334,29.5,26.549999237060547,28.190000534057617,26.749574661254883,15490,HSCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0011999999,19.882,1.918,9.14,0.11111114303994456
2007-03-09,29.69499969482422,29.69499969482422,27.049999237060547,27.975000381469727,26.545562744140625,17170,HSCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0011999999,19.882,1.918,9.14,0.0977819050782013
2007-03-12,28.5,28.5,27.899999618530273,28.165000915527344,26.72585678100586,14970,HSCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0011999999,19.882,1.918,9.14,0.021505390310873906
2007-03-13,27.649999618530273,28.5,27.649999618530273,28.5,27.043737411499023,37860,HSCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0011999999,19.882,1.918,9.14,0.03074142470873958
2007-03-14,27.510000228881836,28.649999618530273,27.510000228881836,27.924999237060547,26.49811553955078,5730,HSCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0011999999,19.882,1.918,9.14,0.041439454022671726
2007-03-15,28.899999618530273,30.0,27.014999389648438,27.8700008392334,26.445926666259766,11990,HSCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0011999999,19.882,1.918,9.14,0.11049419499507189
