Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2013-07-23,258.5018615722656,258.5018615722656,245.5767822265625,254.26779174804688,155.13417053222656,788660,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.0526315200831111
2013-07-24,254.04493713378906,254.04493713378906,241.56553649902344,241.56553649902344,147.3842315673828,217378,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.05166051753750923
2013-07-25,236.21722412109375,236.21722412109375,229.4872589111328,229.4872589111328,140.01499938964844,39361,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.029326095234625052
2013-07-26,218.032958984375,218.032958984375,218.032958984375,218.032958984375,133.02651977539062,62982,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.0
2013-07-29,207.69288635253906,208.7179718017578,207.15805053710938,207.15805053710938,126.39146423339844,444293,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.0075301020674984585
2013-07-30,196.81797790527344,196.81797790527344,196.81797790527344,196.81797790527344,120.08279418945312,16315,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.0
2013-07-31,187.0127410888672,187.0127410888672,187.0127410888672,187.0127410888672,114.10040283203125,43943,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.0
2013-08-01,172.61685180664062,190.7119903564453,172.61685180664062,182.42210388183594,114.57627868652344,1653607,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.10482834300601329
2013-08-02,179.1685333251953,186.56704711914062,173.3299560546875,182.95692443847656,114.91223907470703,476238,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.07636932106690593
2013-08-05,188.97378540039062,188.97378540039062,177.38577270507812,183.58090209960938,115.30410766601562,272127,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.06532661846888221
2013-08-06,181.8426971435547,181.8426971435547,165.8868865966797,176.98464965820312,111.1611099243164,443829,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.0961848816035008
2013-08-07,176.494384765625,182.42210388183594,170.03182983398438,175.02359008789062,109.92938995361328,877364,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.07287032116250924
2013-08-08,172.1265869140625,177.296630859375,172.1265869140625,173.90936279296875,109.22960662841797,990572,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.030036289210183104
2013-08-12,181.39700317382812,181.39700317382812,170.2546844482422,171.50262451171875,107.71795654296875,412083,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.06544500529718598
2013-08-13,172.30487060546875,175.60299682617188,167.66966247558594,170.43295288085938,107.04611206054688,1042953,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.047315264034369336
2013-08-14,169.5415802001953,184.516845703125,167.5805206298828,179.8370819091797,112.95268249511719,678017,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.1010638050865568
2013-08-16,181.8426971435547,181.8426971435547,164.148681640625,168.56105041503906,105.87039947509766,526173,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.10779261414762781
2013-08-19,162.41049194335938,172.57228088378906,162.41049194335938,170.78952026367188,107.27009582519531,199230,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.06256854972136658
2013-08-20,169.3187255859375,171.77003479003906,160.89512634277344,169.3187255859375,106.34629821777344,814281,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.06759004262253136
2013-08-21,170.2546844482422,175.33558654785156,166.06517028808594,170.78952026367188,107.27009582519531,150702,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.055823965035434735
2013-08-22,169.80899047851562,174.71160888671875,166.02059936523438,172.17115783691406,108.13786315917969,209465,IBULHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0064999997,245.177,130.521,23.58,0.052348982925695425
