Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2005-09-12,9.5600004196167,9.5600004196167,8.489999771118164,8.550000190734863,7.91319465637207,232500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.12603070404530908
2005-09-13,9.399999618530273,9.399999618530273,8.529999732971191,8.729999542236328,8.079788208007812,220000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.10199295577891436
2005-09-14,8.800000190734863,9.180000305175781,8.300000190734863,8.380000114440918,7.755857467651367,132000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.10602410773715955
2005-09-15,8.5,8.789999961853027,8.5,8.729999542236328,8.079788208007812,56500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.03411764257094439
2005-09-16,8.760000228881836,8.800000190734863,8.569999694824219,8.619999885559082,7.977981090545654,45500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.02683786512262672
2005-09-19,8.510000228881836,8.880000114440918,8.399999618530273,8.5,7.866919040679932,84000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.05714291877487359
2005-09-20,8.5,8.520000457763672,8.09000015258789,8.199999809265137,7.589263439178467,33000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.053152076275082574
2005-09-21,8.0,8.050000190734863,7.090000152587891,7.400000095367432,6.848846435546875,57590,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.13540197707845847
2005-09-22,7.199999809265137,7.5,6.0,6.389999866485596,5.914071559906006,118500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.25
2005-09-23,7.28000020980835,7.28000020980835,6.199999809265137,6.599999904632568,6.108431339263916,48500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.17419361834967886
2005-09-26,6.679999828338623,7.25,6.679999828338623,7.130000114440918,6.598956108093262,88500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.08532936920795418
2005-09-27,7.199999809265137,7.510000228881836,7.03000020980835,7.190000057220459,6.6544880867004395,28500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.0682788057963048
2005-09-28,7.579999923706055,7.579999923706055,6.210000038146973,6.670000076293945,6.1732177734375,54000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.22061189648041965
2005-09-29,7.099999904632568,7.21999979019165,6.610000133514404,6.710000038146973,6.210239410400391,14000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.09228436374522757
2005-09-30,6.760000228881836,7.0,6.170000076293945,6.389999866485596,5.914071559906006,68000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.13452186603611843
2005-10-03,6.400000095367432,6.579999923706055,6.400000095367432,6.429999828338623,5.95109224319458,62000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.0281249727588151
2005-10-04,6.510000228881836,6.599999904632568,6.420000076293945,6.599999904632568,6.108431339263916,31000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.028037356105847747
2005-10-05,6.230000019073486,6.980000019073486,6.230000019073486,6.630000114440918,6.136196613311768,15500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.12038523237621732
2005-10-06,6.75,6.75,6.619999885559082,6.699999809265137,6.200983047485352,2300,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.01963747986227329
2005-10-07,6.989999771118164,6.989999771118164,6.449999809265137,6.550000190734863,6.062155246734619,9500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.08372092679403517
2005-10-10,6.880000114440918,6.900000095367432,6.630000114440918,6.769999980926514,6.2657694816589355,34500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.0407239783206673
2005-10-11,6.960000038146973,7.0,6.619999885559082,6.849999904632568,6.339811325073242,9000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.05740183096828341
2005-10-13,6.800000190734863,6.829999923706055,6.699999809265137,6.760000228881836,6.256515026092529,37500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.019403002707723438
2005-10-14,6.610000133514404,6.71999979019165,6.599999904632568,6.710000038146973,6.210239410400391,92500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.018181801105005106
2005-10-17,6.409999847412109,6.590000152587891,6.139999866485596,6.199999809265137,5.738223552703857,21000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.07328995047028648
2005-10-18,6.199999809265137,6.300000190734863,6.199999809265137,6.210000038146973,5.747478485107422,5000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.016129094281630188
2005-10-19,6.199999809265137,6.199999809265137,5.440000057220459,5.539999961853027,5.12738037109375,17000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.13970583530342753
2005-10-20,5.199999809265137,5.670000076293945,4.46999979019165,4.75,4.396219253540039,29500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.26845645244445193
2005-10-21,4.800000190734863,5.360000133514404,4.800000190734863,5.309999942779541,4.914510726928711,17000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.11666665010982155
2005-10-24,4.75,5.5,4.75,5.5,5.090358734130859,11000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.15789473684210525
2005-10-25,5.760000228881836,5.760000228881836,5.5,5.5,5.090358734130859,8500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.04727276888760654
2005-10-26,4.699999809265137,5.579999923706055,4.690000057220459,5.179999828338623,4.794192314147949,7000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.18976542763904708
2005-10-27,5.46999979019165,5.5,5.179999828338623,5.5,5.090358734130859,15,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.061776096962537996
2005-10-28,5.010000228881836,5.389999866485596,4.849999904632568,5.099999904632568,4.720151901245117,15000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.11134020050953738
2005-10-31,5.940000057220459,5.949999809265137,4.809999942779541,5.289999961853027,4.895999908447266,6500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.23700621206802494
2005-11-02,4.849999904632568,5.71999979019165,4.849999904632568,5.639999866485596,5.2199320793151855,18000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.17938142323015002
2005-11-04,5.639999866485596,5.639999866485596,5.639999866485596,5.639999866485596,5.2199320793151855,0,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.0
2005-11-07,5.699999809265137,6.349999904632568,5.639999866485596,6.090000152587891,5.636416435241699,52000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.12588653456642523
2005-11-08,6.199999809265137,6.599999904632568,6.03000020980835,6.329999923706055,5.858541011810303,119000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.0945273092855058
2005-11-09,6.019999980926514,6.199999809265137,5.800000190734863,5.840000152587891,5.405035495758057,85000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.06896544920278584
2005-11-10,6.090000152587891,6.099999904632568,5.699999809265137,5.809999942779541,5.377270698547363,36000,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.07017545767584876
2005-11-11,6.010000228881836,6.010000228881836,5.860000133514404,5.860000133514404,5.42354679107666,7500,ICIL,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0049,45.759,1.813,17.04,0.025597285315669852
