Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,6.75,8.050000190734863,6.75,7.900000095367432,7.900000095367432,229970,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.19259262084960938
2002-07-02,7.699999809265137,8.699999809265137,7.199999809265137,7.449999809265137,7.449999809265137,202638,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.20833333885228206
2002-07-03,7.449999809265137,7.449999809265137,6.550000190734863,6.949999809265137,6.949999809265137,73800,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.13740451791182312
2002-07-04,7.0,8.25,6.650000095367432,7.900000095367432,7.900000095367432,115134,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.24060148596797332
2002-07-05,7.5,7.75,7.400000095367432,7.5,7.5,39246,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.047297283800263226
2002-07-08,8.0,8.050000190734863,7.25,7.400000095367432,7.400000095367432,70445,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.1103448538944639
2002-07-09,7.449999809265137,8.050000190734863,7.449999809265137,7.900000095367432,7.900000095367432,67514,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.080536966017575
2002-07-10,8.0,8.100000381469727,7.5,7.550000190734863,7.550000190734863,66434,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.0800000508626302
2002-07-11,8.0,8.0,7.199999809265137,7.349999904632568,7.349999904632568,32588,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.11111114054550437
2002-07-12,7.449999809265137,7.650000095367432,7.150000095367432,7.199999809265137,7.199999809265137,17818,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.06993006899733552
2002-07-15,7.849999904632568,7.849999904632568,7.099999904632568,7.550000190734863,7.550000190734863,93316,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.10563380423577812
2002-07-16,7.199999809265137,7.550000190734863,7.099999904632568,7.400000095367432,7.400000095367432,48636,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.06338032283756528
2002-07-17,7.900000095367432,7.900000095367432,6.800000190734863,7.449999809265137,7.449999809265137,25330,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.16176468732035335
2002-07-18,7.099999904632568,7.650000095367432,7.050000190734863,7.349999904632568,7.349999904632568,14368,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.08510636714891022
2002-07-19,7.5,7.550000190734863,7.25,7.5,7.5,30953,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.04137933665308459
2002-07-22,7.300000190734863,7.300000190734863,6.199999809265137,6.25,6.25,21200,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.1774194218241606
2002-07-23,7.199999809265137,7.199999809265137,6.0,6.900000095367432,6.900000095367432,35227,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.1999999682108561
2002-07-24,6.900000095367432,6.900000095367432,6.25,6.300000190734863,6.300000190734863,2925,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.10400001525878906
2002-07-25,6.849999904632568,7.599999904632568,6.849999904632568,7.349999904632568,7.349999904632568,48015,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.10948905261922479
2002-07-26,7.199999809265137,7.25,6.25,6.349999904632568,6.349999904632568,12049,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.16
2002-07-29,6.699999809265137,6.75,6.400000095367432,6.5,6.5,20866,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.05468748428393179
2002-07-30,6.599999904632568,6.650000095367432,5.900000095367432,6.0,6.0,10440,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.1271186420130545
2002-07-31,5.699999809265137,5.849999904632568,5.349999904632568,5.599999904632568,5.599999904632568,4325,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.09345794559118584
2002-08-01,6.699999809265137,6.699999809265137,5.599999904632568,5.75,5.75,8157,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.19642855774383133
2002-08-02,5.449999809265137,6.25,5.449999809265137,5.849999904632568,5.849999904632568,9776,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.14678903096011908
2002-08-05,6.099999904632568,6.550000190734863,5.849999904632568,6.550000190734863,6.550000190734863,7460,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.11965817051517733
2002-08-06,6.650000095367432,6.849999904632568,6.449999809265137,6.849999904632568,6.849999904632568,4901,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.06201552049549666
2002-08-07,6.699999809265137,6.800000190734863,6.449999809265137,6.5,6.5,4000,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.05426362663871193
2002-08-08,6.75,6.849999904632568,6.5,6.5,6.5,4128,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.05384613917424129
2002-08-09,6.400000095367432,6.650000095367432,6.400000095367432,6.550000190734863,6.550000190734863,6830,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.0390624994179234
2002-08-12,7.5,7.5,6.199999809265137,6.400000095367432,6.400000095367432,10300,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.2096774565689781
2002-08-13,6.400000095367432,6.75,6.349999904632568,6.550000190734863,6.550000190734863,4300,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.0629921419487922
2002-08-14,6.300000190734863,6.699999809265137,6.300000190734863,6.599999904632568,6.599999904632568,6700,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.0634920010190691
2002-08-15,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,0,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.0
2002-08-16,6.5,6.5,6.400000095367432,6.400000095367432,6.400000095367432,2000,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.015624984866008388
2002-08-19,7.25,7.25,5.5,5.599999904632568,5.599999904632568,4200,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.3181818181818182
2002-08-20,6.699999809265137,6.699999809265137,5.0,5.550000190734863,5.550000190734863,4800,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.33999996185302733
2002-08-21,5.5,5.5,5.25,5.300000190734863,5.300000190734863,1500,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.047619047619047616
2002-08-22,5.5,5.5,5.050000190734863,5.099999904632568,5.099999904632568,1600,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.08910886975623142
2002-08-23,4.800000190734863,5.25,4.800000190734863,5.0,5.0,3600,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.09374995653828158
2002-08-26,4.699999809265137,5.0,4.599999904632568,4.699999809265137,4.699999809265137,2200,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.08695654427396825
2002-08-27,5.5,5.5,4.150000095367432,4.199999809265137,4.199999809265137,2100,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.3253011743637183
2002-08-28,4.099999904632568,4.449999809265137,4.050000190734863,4.449999809265137,4.449999809265137,3200,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.09876533325735336
2002-08-29,4.0,4.150000095367432,3.75,3.950000047683716,3.950000047683716,3300,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.10666669209798177
2002-08-30,3.6500000953674316,4.0,3.4000000953674316,3.799999952316284,3.799999952316284,7300,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.17647055523618374
2002-09-02,4.0,4.599999904632568,4.0,4.599999904632568,4.599999904632568,6000,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.1499999761581421
2002-09-03,4.949999809265137,5.0,4.650000095367432,4.699999809265137,4.699999809265137,6100,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.07526879515147886
2002-09-04,4.599999904632568,4.75,4.449999809265137,4.599999904632568,4.599999904632568,1400,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.06741577608840497
2002-09-05,4.5,4.949999809265137,4.5,4.650000095367432,4.650000095367432,2100,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.09999995761447483
2002-09-06,4.5,4.550000190734863,4.5,4.550000190734863,4.550000190734863,648,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.011111153496636285
2002-09-09,4.050000190734863,4.599999904632568,4.050000190734863,4.599999904632568,4.599999904632568,3700,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.13580239209764305
2002-09-10,4.599999904632568,4.599999904632568,4.599999904632568,4.599999904632568,4.599999904632568,0,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.0
2002-09-11,4.199999809265137,4.800000190734863,4.199999809265137,4.449999809265137,4.449999809265137,400,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.14285724017085302
2002-09-12,4.5,4.5,4.25,4.25,4.25,2,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.058823529411764705
2002-09-13,4.400000095367432,4.449999809265137,4.25,4.25,4.25,4500,IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,22.873,1.138,12.51,0.04705877865062041
