Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,6.0,6.0,5.699999809265137,5.75,4.605463027954102,436099,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.05263161417079772
2002-07-02,5.75,6.699999809265137,5.699999809265137,6.25,5.005937099456787,1824534,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.17543860236179962
2002-07-03,6.349999904632568,6.449999809265137,6.050000190734863,6.099999904632568,4.8857951164245605,584236,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.06611563734210188
2002-07-04,6.099999904632568,6.300000190734863,6.050000190734863,6.099999904632568,4.8857951164245605,523373,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.04132231274684204
2002-07-05,6.099999904632568,6.300000190734863,5.949999809265137,6.25,5.005937099456787,700289,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.05882359540998941
2002-07-08,6.349999904632568,7.5,6.300000190734863,7.099999904632568,5.6867451667785645,5738379,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.19047615443407834
2002-07-09,7.300000190734863,7.900000095367432,7.25,7.349999904632568,5.8869829177856445,5787759,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.08965518556792161
2002-07-10,7.0,7.550000190734863,6.900000095367432,6.949999809265137,5.5666022300720215,1950637,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.09420291107007854
2002-07-11,7.0,7.25,6.699999809265137,6.75,5.406412124633789,1268791,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.08208958304361323
2002-07-12,6.699999809265137,7.0,6.650000095367432,6.699999809265137,5.366364479064941,694156,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.05263156385161373
2002-07-15,6.800000190734863,6.800000190734863,6.099999904632568,6.25,5.005937099456787,862984,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.11475414705673823
2002-07-16,6.0,6.550000190734863,6.0,6.199999809265137,4.965889930725098,676649,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.09166669845581055
2002-07-17,6.25,6.349999904632568,5.849999904632568,5.949999809265137,4.765652179718018,637355,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.08547008686342951
2002-07-18,6.0,6.199999809265137,6.0,6.099999904632568,4.8857951164245605,292759,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.03333330154418945
2002-07-19,6.150000095367432,6.150000095367432,5.949999809265137,6.0,4.805699825286865,371507,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.03361349454009415
2002-07-22,5.849999904632568,5.949999809265137,5.650000095367432,5.699999809265137,4.5654144287109375,306278,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.05309729359892966
2002-07-23,5.550000190734863,5.949999809265137,5.550000190734863,5.650000095367432,4.525367259979248,396660,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.07207200086191536
2002-07-24,5.599999904632568,5.699999809265137,5.400000095367432,5.5,4.4052252769470215,294510,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.05555550159250362
2002-07-25,5.599999904632568,5.900000095367432,5.550000190734863,5.599999904632568,4.4853196144104,365136,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.063063043712477
2002-07-26,5.599999904632568,5.599999904632568,5.050000190734863,5.099999904632568,4.084845066070557,395646,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.1089108303217055
2002-07-29,5.199999809265137,5.449999809265137,4.949999809265137,5.199999809265137,4.164939880371094,610387,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.10101010490225223
2002-07-30,5.449999809265137,5.449999809265137,4.900000095367432,5.0,4.004749774932861,358110,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.11224483738636801
2002-07-31,4.900000095367432,4.949999809265137,4.550000190734863,4.699999809265137,3.764464855194092,385337,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.08791200038733847
2002-08-01,4.75,5.199999809265137,4.75,4.849999904632568,3.884608030319214,315509,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.0947368019505551
2002-08-02,4.5,4.699999809265137,4.400000095367432,4.449999809265137,3.56422758102417,399939,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.06818175168076966
2002-08-05,4.550000190734863,4.800000190734863,4.300000190734863,4.699999809265137,3.764464855194092,155991,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.1162790646096578
2002-08-06,4.550000190734863,4.800000190734863,4.550000190734863,4.699999809265137,3.764464855194092,260858,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.05494505264177207
2002-08-07,4.800000190734863,4.949999809265137,4.699999809265137,4.849999904632568,3.884608030319214,190187,IFCI,Financial Services,Credit Services,N/A,EQUITY,,70.07,14.523,0.42,0.05319149152031316
