Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2015-04-06,162.1999969482422,194.60000610351562,155.1999969482422,192.64999389648438,192.64999389648438,9021323,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.2538660433634737
2015-04-07,192.25,207.0,184.8000030517578,185.8000030517578,185.8000030517578,1743051,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.12012985163222388
2015-04-08,187.0,188.0,176.6999969482422,178.8000030517578,178.8000030517578,353582,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.06395021645115102
2015-04-09,179.0,180.85000610351562,170.14999389648438,172.25,172.25,216767,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.06288576309641779
2015-04-10,171.0,183.8000030517578,165.0500030517578,177.5500030517578,177.5500030517578,561701,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.11360193670593398
2015-04-13,179.5500030517578,179.89999389648438,173.10000610351562,174.9499969482422,174.9499969482422,166933,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.039283579163493995
2015-04-15,174.9499969482422,184.0,170.35000610351562,175.89999389648438,175.89999389648438,344759,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.08012910717590324
2015-04-16,174.39999389648438,177.89999389648438,171.1999969482422,172.5,172.5,100236,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.0391354968906206
2015-04-17,171.0,174.9499969482422,165.60000610351562,167.0,167.0,108023,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.05646129529054447
2015-04-20,166.8000030517578,168.89999389648438,158.8000030517578,159.8000030517578,159.8000030517578,75271,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.0636019562382166
2015-04-21,161.0,163.60000610351562,155.75,157.75,157.75,89290,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.05040132329705056
2015-04-22,158.0,164.4499969482422,156.0,159.4499969482422,159.4499969482422,134378,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.05416664710411659
2015-04-23,159.89999389648438,163.85000610351562,157.0,159.14999389648438,159.14999389648438,99392,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.043630612124303345
2015-04-24,158.5,159.39999389648438,141.0,144.4499969482422,144.4499969482422,143358,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.13049641061336437
2015-04-27,143.10000610351562,143.89999389648438,134.0500030517578,135.6999969482422,135.6999969482422,140731,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.07347997478913447
2015-04-28,135.9499969482422,139.8000030517578,131.9499969482422,137.3000030517578,137.3000030517578,444326,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.05949227953824671
2015-04-29,136.25,145.39999389648438,134.6999969482422,140.14999389648438,140.14999389648438,175135,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.0794357623657082
2015-04-30,143.0,143.9499969482422,136.0,140.64999389648438,140.64999389648438,88393,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.058455859913545495
2015-05-04,142.0,150.0,141.0,143.9499969482422,143.9499969482422,109865,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.06382978723404255
2015-05-05,142.3000030517578,148.35000610351562,138.10000610351562,146.9499969482422,146.9499969482422,339292,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.07422157528593379
2015-05-06,146.10000610351562,149.8000030517578,138.64999389648438,139.9499969482422,139.9499969482422,68670,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.08041838908119965
2015-05-07,139.5500030517578,140.0,134.89999389648438,135.14999389648438,135.14999389648438,73017,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.0378058290160422
2015-05-08,138.89999389648438,140.8000030517578,136.3000030517578,137.6999969482422,137.6999969482422,38686,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.03301540645080686
2015-05-11,138.0500030517578,143.8000030517578,138.0500030517578,140.0,140.0,23121,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.041651574595360244
2015-05-12,140.0,140.0,136.0,136.10000610351562,136.10000610351562,33241,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.029411764705882353
2015-05-13,138.8000030517578,144.1999969482422,136.60000610351562,140.1999969482422,140.1999969482422,55618,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.05563682653840646
2015-05-14,141.0,166.39999389648438,140.5500030517578,162.85000610351562,162.85000610351562,896401,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.18392024392349002
2015-05-15,164.3000030517578,167.0,155.35000610351562,158.14999389648438,158.14999389648438,166199,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.07499191141789553
2015-05-18,159.0,159.0,153.0,153.9499969482422,153.9499969482422,34850,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.0392156862745098
2015-05-19,154.0,168.89999389648438,150.25,165.9499969482422,165.9499969482422,259921,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.1241264152844218
2015-05-20,167.89999389648438,182.0,164.25,177.4499969482422,177.4499969482422,766031,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.1080669710806697
2015-05-21,179.0,181.5,173.3000030517578,179.75,179.75,260362,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.047316773247794895
2015-05-22,177.10000610351562,179.0,169.5,171.6999969482422,171.6999969482422,50106,IMAGICAA,Communication Services,Entertainment,N/A,EQUITY,,31.742,0.518,10.75,0.05604719764011799
