Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2022-03-29,132.60000610351562,150.0,132.60000610351562,147.89999389648438,146.03988647460938,147455,INDOBORAX,Basic Materials,Chemicals,N/A,EQUITY,0.005,0.011,13.204,12.16,0.13122166738741234
2022-03-30,150.0,159.0,147.0,149.14999389648438,147.274169921875,98454,INDOBORAX,Basic Materials,Chemicals,N/A,EQUITY,0.005,0.011,13.204,12.16,0.08163265306122448
2022-03-31,149.0,151.6999969482422,142.35000610351562,143.39999389648438,141.5964813232422,30879,INDOBORAX,Basic Materials,Chemicals,N/A,EQUITY,0.005,0.011,13.204,12.16,0.06568310814070029
2022-04-01,144.0,158.0500030517578,144.0,153.89999389648438,151.96441650390625,140132,INDOBORAX,Basic Materials,Chemicals,N/A,EQUITY,0.005,0.011,13.204,12.16,0.09756946563720703
2022-04-04,156.75,184.64999389648438,154.89999389648438,162.9499969482422,160.9005889892578,130435,INDOBORAX,Basic Materials,Chemicals,N/A,EQUITY,0.005,0.011,13.204,12.16,0.19205940072458072
2022-04-05,164.8000030517578,177.0,163.0,174.0,171.81163024902344,165040,INDOBORAX,Basic Materials,Chemicals,N/A,EQUITY,0.005,0.011,13.204,12.16,0.08588957055214724
2022-04-06,175.89999389648438,177.0,165.0,166.89999389648438,164.80091857910156,74485,INDOBORAX,Basic Materials,Chemicals,N/A,EQUITY,0.005,0.011,13.204,12.16,0.07272727272727272
2022-04-07,166.60000610351562,171.1999969482422,162.0,164.75,162.67796325683594,72338,INDOBORAX,Basic Materials,Chemicals,N/A,EQUITY,0.005,0.011,13.204,12.16,0.05679010461877893
2022-04-08,166.8000030517578,166.8000030517578,158.10000610351562,160.35000610351562,158.33331298828125,53370,INDOBORAX,Basic Materials,Chemicals,N/A,EQUITY,0.005,0.011,13.204,12.16,0.05502844157100085
2022-04-11,164.0,166.75,160.35000610351562,162.39999389648438,160.35751342773438,43385,INDOBORAX,Basic Materials,Chemicals,N/A,EQUITY,0.005,0.011,13.204,12.16,0.03991265140553092
