Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2005-01-14,53.540000915527344,62.0,46.79999923706055,52.56666564941406,41.90776824951172,38190000,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.3247863463831575
2005-01-17,53.33333206176758,53.586666107177734,48.80666732788086,49.459999084472656,39.43104553222656,7159552,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.09793741390259392
2005-01-18,49.65999984741211,51.15999984741211,46.81999969482422,49.02000045776367,39.08026885986328,10163820,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.09269543316694344
2005-01-19,49.06666564941406,49.85333251953125,47.47999954223633,47.83333206176758,38.134212493896484,4133752,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.049985951983501996
2005-01-20,47.599998474121094,47.85333251953125,45.90666580200195,46.233333587646484,36.858646392822266,1730820,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.04240488137224734
2005-01-24,46.233333587646484,46.68000030517578,44.766666412353516,45.01333236694336,35.886024475097656,989580,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.0427401467689869
2005-01-25,45.20000076293945,45.33333206176758,44.47999954223633,44.78666687011719,35.70531463623047,886575,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.019184634179705003
2005-01-27,45.233333587646484,46.90666580200195,45.20000076293945,45.560001373291016,36.321842193603516,1070205,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.03775807544812776
2005-01-28,45.77333450317383,48.266666412353516,45.599998474121094,47.72666549682617,38.04917526245117,2570602,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.058479562005814736
2005-01-31,48.133331298828125,48.18666458129883,45.893333435058594,46.59333419799805,37.14564895629883,1305472,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.04997089935699299
2005-02-01,46.93333435058594,47.9466667175293,46.06666564941406,47.31999969482422,37.724971771240234,1429890,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.04081044376909764
2005-02-02,47.53333282470703,47.733333587646484,46.666664123535156,46.926666259765625,37.41138458251953,468090,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.02285720404800437
2005-02-03,46.68000030517578,47.586666107177734,46.34666442871094,46.87333297729492,37.368873596191406,527535,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.026754928186345117
2005-02-04,47.279998779296875,47.279998779296875,45.619998931884766,45.97999954223633,36.65667724609375,437317,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.03638754682766775
2005-02-07,46.52000045776367,47.573333740234375,45.33333206176758,45.53333282470703,36.30058288574219,337027,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.04941180311684898
2005-02-08,45.666664123535156,45.91999816894531,44.68000030517578,45.01333236694336,35.886024475097656,441780,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.02775286157788787
2005-02-09,45.586666107177734,45.720001220703125,44.666664123535156,45.04666519165039,35.912593841552734,868890,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.02358217515986287
2005-02-10,45.52000045776367,45.52000045776367,43.86666488647461,44.0533332824707,35.12068176269531,591412,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.037690022151623266
2005-02-11,44.20000076293945,45.0,43.62666702270508,44.060001373291016,35.125999450683594,388230,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.03147920918598214
2005-02-14,44.279998779296875,46.06666564941406,43.33333206176758,45.666664123535156,36.40688705444336,1340835,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.06307693079660653
2005-02-15,45.86666488647461,46.599998474121094,44.85333251953125,45.779998779296875,36.49723434448242,844260,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.038941720859409126
2005-02-16,45.86666488647461,45.86666488647461,44.666664123535156,45.00666427612305,35.88071060180664,301950,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.026865690252144102
2005-02-17,44.85333251953125,45.0,44.279998779296875,44.7599983215332,35.68406295776367,143737,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.016260190617705297
2005-02-18,44.93333435058594,45.27333450317383,44.0,44.086666107177734,35.14725875854492,128415,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.028939420526677914
2005-02-21,44.93333435058594,44.93333435058594,43.93333435058594,44.01333236694336,35.08878707885742,466215,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.022761759715755857
2005-02-22,43.86666488647461,44.36000061035156,43.48666763305664,43.69333267211914,34.833675384521484,276487,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.020082775361500747
2005-02-23,43.46666717529297,44.119998931884766,43.33333206176758,43.459999084472656,34.64765548706055,324855,INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0064999997,60.51,1.559,10.49,0.018153851381561614
