Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-08-12,26.0,26.399999618530273,25.399999618530273,25.649999618530273,14.897597312927246,50559,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.03937007933143675
2002-08-13,26.200000762939453,26.5,25.700000762939453,25.950000762939453,15.071837425231934,39876,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.031128374058812535
2002-08-14,26.0,26.299999237060547,24.5,24.899999618530273,14.461996078491211,134805,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.0734693566147162
2002-08-15,24.899999618530273,24.899999618530273,24.899999618530273,24.899999618530273,14.461996078491211,0,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.0
2002-08-16,25.649999618530273,25.649999618530273,25.25,25.350000381469727,14.72335433959961,38929,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.0158415690507039
2002-08-19,25.5,25.899999618530273,24.25,24.450000762939453,14.200632095336914,37978,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.06804122138269168
2002-08-20,24.5,24.899999618530273,24.5,24.600000381469727,14.287753105163574,35113,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.016326515042051976
2002-08-21,24.899999618530273,25.100000381469727,24.5,24.649999618530273,14.316795349121094,41270,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.02448981148856027
2002-08-22,26.0,26.0,24.100000381469727,24.350000381469727,14.142553329467773,16442,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.07883815719734039
2002-08-23,25.399999618530273,25.5,24.25,24.950000762939453,14.491034507751465,114309,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.05154639175257732
2002-08-26,25.200000762939453,26.5,25.200000762939453,25.850000381469727,15.013755798339844,128415,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.05158726975010252
2002-08-27,25.899999618530273,26.0,25.350000381469727,25.5,14.810479164123535,47961,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.02564101020706131
2002-08-28,25.950000762939453,25.950000762939453,25.0,25.25,14.665277481079102,40985,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.03800003051757812
2002-08-29,25.25,25.25,24.100000381469727,24.450000762939453,14.200632095336914,61920,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.047717825739724794
2002-08-30,24.549999237060547,25.0,24.5,24.850000381469727,14.432955741882324,43210,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.02040816326530612
2002-09-02,25.899999618530273,25.899999618530273,25.049999237060547,25.549999237060547,14.839517593383789,50238,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.03393215199033549
2002-09-03,25.5,25.75,24.75,25.25,14.665277481079102,71826,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.04040404040404041
2002-09-04,25.0,28.399999618530273,24.799999237060547,27.899999618530273,16.204404830932617,354021,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.14516131017012165
2002-09-05,27.899999618530273,28.5,26.600000381469727,27.049999237060547,15.710719108581543,163712,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.07142855606324969
2002-09-06,26.700000762939453,27.75,25.850000381469727,26.350000381469727,15.304163932800293,164547,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.07350095127628184
2002-09-09,26.299999237060547,27.25,26.0,26.399999618530273,15.333199501037598,52951,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.04807692307692308
2002-09-10,26.399999618530273,26.399999618530273,26.399999618530273,26.399999618530273,15.333199501037598,0,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.0
2002-09-11,26.0,26.5,26.0,26.200000762939453,15.217039108276367,50473,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.019230769230769232
2002-09-12,26.5,28.5,26.350000381469727,28.049999237060547,16.29152488708496,389128,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.0815939122354712
2002-09-13,28.399999618530273,30.899999618530273,28.0,28.25,16.407684326171875,864022,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.10357141494750977
2002-09-16,28.5,29.399999618530273,27.5,27.950000762939453,16.233442306518555,216015,INDORAMA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,363.849,0.607,-7.79,0.06909089521928267
