Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2018-05-21,600.0,606.7999877929688,579.0999755859375,586.0999755859375,579.062744140625,16614188,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.04783286716426499
2018-05-22,585.7999877929688,597.7999877929688,580.6500244140625,595.5999755859375,588.4486083984375,1568501,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.02953580066790212
2018-05-23,596.0,605.0,593.2999877929688,603.5999755859375,596.3525390625,1489463,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.019720229981049577
2018-05-24,603.0,607.7999877929688,585.0499877929688,589.7999877929688,582.71826171875,461588,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.038885566147640924
2018-05-25,586.5499877929688,592.8499755859375,582.1500244140625,588.2999877929688,581.236328125,164099,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.01838005792861482
2018-05-28,588.2999877929688,591.0,584.2000122070312,587.1500244140625,580.1001586914062,152266,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.011639828228142765
2018-05-29,584.9000244140625,587.4500122070312,581.0,584.7999877929688,577.7783203125,214823,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.011101570063737092
2018-05-30,584.7999877929688,589.0,572.2999877929688,582.1500244140625,575.16015625,161239,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.029180521690090496
2018-05-31,585.0,597.9000244140625,581.7000122070312,590.0999755859375,583.0146484375,369402,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.027849427311453363
2018-06-01,585.0999755859375,590.0,582.5,587.1500244140625,580.1001586914062,127900,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.012875536480686695
2018-06-04,584.0,587.9000244140625,580.0,584.5,577.48193359375,146430,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.013620731748383621
2018-06-05,576.0,579.0999755859375,568.25,572.1500244140625,565.2802734375,406120,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.019093665791355036
2018-06-06,570.0,579.9000244140625,561.0,570.6500244140625,563.7982177734375,64585,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.0336898830910205
2018-06-07,570.0,574.9000244140625,565.0,566.4500122070312,559.648681640625,162542,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.0175221671045354
2018-06-08,561.0499877929688,565.7999877929688,561.0499877929688,563.0,556.2401123046875,61224,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.008466268787715904
2018-06-11,560.2000122070312,568.5999755859375,559.0,559.9500122070312,553.2266845703125,71839,INDOSTAR,Financial Services,Credit Services,N/A,EQUITY,,234.038,804.491,8.52,0.017173480475737926
