Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2011-08-04,2.924999952316284,5.625,2.2799999713897705,5.168749809265137,5.037890911102295,2350716800,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,1.4671052941159863
2011-08-05,5.099999904632568,5.576250076293945,4.175000190734863,4.275000095367432,4.166768550872803,449349600,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.33562869977077553
2011-08-08,4.324999809265137,5.130000114440918,4.125,5.12624979019165,4.996467113494873,333775560,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.24363639137961648
2011-08-09,5.150000095367432,5.712500095367432,4.65625,5.478750228881836,5.340043067932129,276643400,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.22684565806548868
2011-08-10,5.525000095367432,5.962500095367432,5.474999904632568,5.677499771118164,5.533761024475098,286993480,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.08904113227881048
2011-08-11,5.696249961853027,6.18625020980835,5.141250133514404,5.567500114440918,5.4265456199646,316788240,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.2032579721188579
2011-08-12,5.625,5.838749885559082,4.800000190734863,4.84250020980835,4.719901084899902,233188160,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.21640617782250335
2011-08-16,4.650000095367432,5.81125020980835,4.441249847412109,5.78249979019165,5.636102199554443,375460240,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.30847180624042836
2011-08-17,5.582499980926514,6.423749923706055,5.315000057220459,5.823750019073486,5.6763081550598145,315768640,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.20860768665079363
2011-08-18,5.823750019073486,5.823750019073486,5.823750019073486,5.823750019073486,5.6763081550598145,0,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.0
2011-08-19,5.097499847412109,5.309999942779541,4.132500171661377,4.132500171661377,4.027875900268555,225830640,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.28493641190697816
2011-08-22,3.994999885559082,4.242499828338623,3.5087499618530273,4.108749866485596,4.004727363586426,212806000,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.2091200212220567
2011-08-23,4.125,4.322500228881836,3.4549999237060547,3.984999895095825,3.88411021232605,300128080,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.251085477375422
2011-08-24,3.973750114440918,3.983750104904175,3.5875000953674316,3.5875000953674316,3.4966742992401123,72466200,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.11045296139460012
2011-08-25,3.375,3.6987500190734863,3.228749990463257,3.4962499141693115,3.4077343940734863,139064320,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.14556717924846033
2011-08-26,3.372499942779541,3.612499952316284,3.1475000381469727,3.3299999237060547,3.2456932067871094,143609480,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.1477362695897125
2011-08-29,3.4000000953674316,3.663749933242798,3.4000000953674316,3.6475000381469727,3.555155038833618,68823240,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.07757347955217138
2011-08-30,3.708750009536743,3.9000000953674316,3.6075000762939453,3.8062500953674316,3.709886074066162,66377680,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.08108108465349702
2011-09-02,3.8499999046325684,3.853749990463257,3.5,3.6024999618530273,3.51129412651062,44699880,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.10107142584664482
2011-09-05,3.497499942779541,3.6500000953674316,3.4149999618530273,3.4412500858306885,3.3541266918182373,13239080,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.06881409550203622
2011-09-06,3.4375,3.586250066757202,3.3550000190734863,3.523750066757202,3.4345381259918213,15275440,INVENTURE,Financial Services,Capital Markets,N/A,EQUITY,,11.289,3.827,0.13,0.06892698848555524
