Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2019-10-14,125.19999694824219,148.75999450683594,125.0,145.5500030517578,141.9103546142578,226353035,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.1900799560546875
2019-10-15,147.1999969482422,149.47999572753906,139.2100067138672,142.6300048828125,139.0633544921875,52650205,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.07377335333932461
2019-10-16,142.8000030517578,144.1999969482422,139.64999389648438,140.1300048828125,136.62586975097656,17381530,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.03258147691098722
2019-10-17,140.02000427246094,146.60000610351562,137.42999267578125,144.86000061035156,141.23760986328125,25164650,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.06672497938181417
2019-10-18,145.0,157.97999572753906,143.2100067138672,155.8300018310547,151.9332733154297,48666150,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.10313517436796321
2019-10-22,157.38999938964844,173.35000610351562,156.1999969482422,168.94000244140625,164.71542358398438,46733940,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.10979519520065162
2019-10-23,173.1999969482422,181.97999572753906,173.1999969482422,180.05999755859375,175.55735778808594,45116345,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.05069283449191183
2019-10-24,184.99000549316406,190.6999969482422,172.52999877929688,180.41000366210938,175.8986358642578,59356565,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.10531500781025718
2019-10-25,181.0,183.1999969482422,175.1999969482422,179.80999755859375,175.31362915039062,19247675,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.04566210125199586
2019-10-27,182.1999969482422,185.0,179.0,181.5399932861328,177.0003204345703,6711285,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.0335195530726257
2019-10-29,181.39999389648438,181.47999572753906,175.72999572753906,176.6199951171875,172.20338439941406,10118740,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.03272065179421673
2019-10-30,176.1999969482422,184.0,176.1699981689453,178.08999633789062,173.63661193847656,16381015,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.044445716707936796
2019-10-31,180.0,181.5399932861328,175.39999389648438,176.33999633789062,171.93035888671875,9198590,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.03500569899262411
2019-11-01,177.0,181.58999633789062,176.6199951171875,178.10000610351562,173.64639282226562,9411150,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.02813951623883539
2019-11-04,179.0,179.60000610351562,176.0500030517578,176.69000244140625,172.27163696289062,4195835,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.020164742915193982
2019-11-05,177.33999633789062,181.39999389648438,174.25999450683594,176.3000030517578,171.89141845703125,10190335,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.04097325613865061
2019-11-06,177.0,179.0,176.1999969482422,176.86000061035156,172.43739318847656,4950450,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.015891050512221623
2019-11-07,177.8000030517578,178.39999389648438,176.02000427246094,176.3000030517578,171.89141845703125,3875510,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.01352113149786917
2019-11-08,175.9499969482422,178.1999969482422,174.4600067138672,175.3800048828125,170.99440002441406,4743845,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.021437522013334428
2019-11-11,177.1999969482422,188.6699981689453,176.8000030517578,186.5800018310547,181.91432189941406,27509375,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.06713798027318238
2019-11-13,191.0,196.17999267578125,180.63999938964844,186.41000366210938,181.7485809326172,30872350,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.08602742105092882
2019-11-14,183.0,189.39999389648438,179.39999389648438,181.4600067138672,176.92234802246094,14336980,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.055741361985609104
2019-11-15,184.0,187.9600067138672,180.39999389648438,185.63999938964844,180.9978485107422,15970190,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.04190694608183211
2019-11-18,186.82000732421875,187.5800018310547,183.41000366210938,184.42999267578125,179.8180694580078,5720000,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.022735936348529672
2019-11-19,184.5500030517578,184.8000030517578,180.0,180.50999450683594,175.99609375,5522965,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.026666683620876735
2019-11-20,181.8000030517578,183.39999389648438,178.0,179.13999938964844,174.66036987304688,6322985,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.03033704436227177
2019-11-21,179.60000610351562,181.1999969482422,176.02000427246094,176.9600067138672,172.53489685058594,6485590,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.029428431712586214
2019-11-22,177.8000030517578,177.8000030517578,174.47999572753906,175.17999267578125,170.79937744140625,3738365,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.019028011264988452
2019-11-25,175.8000030517578,178.0,174.6199951171875,176.42999267578125,172.0181121826172,3437825,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.019356345076886404
2019-11-26,177.39999389648438,179.0,175.10000610351562,175.74000549316406,171.3453826904297,3971740,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.022272951230959848
2019-11-27,176.22000122070312,178.1999969482422,176.0,176.64999389648438,172.23265075683594,2933130,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.012499982660466974
2019-11-28,176.99000549316406,177.55999755859375,175.6199951171875,176.49000549316406,172.07664489746094,2078740,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.011046592047287824
2019-11-29,176.42999267578125,183.74000549316406,175.60000610351562,179.4499969482422,174.9626007080078,8998765,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.046355347988142635
2019-12-02,180.39999389648438,180.57000732421875,175.6300048828125,176.2100067138672,171.8036651611328,2332100,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.02812732622026869
2019-12-03,177.1999969482422,177.8000030517578,174.1999969482422,175.0,170.6239013671875,2754285,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.020665936662359694
2019-12-04,174.39999389648438,177.0,172.4600067138672,174.82000732421875,170.4484100341797,3705230,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.026324904959937938
2019-12-05,175.89999389648438,177.77999877929688,174.39999389648438,175.19000244140625,170.80914306640625,2634880,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.01938076262100509
2019-12-06,175.39999389648438,175.72999572753906,173.6300048828125,174.47000122070312,170.10714721679688,1776855,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.012094631029607481
2019-12-09,175.30999755859375,175.30999755859375,172.8300018310547,173.47999572753906,169.1419219970703,1771245,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.014349335770784262
2019-12-10,173.9600067138672,173.9600067138672,171.05999755859375,172.17999267578125,167.8743896484375,1974045,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.016953169628568993
2019-12-11,172.77999877929688,173.99000549316406,171.10000610351562,172.92999267578125,168.60565185546875,2205205,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.01689070301902845
2019-12-12,173.0,175.60000610351562,172.02000427246094,173.97999572753906,169.62939453125,1451385,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.020811543670144053
2019-12-13,174.85000610351562,180.67999267578125,174.02000427246094,178.10000610351562,173.64639282226562,7002525,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.03827139547067734
2019-12-16,178.89999389648438,178.89999389648438,176.42999267578125,177.33999633789062,172.90538024902344,1780960,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.013999894140687027
2019-12-17,177.8000030517578,179.6999969482422,176.60000610351562,177.35000610351562,172.91514587402344,2816655,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.017553741435940132
2019-12-18,177.36000061035156,177.5,174.66000366210938,175.07000732421875,170.69216918945312,1424660,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.01626014129362309
2019-12-19,174.44000244140625,175.1999969482422,173.24000549316406,173.94000244140625,169.5903778076172,1513725,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.011313734662490905
2019-12-20,174.8000030517578,174.8000030517578,173.10000610351562,173.3699951171875,169.03465270996094,1306000,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.009820894790873499
2019-12-23,173.60000610351562,174.0,172.1999969482422,172.9499969482422,168.62515258789062,1641045,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.010452979579894162
2019-12-24,177.0,179.9600067138672,175.0399932861328,177.50999450683594,173.07110595703125,12020790,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.028107938850818918
2019-12-26,177.1999969482422,177.60000610351562,174.89999389648438,175.3800048828125,170.99440002441406,1962805,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.015437463128953959
2019-12-27,176.38999938964844,177.0800018310547,175.39999389648438,176.1199951171875,171.7158660888672,2102615,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.009578152753880943
2019-12-30,177.0500030517578,187.49000549316406,176.66000366210938,185.22999572753906,180.59805297851562,15237855,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.061304209252530106
2019-12-31,186.39999389648438,190.94000244140625,184.25999450683594,186.69000244140625,182.0215606689453,19445900,IRCTC,Industrials,Railroads,N/A,EQUITY,0.005,1.869,1.955,13.88,0.03625316473306683
