Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2021-01-29,24.899999618530273,25.799999237060547,24.350000381469727,24.799999237060547,21.363664627075195,381938573,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.059548206688910976
2021-02-01,25.25,25.399999618530273,24.899999618530273,25.100000381469727,21.622098922729492,72044464,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.020080321592772482
2021-02-02,25.450000762939453,25.450000762939453,24.700000762939453,24.75,21.320594787597656,36735442,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.030364371531733724
2021-02-03,24.799999237060547,24.899999618530273,24.049999237060547,24.25,20.889873504638672,45816269,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.035343052325752
2021-02-04,24.25,25.799999237060547,23.850000381469727,25.350000381469727,21.83745765686035,88486029,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.08176095699796605
2021-02-05,25.600000381469727,26.200000762939453,25.549999237060547,25.700000762939453,22.138961791992188,56318695,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.025440373592499843
2021-02-08,25.899999618530273,25.950000762939453,25.600000381469727,25.75,22.182031631469727,28324374,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.013671889697434162
2021-02-09,25.75,25.799999237060547,25.200000762939453,25.299999237060547,21.79438591003418,25243532,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.023809462537933153
2021-02-10,25.399999618530273,25.799999237060547,25.0,25.399999618530273,21.880529403686523,33132159,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.031999969482421876
2021-02-11,25.399999618530273,25.649999618530273,25.25,25.399999618530273,21.880529403686523,13586295,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.0158415690507039
2021-02-12,25.5,25.549999237060547,25.299999237060547,25.399999618530273,21.880529403686523,15658220,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.009881423222882515
2021-02-15,26.200000762939453,26.200000762939453,25.649999618530273,25.75,22.182031631469727,45629832,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.021442540061943842
2021-02-16,25.899999618530273,26.0,25.799999237060547,25.899999618530273,22.31124496459961,34557518,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.007751967785028496
2021-02-17,25.299999237060547,25.600000381469727,24.899999618530273,25.299999237060547,22.715274810791016,28638408,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.028112480870020624
2021-02-18,25.450000762939453,25.799999237060547,25.399999618530273,25.649999618530273,23.029518127441406,21022422,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.0157480167140813
2021-02-19,25.649999618530273,25.700000762939453,25.200000762939453,25.350000381469727,22.76016616821289,14542153,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.019841269240567973
2021-02-22,25.299999237060547,25.399999618530273,24.950000762939453,25.0,22.4459228515625,16652770,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.01803602572466632
2021-02-23,25.0,25.149999618530273,24.899999618530273,24.950000762939453,22.401029586791992,13021961,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.010040160796386241
2021-02-24,24.899999618530273,25.200000762939453,24.850000381469727,24.899999618530273,22.356136322021484,10958830,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.014084522176937937
2021-02-25,24.950000762939453,25.200000762939453,24.899999618530273,24.950000762939453,22.401029586791992,22761296,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.012048238915872212
2021-02-26,24.850000381469727,24.950000762939453,24.5,24.649999618530273,22.13167953491211,36424500,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.01836737807916135
2021-03-01,24.649999618530273,26.700000762939453,24.649999618530273,25.899999618530273,23.25397300720215,93579588,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.08316434791618096
2021-03-02,26.100000381469727,26.299999237060547,25.450000762939453,25.649999618530273,23.029518127441406,48494934,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.0333987602608983
2021-03-03,25.799999237060547,25.950000762939453,25.450000762939453,25.5,22.894840240478516,18806435,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.01964636483343863
2021-03-04,25.25,25.700000762939453,25.25,25.399999618530273,22.805057525634766,21742960,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.01782181239364171
2021-03-05,25.399999618530273,25.549999237060547,24.799999237060547,24.950000762939453,22.401029586791992,25255199,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.030241936414224454
2021-03-08,25.100000381469727,25.25,24.799999237060547,24.850000381469727,22.311246871948242,16353985,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.018145192612223245
2021-03-09,24.950000762939453,25.5,24.799999237060547,24.950000762939453,22.401029586791992,21380757,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.028225838083631397
2021-03-10,25.0,25.100000381469727,24.850000381469727,24.850000381469727,22.311246871948242,11360743,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.010060362018602675
2021-03-12,24.899999618530273,25.049999237060547,24.799999237060547,24.850000381469727,22.311246871948242,17086939,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.010080645471408151
2021-03-15,24.899999618530273,24.950000762939453,24.5,24.649999618530273,22.13167953491211,17382950,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.01836737807916135
2021-03-16,24.649999618530273,24.799999237060547,24.5,24.549999237060547,22.041893005371094,9649363,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.012244866818797832
2021-03-17,24.549999237060547,24.600000381469727,24.100000381469727,24.149999618530273,21.682758331298828,14312130,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.020746887638410393
2021-03-18,24.200000762939453,24.600000381469727,23.899999618530273,24.049999237060547,21.592975616455078,16168159,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.029288735318502887
2021-03-19,24.0,24.100000381469727,23.5,23.950000762939453,21.503196716308594,15260549,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.025531931126371345
2021-03-22,24.0,24.5,23.850000381469727,23.899999618530273,21.45829963684082,13817385,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.02725365233265535
2021-03-23,23.899999618530273,24.100000381469727,23.75,23.799999237060547,21.368515014648438,13742805,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.014736858167146382
2021-03-24,23.799999237060547,23.899999618530273,23.399999618530273,23.450000762939453,21.054275512695312,16788250,IRFC,Financial Services,Credit Services,N/A,EQUITY,0.009,841.61,11.22,4.91,0.021367521715857377
