Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2021-11-08,150.0,157.75,150.0,157.64999389648438,157.64999389648438,280452,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.051666666666666666
2021-11-09,161.8000030517578,165.5,152.0,158.3000030517578,158.3000030517578,148381,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.08881578947368421
2021-11-10,152.14999389648438,161.0,150.39999389648438,151.5500030517578,151.5500030517578,43215,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.07047876684630239
2021-11-11,153.0500030517578,153.0500030517578,145.5,147.9499969482422,147.9499969482422,30594,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.051890055338541664
2021-11-12,148.75,151.5500030517578,144.89999389648438,148.5500030517578,148.5500030517578,19337,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.045893784923304835
2021-11-15,141.1999969482422,141.1999969482422,141.14999389648438,141.14999389648438,141.14999389648438,10018,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.00035425472136033814
2021-11-16,134.10000610351562,141.89999389648438,134.10000610351562,134.10000610351562,134.10000610351562,72074,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.058165454421737435
2021-11-17,140.5,140.8000030517578,127.6500015258789,139.60000610351562,139.60000610351562,40129,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.10301607025999888
2021-11-18,144.0,144.0,132.64999389648438,136.5,136.5,25573,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.08556356295329189
2021-11-22,139.9499969482422,139.9499969482422,130.0,130.89999389648438,130.89999389648438,12130,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.07653843806340144
2021-11-23,124.4000015258789,137.39999389648438,124.4000015258789,137.25,137.25,17538,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.10450154510569747
2021-11-24,135.35000610351562,139.60000610351562,134.4499969482422,136.0500030517578,136.0500030517578,5718,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.038304271269384876
2021-11-25,137.0,137.0,132.75,134.0,134.0,8614,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.032015065913371
2021-11-26,130.85000610351562,135.6999969482422,127.30000305175781,129.1999969482422,129.1999969482422,29775,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.06598581064502483
2021-11-29,132.1999969482422,132.1999969482422,122.75,122.80000305175781,122.80000305175781,22505,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.07698571851928462
2021-11-30,125.5,128.5,122.0999984741211,124.1500015258789,124.1500015258789,9385,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.05241606556805467
2021-12-01,125.80000305175781,125.80000305175781,118.55000305175781,122.30000305175781,122.30000305175781,8298,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.06115562896134822
2021-12-02,122.94999694824219,128.39999389648438,122.30000305175781,128.10000610351562,128.10000610351562,6615,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.049877274673043336
2021-12-03,128.60000610351562,134.5,128.14999389648438,133.60000610351562,133.60000610351562,17384,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.04955135704996572
2021-12-06,139.0,140.25,127.9000015258789,135.9499969482422,135.9499969482422,32933,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.09655979927116914
2021-12-07,138.75,140.0500030517578,129.8000030517578,136.3000030517578,136.3000030517578,18716,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.0789676406703381
2021-12-08,141.9499969482422,141.9499969482422,128.3000030517578,129.6999969482422,129.6999969482422,16848,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.10639122035700808
2021-12-09,130.0,132.0,126.5,127.25,127.25,14207,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.043478260869565216
2021-12-10,129.8000030517578,129.8000030517578,122.9000015258789,127.30000305175781,127.30000305175781,8547,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.05614321757698255
2021-12-13,134.8000030517578,135.0,127.5,127.80000305175781,127.80000305175781,24821,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.058823529411764705
2021-12-14,130.0,132.0,125.0999984741211,127.94999694824219,127.94999694824219,17379,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.055155888169785075
2021-12-15,127.94999694824219,128.64999389648438,126.0,128.25,128.25,27144,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.021031697591145832
2021-12-16,126.0,130.5,123.80000305175781,125.30000305175781,125.30000305175781,14376,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.05411952167271821
2021-12-17,127.94999694824219,127.94999694824219,113.5999984741211,118.05000305175781,118.05000305175781,24095,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.12632041079991851
2021-12-20,117.75,124.0,107.25,121.1500015258789,121.1500015258789,21023,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.1561771561771562
2021-12-21,118.19999694824219,128.89999389648438,118.19999694824219,126.5,126.5,19840,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.09052451120559282
2021-12-22,128.89999389648438,137.0,126.4000015258789,127.4000015258789,127.4000015258789,21521,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.08386074640949169
2021-12-23,129.8000030517578,133.0,122.5999984741211,128.75,128.75,6759,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.08482872475788962
2021-12-24,134.8000030517578,137.9499969482422,130.0500030517578,133.60000610351562,133.60000610351562,38209,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.060745818616707796
2021-12-27,133.60000610351562,137.9499969482422,130.9499969482422,136.1999969482422,136.1999969482422,8300,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.05345551861881097
2021-12-28,136.5,136.5,128.14999389648438,131.85000610351562,131.85000610351562,7922,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.0651580686789615
2021-12-29,128.6999969482422,137.14999389648438,128.6999969482422,136.10000610351562,136.10000610351562,15443,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.06565654350124364
2021-12-30,145.10000610351562,149.10000610351562,136.5500030517578,144.6999969482422,144.6999969482422,68592,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.09190774640261903
2021-12-31,150.5,153.0,141.0,144.5,144.5,70917,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.0851063829787234
2022-01-03,150.0,158.9499969482422,144.0,157.39999389648438,157.39999389648438,192604,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.10381942325168186
2022-01-04,158.0,162.39999389648438,154.0,156.6999969482422,156.6999969482422,75559,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.054545414912236204
2022-01-05,159.0,159.0,146.6999969482422,149.25,149.25,31546,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.08384460332400297
2022-01-06,150.89999389648438,151.9499969482422,144.6999969482422,148.3000030517578,148.3000030517578,27146,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.05010366380721664
2022-01-07,147.0,151.60000610351562,141.3000030517578,146.89999389648438,146.89999389648438,49859,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.07289457062492029
2022-01-10,149.0,149.8000030517578,144.14999389648438,147.1999969482422,147.1999969482422,10991,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.039195347863356614
2022-01-11,152.0,152.0,144.64999389648438,148.6999969482422,148.6999969482422,12009,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.050812349904248856
2022-01-12,148.0,150.89999389648438,145.5,147.8000030517578,147.8000030517578,22074,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.03711336011329467
2022-01-13,147.60000610351562,149.75,142.5,144.35000610351562,144.35000610351562,7923,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.05087719298245614
2022-01-14,144.39999389648438,148.0,143.35000610351562,145.75,145.75,8568,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.03243804463549538
2022-01-17,151.8000030517578,153.0,144.8000030517578,145.75,145.75,14320,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.056629811984956605
2022-01-18,145.75,147.9499969482422,142.0,143.0,143.0,9801,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.041901386959452024
2022-01-19,141.9499969482422,144.8000030517578,141.39999389648438,143.5,143.5,9141,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.02404532745427489
2022-01-20,143.39999389648438,145.5500030517578,138.0500030517578,139.3000030517578,139.3000030517578,13018,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.054328140776556844
2022-01-21,145.9499969482422,145.9499969482422,138.10000610351562,139.6999969482422,139.6999969482422,12560,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.056842798680562294
2022-01-24,137.0,139.35000610351562,125.75,132.0500030517578,132.0500030517578,30116,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.10815114197626739
2022-01-25,130.0,131.75,125.0999984741211,126.0999984741211,126.0999984741211,24049,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.05315748686643321
2022-01-27,121.0999984741211,135.0,121.0999984741211,124.5999984741211,124.5999984741211,27312,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.11478118663105778
2022-01-28,128.14999389648438,132.1999969482422,125.5999984741211,129.10000610351562,129.10000610351562,23193,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.052547759190307415
2022-01-31,136.89999389648438,142.0,131.89999389648438,141.89999389648438,141.89999389648438,50060,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.07657321130311916
2022-02-01,148.0,150.39999389648438,132.10000610351562,141.60000610351562,141.60000610351562,37570,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.1385313167860764
2022-02-02,142.25,147.35000610351562,139.9499969482422,143.89999389648438,143.89999389648438,13008,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.05287609372374755
2022-02-03,143.0500030517578,148.85000610351562,140.5,147.25,147.25,13642,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.059430648423598756
2022-02-04,148.5,148.5,138.0,139.6999969482422,139.6999969482422,17176,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.07608695652173914
2022-02-07,145.0,145.0,134.3000030517578,135.64999389648438,135.64999389648438,10994,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.07967235074535718
2022-02-08,137.0,138.5,130.0,131.39999389648438,131.39999389648438,10353,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.06538461538461539
2022-02-09,134.25,136.35000610351562,132.0,134.4499969482422,134.4499969482422,11584,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.032954591693300186
2022-02-10,135.9499969482422,135.9499969482422,126.0999984741211,131.25,131.25,24392,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.07811259788510277
2022-02-11,131.25,131.25,122.44999694824219,123.94999694824219,123.94999694824219,29077,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.07186609449633097
2022-02-14,125.0,129.89999389648438,115.69999694824219,121.1500015258789,121.1500015258789,21540,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.12273117824363025
2022-02-15,112.0,123.5999984741211,109.1500015258789,116.30000305175781,116.30000305175781,81999,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.13238659410202727
2022-02-16,116.30000305175781,120.0,115.9000015258789,118.25,118.25,17906,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.035375309923577694
2022-02-17,122.0,122.0,108.25,108.8499984741211,108.8499984741211,68909,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.12702078521939955
2022-02-18,110.44999694824219,114.25,107.05000305175781,109.44999694824219,109.44999694824219,38479,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.067258260093286
2022-02-21,114.5,114.5,102.3499984741211,104.8499984741211,104.8499984741211,30196,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.11871032444569111
2022-02-22,95.30000305175781,101.69999694824219,95.25,99.25,99.25,64642,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.06771650339361876
2022-02-23,99.8499984741211,109.80000305175781,98.55000305175781,103.80000305175781,103.80000305175781,38242,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.11415524760655334
2022-02-24,102.5,102.5,95.25,96.94999694824219,96.94999694824219,45931,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.07611548556430446
2022-02-25,99.75,111.9000015258789,98.0999984741211,106.25,106.25,28194,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.14067281617133023
2022-02-28,107.80000305175781,111.5,102.25,106.5,106.5,41312,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.09046454767726161
2022-03-02,101.69999694824219,107.5,101.0,102.3499984741211,102.3499984741211,34611,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.06435643564356436
2022-03-03,104.80000305175781,109.75,99.0999984741211,106.3499984741211,106.3499984741211,40028,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.10746722189566976
2022-03-04,109.5,109.5,103.0,106.8499984741211,106.8499984741211,11462,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.06310679611650485
2022-03-07,93.05000305175781,104.0,93.05000305175781,99.3499984741211,99.3499984741211,44680,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.11767863072665778
2022-03-08,100.30000305175781,104.0,97.9000015258789,100.19999694824219,100.19999694824219,18203,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.062308461481572285
2022-03-09,101.8499984741211,120.19999694824219,99.3499984741211,118.0,118.0,112025,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.20986410462353602
2022-03-10,118.0,119.9000015258789,108.0,109.5,109.5,65341,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.11018519931369358
2022-03-11,108.5999984741211,112.25,108.0,109.94999694824219,109.94999694824219,18401,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.03935185185185185
2022-03-14,112.9000015258789,115.69999694824219,110.4000015258789,111.3499984741211,111.3499984741211,31832,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.0480072042491857
2022-03-15,111.4000015258789,115.44999694824219,103.30000305175781,106.5,106.5,23807,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.11761852408074662
2022-03-16,110.94999694824219,112.0,105.0999984741211,108.19999694824219,108.19999694824219,11387,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.06565177569986266
2022-03-17,111.0,114.4000015258789,108.5,109.25,109.25,25067,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.05437789424773185
2022-03-21,111.8499984741211,111.8499984741211,99.30000305175781,109.5,109.5,62218,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.12638464286674683
2022-03-22,109.30000305175781,113.0,106.05000305175781,111.0,111.0,28506,IRIS,Technology,Software - Application,N/A,EQUITY,,15.715,2.07,4.46,0.06553509427859455
