Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-08-28,96.9000015258789,96.9000015258789,88.0,89.05000305175781,76.57874298095703,41600,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.10113638097589667
2007-08-29,89.0,93.69999694824219,84.30000305175781,93.0,79.97555541992188,23041,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.11150644787892884
2007-08-30,92.5,95.4000015258789,90.3499984741211,92.5,79.54558563232422,10400,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.05589378126225738
2007-08-31,91.5999984741211,96.5,91.5999984741211,94.1500015258789,80.9645004272461,80700,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.053493467330823795
2007-09-03,97.75,102.0,94.05000305175781,99.5999984741211,85.65123748779297,59007,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.08452947039105492
2007-09-04,99.9000015258789,104.0,99.80000305175781,103.55000305175781,89.04804992675781,214884,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.04208413647105807
2007-09-05,108.6500015258789,108.6500015258789,101.0999984741211,104.0,89.4350357055664,48000,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.074678567415512
2007-09-06,104.0,108.0,102.5,105.5,90.72496795654297,49100,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.05365853658536585
2007-09-07,105.0,108.0,101.5,102.0,87.71512603759766,14755,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.06403940886699508
2007-09-10,102.0,105.0,100.0,103.0,88.5750732421875,27000,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.05
2007-09-11,103.4000015258789,103.9000015258789,98.19999694824219,100.9000015258789,86.7691879272461,22200,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.05804485493661465
2007-09-12,102.30000305175781,102.30000305175781,97.0,98.0,84.27532196044922,12567,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.054639206719152705
2007-09-13,98.0,98.0,95.0,96.5,82.98538970947266,18400,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.031578947368421054
2007-09-14,98.80000305175781,99.0,94.0,96.5,82.98538970947266,42314,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.05319148936170213
2007-09-17,96.0999984741211,99.0,96.0999984741211,97.4000015258789,83.75933837890625,4066,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.030176915420657906
2007-09-18,98.0,98.75,96.0,97.05000305175781,83.45836639404297,5800,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.028645833333333332
2007-09-19,99.69999694824219,99.69999694824219,94.6500015258789,95.0,81.69547271728516,18241,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.05335441459007824
2007-09-20,98.0,98.0,93.0,93.5,80.40553283691406,21600,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.053763440860215055
2007-09-21,93.1500015258789,95.5,90.5,91.5,78.68563079833984,8600,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.055248618784530384
2007-09-24,92.0,93.94999694824219,90.05000305175781,91.0,78.25565338134766,24469,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.04330920337940228
2007-09-25,90.0,92.8499984741211,89.05000305175781,89.69999694824219,77.13771057128906,13714,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.0426726029437039
2007-09-26,91.5,91.5,87.55000305175781,89.0,76.53575134277344,48000,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.045117039526623756
2007-09-27,90.0,92.0,87.0,88.5,76.10576629638672,26200,ISMTLTD,Basic Materials,Steel,N/A,EQUITY,0.0036000002,10.248,1.846,5.77,0.05747126436781609
