Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2016-12-30,229.0,234.0,210.1999969482422,213.10000610351562,207.7094268798828,122798,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.11322551568646368
2017-01-02,215.25,219.89999389648438,203.0,217.1999969482422,211.70570373535156,32691,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.08325120146051417
2017-01-03,221.0,222.89999389648438,210.60000610351562,213.9499969482422,208.53790283203125,25486,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.058404498748793825
2017-01-04,216.8000030517578,221.0,209.60000610351562,210.9499969482422,205.61380004882812,9640,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.05438928227346632
2017-01-05,218.6999969482422,219.0,210.5,211.25,205.90621948242188,10361,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.040380047505938245
2017-01-06,210.0,219.0,209.0,214.8000030517578,209.3664093017578,12546,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.04784688995215311
2017-01-09,215.89999389648438,218.5,211.0500030517578,215.85000610351562,210.38983154296875,10936,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.03529967704580015
2017-01-10,216.75,219.39999389648438,211.10000610351562,218.64999389648438,213.1190185546875,10119,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.03931779987206037
2017-01-11,217.0,222.0,213.5,217.60000610351562,212.0955810546875,9030,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.03981264637002342
2017-01-12,212.5,220.0,212.5,214.85000610351562,209.4151611328125,4306,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.03529411764705882
2017-01-13,235.0,257.79998779296875,222.0,257.79998779296875,251.27865600585938,208418,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.161261206274634
2017-01-16,277.0,308.79998779296875,260.1499938964844,301.95001220703125,294.3118591308594,1097128,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.1870074766015277
2017-01-17,301.25,326.0,296.1000061035156,313.45001220703125,305.5209655761719,872218,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.10097937615722788
2017-01-18,308.6000061035156,312.3999938964844,292.20001220703125,296.29998779296875,288.80474853515625,182377,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.06913066682263147
2017-01-19,299.70001220703125,299.95001220703125,277.0,279.5,272.42974853515625,71994,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.08285202962827166
2017-01-20,262.1000061035156,293.6000061035156,262.1000061035156,278.54998779296875,271.5037841796875,118830,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.12018313340885299
2017-01-23,280.0,290.0,273.0,276.54998779296875,269.55438232421875,77473,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.06227106227106227
2017-01-24,279.0,283.0,270.3500061035156,271.8500061035156,264.9732666015625,36294,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.0467911729642823
2017-01-25,278.04998779296875,299.0,275.0,280.5,273.4044494628906,244063,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.08727272727272728
2017-01-27,282.0,288.29998779296875,277.0,278.8999938964844,271.8449401855469,43995,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.040794179758009926
2017-01-30,281.8999938964844,281.8999938964844,274.3500061035156,278.1000061035156,271.065185546875,15447,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.027519546655741814
2017-01-31,275.1499938964844,280.3999938964844,272.29998779296875,275.1000061035156,268.14105224609375,13831,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.029746626759579977
2017-02-01,273.5,285.0,268.1499938964844,272.6499938964844,265.7530212402344,38386,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.06283798801808042
2017-02-02,275.04998779296875,276.3500061035156,261.70001220703125,264.8999938964844,258.1990966796875,43606,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.05598010398598967
2017-02-03,267.0,291.3500061035156,263.25,286.0,278.76531982421875,205928,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.10674266326121795
2017-02-06,296.0,307.8999938964844,293.5,298.45001220703125,290.900390625,118672,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.04906301157234881
2017-02-07,301.3999938964844,325.54998779296875,298.70001220703125,309.0,301.1835021972656,107271,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.08988943585086825
2017-02-08,312.1000061035156,324.79998779296875,310.1000061035156,315.79998779296875,307.8114929199219,60349,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.04740400322515979
2017-02-09,318.0,361.04998779296875,308.0,348.6000061035156,339.78179931640625,469469,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.1722402201070414
2017-02-10,351.0,369.95001220703125,340.0,352.8500061035156,343.92431640625,145485,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.08808827119715074
2017-02-13,358.0,423.3999938964844,358.0,423.3999938964844,412.6896667480469,704739,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.18268154719688373
2017-02-14,448.0,460.0,409.0,421.8999938964844,411.22760009765625,702183,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.12469437652811736
2017-02-15,418.70001220703125,419.0,381.1000061035156,386.70001220703125,376.9180603027344,239236,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.0994489459183841
2017-02-16,385.04998779296875,415.0,383.0,409.1499938964844,398.80010986328125,172365,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.0835509138381201
2017-02-17,414.75,425.5,401.3999938964844,407.95001220703125,397.6304931640625,102186,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.060039876606801074
2017-02-20,410.0,428.0,391.3500061035156,415.5,404.989501953125,150271,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.09365016819953778
2017-02-21,419.8999938964844,421.04998779296875,408.75,414.3999938964844,403.91729736328125,35639,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.03009171325496942
2017-02-22,414.0,418.3999938964844,397.0,403.29998779296875,393.09808349609375,33306,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.053904266741774245
2017-02-23,407.70001220703125,418.0,407.54998779296875,408.20001220703125,397.8741455078125,45276,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.02564105636126224
2017-02-27,409.04998779296875,410.95001220703125,390.3500061035156,392.75,382.8149719238281,35183,ITDC,Consumer Cyclical,Lodging,N/A,EQUITY,0.0025,0.168,1.45,8.31,0.05277316711006475
