Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2003-12-09,12.0,13.800000190734863,11.600000381469727,13.100000381469727,11.691731452941895,947481,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.18965514973426195
2003-12-10,14.0,15.75,13.899999618530273,15.75,14.056852340698242,681500,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.13309355627632297
2003-12-11,17.450000762939453,18.850000381469727,16.950000762939453,17.299999237060547,15.440225601196289,1119400,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.11209436772914795
2003-12-12,17.0,17.25,14.949999809265137,16.149999618530273,14.413851737976074,916400,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.15384616856713654
2003-12-15,16.899999618530273,19.399999618530273,16.149999618530273,19.299999237060547,17.225223541259766,1522200,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.20123839484621395
2003-12-16,19.899999618530273,23.200000762939453,18.600000381469727,22.200000762939453,19.81346893310547,1842100,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.2473118433939648
2003-12-17,23.0,26.649999618530273,23.0,26.649999618530273,23.78508758544922,2373200,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.15869563558827277
2003-12-18,27.899999618530273,32.0,27.5,32.0,28.559953689575195,2237000,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.16363636363636364
2003-12-19,34.400001525878906,38.400001525878906,30.5,32.04999923706055,28.604578018188477,2654100,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.25901644347143954
2003-12-22,33.0,33.0,26.149999618530273,29.350000381469727,26.19483184814453,1632600,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.261950305215902
2003-12-23,30.200000762939453,33.650001525878906,30.200000762939453,30.899999618530273,27.578203201293945,1784600,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.11423843297292866
2003-12-24,32.0,32.0,29.5,30.049999237060547,26.819583892822266,727800,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.0847457627118644
2003-12-25,30.049999237060547,30.049999237060547,30.049999237060547,30.049999237060547,26.819583892822266,0,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.0
2003-12-26,30.399999618530273,30.399999618530273,25.0,28.75,25.659334182739258,802800,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.21599998474121093
2003-12-29,28.700000762939453,29.399999618530273,26.75,27.350000381469727,24.409835815429688,778700,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.09906540630019714
2003-12-30,27.950000762939453,28.399999618530273,25.049999237060547,25.399999618530273,22.669464111328125,692700,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.1337325542315197
2003-12-31,24.0,29.5,24.0,28.049999237060547,25.034584045410156,1073100,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.22916666666666666
2004-01-01,28.5,29.0,27.5,28.100000381469727,25.079212188720703,382000,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.05454545454545454
2004-01-02,28.799999237060547,28.799999237060547,27.299999237060547,27.649999618530273,24.67758560180664,402200,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.05494505648057697
2004-01-05,27.5,28.299999237060547,26.049999237060547,26.350000381469727,23.517337799072266,448500,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.0863723633741606
2004-01-06,26.0,27.0,23.5,24.399999618530273,21.776968002319336,348600,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.14893617021276595
2004-01-07,24.899999618530273,27.0,24.049999237060547,26.049999237060547,23.24958610534668,480300,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.12266115827536342
2004-01-08,26.25,27.700000762939453,26.0,26.549999237060547,23.69583511352539,268100,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.06538464472844051
2004-01-09,27.450000762939453,30.0,26.149999618530273,28.600000381469727,25.52545928955078,716700,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.14722755019627456
2004-01-12,28.899999618530273,30.0,28.299999237060547,28.899999618530273,25.793209075927734,631700,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.060070699956528625
2004-01-13,29.450000762939453,31.850000381469727,28.649999618530273,31.25,27.890581130981445,887900,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.11169287279395822
2004-01-14,31.600000381469727,33.849998474121094,31.25,33.29999923706055,29.720199584960938,1553600,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.083199951171875
2004-01-15,33.400001525878906,33.5,31.049999237060547,31.299999237060547,27.935205459594727,349200,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.07890501845858952
2004-01-16,31.75,31.899999618530273,28.549999237060547,29.0,25.88245964050293,287800,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.11733801999970338
2004-01-19,28.5,30.5,26.0,28.75,25.659334182739258,326500,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.17307692307692307
2004-01-20,29.5,30.399999618530273,26.549999237060547,26.950000762939453,24.052833557128906,429900,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.14500943473081526
2004-01-21,26.75,28.0,23.5,24.299999237060547,21.687713623046875,428000,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.19148936170212766
2004-01-22,24.0,25.899999618530273,20.25,21.0,18.742469787597656,352400,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.27901232684100113
2004-01-23,19.899999618530273,25.200000762939453,19.5,23.799999237060547,21.241464614868164,393400,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.2923077314327925
2004-01-26,23.799999237060547,23.799999237060547,23.799999237060547,23.799999237060547,21.241464614868164,0,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.0
2004-01-27,24.899999618530273,26.200000762939453,24.299999237060547,25.299999237060547,22.58021354675293,242800,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.07818936565978017
2004-01-28,25.5,25.5,23.5,23.850000381469727,21.286088943481445,156100,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.0851063829787234
2004-01-29,24.25,24.5,23.0,23.399999618530273,20.88446807861328,115500,JAIBALAJI,Basic Materials,Steel,N/A,EQUITY,,31.416,1.005,49.85,0.06521739130434782
