Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,31.450000762939453,32.0,30.700000762939453,31.0,31.0,7557,JAINSTUDIO,Communication Services,Broadcasting,N/A,EQUITY,,,1.125,-0.37,0.04234525096917538
2002-07-02,31.799999237060547,31.799999237060547,30.649999618530273,31.649999618530273,31.649999618530273,4010,JAINSTUDIO,Communication Services,Broadcasting,N/A,EQUITY,,,1.125,-0.37,0.03752037953811296
2002-07-03,31.5,32.5,31.25,31.450000762939453,31.450000762939453,4209,JAINSTUDIO,Communication Services,Broadcasting,N/A,EQUITY,,,1.125,-0.37,0.04
2002-07-04,31.799999237060547,32.79999923706055,31.700000762939453,32.20000076293945,32.20000076293945,9955,JAINSTUDIO,Communication Services,Broadcasting,N/A,EQUITY,,,1.125,-0.37,0.03470026648728364
2002-07-05,33.0,33.099998474121094,31.799999237060547,32.349998474121094,32.349998474121094,9441,JAINSTUDIO,Communication Services,Broadcasting,N/A,EQUITY,,,1.125,-0.37,0.04088048013364396
2002-07-08,32.5,33.099998474121094,32.29999923706055,32.95000076293945,32.95000076293945,10021,JAINSTUDIO,Communication Services,Broadcasting,N/A,EQUITY,,,1.125,-0.37,0.024767778822193887
2002-07-09,33.0,33.5,32.25,32.5,32.5,8493,JAINSTUDIO,Communication Services,Broadcasting,N/A,EQUITY,,,1.125,-0.37,0.03875968992248062
2002-07-10,33.25,33.25,31.25,31.649999618530273,31.649999618530273,7986,JAINSTUDIO,Communication Services,Broadcasting,N/A,EQUITY,,,1.125,-0.37,0.064
2002-07-11,30.950000762939453,31.950000762939453,30.649999618530273,30.799999237060547,30.799999237060547,2350,JAINSTUDIO,Communication Services,Broadcasting,N/A,EQUITY,,,1.125,-0.37,0.04241439349393105
2002-07-12,31.0,31.450000762939453,30.399999618530273,30.75,30.75,3206,JAINSTUDIO,Communication Services,Broadcasting,N/A,EQUITY,,,1.125,-0.37,0.03453951176266309
2002-07-15,30.850000381469727,30.899999618530273,30.149999618530273,30.149999618530273,30.149999618530273,2675,JAINSTUDIO,Communication Services,Broadcasting,N/A,EQUITY,,,1.125,-0.37,0.024875622205283474
