Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,9.1875,9.244999885559082,8.875,9.037500381469727,6.054357528686523,3200,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.0416901279503191
2002-07-02,9.369999885559082,9.9375,9.369999885559082,9.712499618530273,6.506549835205078,27660,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.06056564795860259
2002-07-03,9.962499618530273,10.125,9.75,9.832500457763672,6.586938858032227,14940,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.038461538461538464
2002-07-04,10.095000267028809,10.112500190734863,9.662500381469727,9.707500457763672,6.503200531005859,13844,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.04657177661054736
2002-07-05,9.875,10.232500076293945,9.6875,10.007499694824219,6.704174518585205,17416,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.056258072391633066
2002-07-08,10.125,10.125,9.887499809265137,9.987500190734863,6.6907758712768555,7920,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.02402024731391776
2002-07-09,10.0,10.0,9.75,9.75,6.53167200088501,6100,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.02564102564102564
2002-07-10,9.782500267028809,9.857500076293945,9.462499618530273,9.582500457763672,6.419461250305176,6200,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.041743775290637615
2002-07-11,9.574999809265137,9.725000381469727,9.399999618530273,9.475000381469727,6.347445964813232,912,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.03457455065197846
2002-07-12,9.5,9.75,9.449999809265137,9.699999809265137,6.498175144195557,4900,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.03174605257036426
2002-07-15,9.507499694824219,9.875,9.507499694824219,9.537500381469727,6.389315605163574,2620,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.03865372779089801
2002-07-16,9.682499885559082,10.0,9.382499694824219,9.382499694824219,6.285477638244629,9956,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.06581405012103761
2002-07-17,9.375,9.619999885559082,9.095000267028809,9.162500381469727,6.138096809387207,7060,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.05772398055154565
2002-07-18,8.462499618530273,9.375,8.462499618530273,9.300000190734863,6.230209827423096,4004,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.10782870577289376
2002-07-19,9.125,9.25,9.125,9.220000267028809,6.17661714553833,1720,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.0136986301369863
2002-07-22,9.125,9.307499885559082,9.012499809265137,9.032500267028809,6.05100679397583,3000,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.03273232538553575
2002-07-23,9.095000267028809,9.125,9.0,9.0625,6.071104526519775,1380,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.013888888888888888
2002-07-24,9.007499694824219,9.125,9.007499694824219,9.024999618530273,6.04598331451416,980,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.013044719306879117
2002-07-25,9.032500267028809,9.037500381469727,9.032500267028809,9.032500267028809,6.05100679397583,1796,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.000553569254702356
2002-07-26,9.125,9.125,8.875,8.875,5.945495128631592,1760,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.028169014084507043
2002-07-29,8.875,8.875,8.6875,8.75,5.861756801605225,2480,JAYAGROGN,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.015800001,27.39,2.128,17.58,0.02158273381294964
