Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2017-02-27,51.79999923706055,52.0,49.25,49.25,49.25,16358,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.05583756345177665
2017-02-28,46.79999923706055,49.0,46.79999923706055,46.79999923706055,46.79999923706055,25883,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.047008564077011566
2017-03-01,44.5,47.0,44.5,44.5,44.5,44854,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.056179775280898875
2017-03-02,42.29999923706055,45.400001525878906,42.29999923706055,42.29999923706055,42.29999923706055,67642,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.07328610744045443
2017-03-03,40.349998474121094,43.45000076293945,40.20000076293945,40.20000076293945,40.20000076293945,151189,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.08084576960993962
2017-03-06,40.20000076293945,42.20000076293945,39.0,42.20000076293945,42.20000076293945,50285,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.08205130161383213
2017-03-07,44.29999923706055,44.29999923706055,44.29999923706055,44.29999923706055,44.29999923706055,2596,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.0
2017-03-08,46.5,46.5,46.5,46.5,46.5,13758,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.0
2017-03-09,48.79999923706055,48.79999923706055,48.25,48.79999923706055,48.79999923706055,38169,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.011398947918353303
2017-03-10,51.20000076293945,51.20000076293945,51.20000076293945,51.20000076293945,51.20000076293945,2285,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.0
2017-03-14,53.75,53.75,52.75,53.75,53.75,36125,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.018957345971563982
2017-03-15,56.400001525878906,56.400001525878906,54.0,56.400001525878906,56.400001525878906,28631,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.04444447270146123
2017-03-16,57.5,59.20000076293945,57.5,59.20000076293945,59.20000076293945,27979,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.029565230659816578
2017-03-17,62.150001525878906,62.150001525878906,61.599998474121094,62.150001525878906,62.150001525878906,8964,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.008928621191263104
2017-03-20,64.80000305175781,65.25,64.80000305175781,65.25,65.25,3407,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.006944397022369902
2017-03-21,68.5,68.5,68.5,68.5,68.5,3730,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.0
2017-03-22,71.9000015258789,71.9000015258789,70.0,71.9000015258789,71.9000015258789,20072,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.02714287894112723
2017-03-23,75.44999694824219,75.44999694824219,73.0,75.44999694824219,75.44999694824219,33339,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.0335616020307149
2017-03-24,79.19999694824219,79.19999694824219,79.19999694824219,79.19999694824219,79.19999694824219,1815,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.0
2017-03-27,83.1500015258789,83.1500015258789,75.25,75.80000305175781,75.80000305175781,102910,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.10498340898177949
2017-03-28,78.0,78.0,72.05000305175781,72.05000305175781,72.05000305175781,64877,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.0825814947428656
2017-03-29,68.55000305175781,70.0,68.44999694824219,68.5,68.5,85341,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.02264431148082932
2017-03-30,65.0999984741211,71.9000015258789,65.0999984741211,71.9000015258789,71.9000015258789,20256,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.10445473442616111
2017-03-31,73.9000015258789,75.44999694824219,70.0,73.9000015258789,73.9000015258789,36566,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.07785709926060268
2017-04-03,75.0,75.0,70.25,70.25,70.25,9450,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.06761565836298933
2017-04-05,66.75,69.75,66.75,67.44999694824219,67.44999694824219,24374,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.0449438202247191
2017-04-06,66.05000305175781,67.5999984741211,65.0,66.6500015258789,66.6500015258789,21091,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.039999976524939904
2017-04-07,64.19999694824219,68.0,64.19999694824219,66.05000305175781,66.05000305175781,14119,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.059190081501426885
2017-04-10,63.599998474121094,66.9000015258789,62.75,62.75,62.75,16982,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.066135482484126
2017-04-11,64.94999694824219,64.94999694824219,59.650001525878906,60.29999923706055,60.29999923706055,48751,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.08885155552031127
2017-04-12,62.0,63.29999923706055,59.70000076293945,63.29999923706055,63.29999923706055,9857,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.06030148120795167
2017-04-13,66.19999694824219,66.44999694824219,65.5,66.44999694824219,66.44999694824219,30062,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.014503770202170802
2017-04-17,67.80000305175781,67.80000305175781,63.150001525878906,63.5,63.5,18218,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.07363422665909727
2017-04-18,65.0,66.3499984741211,61.0,61.29999923706055,61.29999923706055,18981,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.08770489301837858
2017-04-19,63.900001525878906,63.900001525878906,59.04999923706055,60.45000076293945,60.45000076293945,12075,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.0821338247498983
2017-04-20,60.5,62.79999923706055,59.79999923706055,62.599998474121094,62.599998474121094,12680,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.05016722472031029
2017-04-21,61.0,63.900001525878906,59.900001525878906,60.25,60.25,23900,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.06677796157103368
2017-04-24,57.5,62.0,57.5,61.599998474121094,61.599998474121094,12237,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.0782608695652174
2017-04-25,61.599998474121094,64.6500015258789,60.04999923706055,64.6500015258789,64.6500015258789,81215,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.07660287006264298
2017-04-26,67.5,67.8499984741211,67.5,67.8499984741211,67.8499984741211,9876,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.00518516257957176
2017-04-27,70.69999694824219,71.0,65.30000305175781,69.0999984741211,69.0999984741211,33717,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.08728938257053802
2017-04-28,68.0999984741211,68.30000305175781,66.19999694824219,67.9000015258789,67.9000015258789,12129,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.0317221480411471
2017-05-02,65.25,69.5,65.25,68.9000015258789,68.9000015258789,27833,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.06513409961685823
2017-05-03,69.94999694824219,72.30000305175781,67.5,72.30000305175781,72.30000305175781,90999,JITFINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,,1.539,13.77,0.07111115632233796
