Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,1.7999999523162842,1.9700000286102295,1.7699999809265137,1.840000033378601,1.840000033378601,1150700,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.11299437844006359
2002-07-02,2.140000104904175,2.140000104904175,1.7999999523162842,1.8700000047683716,1.8700000047683716,1111100,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.18888897866378834
2002-07-03,2.1500000953674316,2.1500000953674316,1.7999999523162842,1.850000023841858,1.850000023841858,1012100,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.19444452906832507
2002-07-04,2.0899999141693115,2.0899999141693115,1.8600000143051147,1.8700000047683716,1.8700000047683716,1189325,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.12365585919101373
2002-07-05,2.059999942779541,2.059999942779541,1.8600000143051147,1.899999976158142,1.899999976158142,1458875,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.10752684243884003
2002-07-08,1.940000057220459,2.0799999237060547,1.9299999475479126,2.0399999618530273,2.0399999618530273,2632500,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.07772019701281277
2002-07-09,2.0999999046325684,2.0999999046325684,1.9500000476837158,1.9700000286102295,1.9700000286102295,1415300,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.07692300168250153
2002-07-10,1.840000033378601,2.0,1.840000033378601,1.909999966621399,1.909999966621399,553525,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.08695650202114812
2002-07-11,1.8799999952316284,1.9199999570846558,1.809999942779541,1.8200000524520874,1.8200000524520874,658775,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.06077349048762529
2002-07-12,1.850000023841858,1.8700000047683716,1.7999999523162842,1.8200000524520874,1.8200000524520874,387675,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.038888919059141984
2002-07-15,1.7999999523162842,2.190000057220459,1.7300000190734863,1.9800000190734863,1.9800000190734863,871625,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.26589597287595923
2002-07-16,1.8899999856948853,1.9800000190734863,1.840000033378601,1.840000033378601,1.840000033378601,853525,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.07608694736696163
2002-07-17,1.8300000429153442,1.850000023841858,1.7300000190734863,1.7899999618530273,1.7899999618530273,550750,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.06936416384124575
2002-07-18,1.8700000047683716,1.8700000047683716,1.7999999523162842,1.809999942779541,1.809999942779541,248825,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.038888919059141984
2002-07-19,1.75,1.8200000524520874,1.7300000190734863,1.75,1.75,216350,LCCINFOTEC,Consumer Defensive,Education & Training Services,N/A,EQUITY,,118.825,0.897,-4.21,0.05202314010771007
