Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,16.700000762939453,17.0,16.68000030517578,16.989999771118164,9.87256908416748,223670,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.01918463363126698
2002-07-02,16.280000686645508,16.700000762939453,16.0,16.6299991607666,10.267715454101562,748555,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.04375004768371582
2002-07-03,16.56999969482422,16.56999969482422,16.059999465942383,16.170000076293945,9.983705520629883,387850,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.03175593062523864
2002-07-04,16.239999771118164,16.239999771118164,15.84000015258789,15.920000076293945,9.82934856414795,188650,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.025252500926581288
2002-07-05,16.200000762939453,16.200000762939453,15.899999618530273,16.06999969482422,9.921960830688477,275475,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.01886799695639933
2002-07-08,16.0,16.479999542236328,15.800000190734863,15.989999771118164,9.87256908416748,236070,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.04303793311978674
2002-07-09,16.31999969482422,16.31999969482422,15.899999618530273,16.020000457763672,9.891091346740723,198935,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.026415099771729948
2002-07-10,16.09000015258789,16.18000030517578,15.899999618530273,16.0,9.878742218017578,161410,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.017610106500832095
2002-07-11,15.899999618530273,16.600000381469727,15.800000190734863,15.989999771118164,9.87256908416748,402230,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.05063292285299998
2002-07-12,16.360000610351562,16.360000610351562,15.84000015258789,15.930000305175781,9.835522651672363,130260,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.032828311411266985
2002-07-15,16.0,16.0,15.15999984741211,15.289999961853027,9.4403715133667,445625,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.05540898159911809
2002-07-16,15.600000381469727,15.600000381469727,15.100000381469727,15.180000305175781,9.372461318969727,243535,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.03311258194493725
2002-07-17,15.109999656677246,15.300000190734863,14.899999618530273,15.119999885559082,9.335411071777344,233110,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.026845676674188107
2002-07-18,17.0,17.0,15.300000190734863,15.300000190734863,9.446548461914062,115665,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.11111109725963247
2002-07-19,15.399999618530273,15.539999961853027,15.319999694824219,15.449999809265137,9.539158821105957,111775,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.014360331032064872
2002-07-22,16.360000610351562,16.399999618530273,14.199999809265137,14.899999618530273,9.199578285217285,578885,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.1549295661137751
2002-07-23,14.4399995803833,15.359999656677246,14.4399995803833,15.210000038146973,9.390981674194336,158915,LICHSGFIN,Financial Services,Mortgage Finance,N/A,EQUITY,0.0107,771.183,26.964,86.52,0.06371191849228049
