Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2000-05-31,10.984375,11.875,10.984375,11.28125,10.122858047485352,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.08108108108108109
2000-06-01,11.25,11.25,11.25,11.25,10.094815254211426,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.0
2000-06-02,11.25,11.859375,11.25,11.25,10.094815254211426,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.05416666666666667
2000-06-05,11.25,11.515625,11.1875,11.25,10.094815254211426,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.029329608938547486
2000-06-06,11.234375,11.25,11.125,11.15625,10.010692596435547,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.011235955056179775
2000-06-07,11.046875,11.28125,10.984375,11.28125,10.122858047485352,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.02702702702702703
2000-06-08,11.40625,11.40625,11.125,11.40625,10.23501968383789,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.025280898876404494
2000-06-09,11.625,11.625,11.390625,11.390625,10.221001625061035,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.0205761316872428
2000-06-12,12.109375,12.109375,11.421875,11.5625,10.375228881835938,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.060191518467852256
2000-06-13,11.828125,11.875,11.640625,11.796875,10.58553409576416,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.020134228187919462
2000-06-14,12.40625,12.40625,11.765625,11.765625,10.5574951171875,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.05444887118193891
2000-06-15,11.34375,11.625,11.34375,11.625,10.431309700012207,0,LINDEINDIA,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0004,0.597,1.885,50.78,0.024793388429752067
