Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2008-07-11,40.0,40.0,32.5,35.650001525878906,33.724266052246094,16440754,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.23076923076923078
2008-07-14,35.0,40.349998474121094,34.20000076293945,38.650001525878906,36.56221389770508,6298284,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.17982449046743984
2008-07-15,38.0,38.5,35.099998474121094,36.79999923706055,34.8121452331543,1848497,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.09686614454942771
2008-07-16,36.5,37.900001525878906,34.29999923706055,34.849998474121094,32.96747970581055,610484,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.10495633728553032
2008-07-17,35.5,38.70000076293945,35.5,37.849998474121094,35.80542755126953,1223693,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.09014086656167473
2008-07-18,38.599998474121094,38.599998474121094,36.599998474121094,36.900001525878906,34.90674591064453,329700,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.05464481102134876
2008-07-21,33.5,38.849998474121094,33.5,37.599998474121094,35.568931579589844,844976,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.15970144698868938
2008-07-22,37.29999923706055,38.150001525878906,37.29999923706055,38.0,35.947322845458984,198103,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.022788265581888102
2008-07-23,38.099998474121094,42.650001525878906,38.099998474121094,38.95000076293945,36.84600830078125,1671679,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.11942265705990357
2008-07-24,38.95000076293945,41.20000076293945,38.5,39.0,36.893306732177734,591500,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.0701298899464793
2008-07-25,38.5,40.25,38.099998474121094,39.25,37.129798889160156,228998,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.056430488503543264
2008-07-28,39.349998474121094,40.70000076293945,39.04999923706055,40.25,38.07578659057617,181540,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.0422535610272936
2008-07-29,39.0,40.95000076293945,39.0,40.20000076293945,38.02848815917969,236760,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.05000001956255008
2008-07-30,40.54999923706055,41.900001525878906,40.25,40.599998474121094,38.40687942504883,174786,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.04099382672991071
2008-07-31,40.5,43.150001525878906,40.29999923706055,42.20000076293945,39.92045211791992,490332,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.07071966111099699
2008-08-01,41.79999923706055,42.95000076293945,41.0,41.150001525878906,38.92717361450195,116961,LOTUSEYE,Healthcare,Medical Care Facilities,N/A,EQUITY,0.0085,1.869,2.251,1.4,0.04756099421803544
