Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2022-08-11,1034.0,1095.0,960.0,984.2999877929688,972.8386840820312,1810,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.140625
2022-08-12,1088.0,1088.0,811.5499877929688,1005.7000122070312,993.989501953125,1759,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.34064446597903875
2022-08-16,1047.5,1061.949951171875,977.8499755859375,1011.75,999.9690551757812,948,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.08600498817371648
2022-08-17,996.0,1013.0,986.1500244140625,994.75,983.1669921875,1591,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.027227069838477024
2022-08-18,985.5,997.2999877929688,969.9500122070312,992.25,980.6961059570312,580,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.028197304233962706
2022-08-19,986.9500122070312,1002.6500244140625,985.9500122070312,999.0,987.3674926757812,780,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.016937990770595535
2022-08-22,1024.550048828125,1039.949951171875,973.2000122070312,980.7000122070312,969.2806396484375,662,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.06858809918576518
2022-08-23,991.0,1000.0499877929688,972.4500122070312,982.7000122070312,971.25732421875,471,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.02838189648771536
2022-08-24,996.0499877929688,1003.5499877929688,975.4500122070312,989.2000122070312,977.681640625,1037,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.02880719179280046
2022-08-25,963.0499877929688,1002.0999755859375,954.5499877929688,957.75,946.5978393554688,1875,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.049814036353308104
2022-08-26,977.0999755859375,1000.0,960.0,968.75,957.4697265625,1044,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.041666666666666664
2022-08-29,960.1500244140625,960.1500244140625,932.0,936.0,925.10107421875,1594,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.030203888856290235
2022-08-30,967.0,979.9500122070312,931.5499877929688,949.5999755859375,938.542724609375,660,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.05195644361365083
2022-09-01,964.0499877929688,965.5,890.0499877929688,901.0,890.5086669921875,4033,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.08477053338781844
2022-09-02,881.0,921.25,849.0,853.6500244140625,843.7100219726562,6483,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.08510011778563015
2022-09-05,886.6500244140625,902.75,858.5,862.6500244140625,852.605224609375,2135,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.05154338963308096
2022-09-06,882.0499877929688,887.9000244140625,846.0,851.3499755859375,841.436767578125,1993,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.04952721561945922
2022-09-07,849.0,884.9000244140625,846.0999755859375,874.5499877929688,864.3666381835938,3752,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.04585752268962703
2022-09-08,860.0,886.4000244140625,860.0,873.2000122070312,863.0323486328125,4407,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.030697702807049417
2022-09-09,882.7999877929688,892.0,869.3499755859375,880.9000244140625,870.6427001953125,1745,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.026053977167016653
2022-09-12,890.0,890.0,858.0,860.5,850.480224609375,2997,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.037296037296037296
2022-09-13,874.9500122070312,874.9500122070312,854.0499877929688,858.7999877929688,848.7999877929688,3331,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.02447166408616459
2022-09-14,854.0,875.0,849.5499877929688,867.5,867.5,1525,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.029957050877191343
2022-09-15,870.5,875.0,860.75,864.3499755859375,864.3499755859375,1121,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.016555329654371186
2022-09-16,862.9000244140625,870.25,848.1500244140625,857.0999755859375,857.0999755859375,1347,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.026056682131448485
2022-09-19,896.0,896.0,840.0,859.0,859.0,1218,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.06666666666666667
2022-09-20,857.5,861.0,834.0,843.5,843.5,1039,LOYALTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,193.759,0.907,-82.01,0.03237410071942446
