Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2016-07-21,667.0,710.0,666.0,697.5999755859375,615.034423828125,11824029,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.06606606606606606
2016-07-22,700.0,708.7000122070312,696.2000122070312,700.0,617.150146484375,820402,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.01795461042922653
2016-07-25,701.0,701.0,692.0,693.0499877929688,611.0230102539062,260240,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.01300578034682081
2016-07-26,694.9000244140625,701.5,690.0,692.1500244140625,610.2293090820312,312995,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.016666666666666666
2016-07-27,692.0999755859375,697.6500244140625,687.0499877929688,689.9000244140625,608.2457275390625,168708,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.015428333904996585
2016-07-28,691.5999755859375,697.0,677.8499755859375,679.9000244140625,599.4292602539062,375033,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.02825112503324811
2016-07-29,690.0,700.0,685.0,691.7999877929688,609.9207153320312,726870,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.021897810218978103
2016-08-01,694.8499755859375,696.3499755859375,682.5999755859375,686.9000244140625,605.6006469726562,347573,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.020143569428342167
2016-08-02,685.0499877929688,690.0,682.5,683.6500244140625,602.7354125976562,268056,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.01098901098901099
2016-08-03,685.0,688.0,677.7000122070312,680.0,599.5172729492188,116318,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.015198447111466477
2016-08-04,682.0499877929688,684.0,679.0999755859375,681.0499877929688,600.4432373046875,134769,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.007215468399678098
2016-08-05,681.9500122070312,715.0,681.5,697.6500244140625,615.0782470703125,593783,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.0491562729273661
2016-08-08,700.0,708.0,696.2999877929688,700.9000244140625,617.9436645507812,347844,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.016803119937020623
2016-08-09,703.2000122070312,711.0,696.2999877929688,698.2999877929688,615.6514892578125,341932,LTIM,Technology,Information Technology Services,N/A,EQUITY,0.0119,10.339,3.282,154.5,0.02111160773336393
