Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
1996-01-01,41.431251525878906,41.4375,40.76874923706055,40.76874923706055,26.08670997619629,3600,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.0164035143450398
1996-01-02,40.76874923706055,40.6875,40.006248474121094,40.1875,25.714780807495117,15600,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.017028628073426793
1996-01-03,24.112499237060547,26.25,25.5,25.631250381469727,16.400671005249023,17600,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.029411764705882353
1996-01-04,25.631250381469727,25.75,25.25,25.5,16.31668472290039,8800,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.019801980198019802
1996-01-05,25.5,25.75,25.25,25.631250381469727,16.400671005249023,15200,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.019801980198019802
1996-01-08,25.631250381469727,25.4375,25.131250381469727,25.21875,16.136720657348633,8800,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.012186008013197922
1996-01-09,25.21875,25.375,24.381250381469727,24.431249618530273,15.632830619812012,25600,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.04075876351631024
1996-01-10,25.125,25.125,24.375,24.84375,15.89677619934082,14800,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.03076923076923077
1996-01-11,24.84375,24.875,24.5,24.71875,15.816793441772461,3600,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.015306122448979591
1996-01-12,24.71875,25.375,24.375,25.231250762939453,16.14472198486328,24800,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.041025641025641026
1996-01-15,25.231250762939453,25.25,25.0,25.231250762939453,16.14472198486328,4800,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.01
1996-01-16,25.231250762939453,25.5,24.875,25.368749618530273,16.232704162597656,7200,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.02512562814070352
1996-01-17,25.368749618530273,25.375,25.0,25.231250762939453,16.14472198486328,6400,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.015
1996-01-18,25.231250762939453,25.625,24.993749618530273,25.625,16.39667320251465,250800,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.02525632972660172
1996-01-19,25.25,25.375,25.006250381469727,25.25,16.156719207763672,20800,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.014746297941714859
1996-01-22,25.25,25.375,25.024999618530273,25.25,16.156719207763672,24800,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.01398602944275618
1996-01-23,25.25,26.3125,25.087499618530273,25.912500381469727,16.58063316345215,52000,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.048829114104496474
1996-01-24,25.75,25.875,25.34375,25.5,16.31668472290039,6800,M&M,Consumer Cyclical,Auto Manufacturers,N/A,EQUITY,0.0073,140.632,1.301,100.73,0.02096177558569667
