Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-09-20,35.09092330932617,63.79301452636719,34.04201126098633,45.961483001708984,45.961483001708984,31103831,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.8739496335070203
2007-09-21,45.77077102661133,51.30140686035156,45.77077102661133,50.82462692260742,50.82462692260742,10557257,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.12083335521100788
2007-09-24,51.92121887207031,55.973838806152344,50.3001708984375,54.162078857421875,54.162078857421875,3982539,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.11279619544773928
2007-09-25,54.591182708740234,55.68777084350586,43.24384307861328,43.24384307861328,43.24384307861328,2091955,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.28776183796316795
2007-09-26,44.721858978271484,44.721858978271484,34.757179260253906,34.757179260253906,34.757179260253906,3465652,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.286694142910859
2007-09-27,35.28163528442383,36.616615295410156,31.467405319213867,31.562761306762695,31.562761306762695,6365553,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.16363630632908277
2007-09-28,33.37451934814453,33.37451934814453,31.181337356567383,31.324371337890625,31.324371337890625,1449211,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.07033636711913585
2007-10-01,33.37451934814453,33.37451934814453,31.03830337524414,31.37204933166504,31.37204933166504,1380786,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.07526880398893628
2007-10-03,31.467405319213867,31.75347328186035,28.32066535949707,28.606731414794922,28.606731414794922,974928,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.12121212121212122
2007-10-04,27.176395416259766,31.181337356567383,26.938005447387695,29.89403533935547,29.89403533935547,1095229,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.15752212677613753
2007-10-05,29.56028938293457,29.989391326904297,28.034597396850586,28.272987365722656,28.272987365722656,465698,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.06972791163654496
2007-10-08,28.368343353271484,28.606731414794922,26.03212547302246,26.03212547302246,26.03212547302246,343426,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.09890110373202408
2007-10-09,26.27051544189453,28.32066535949707,26.222837448120117,28.034597396850586,28.034597396850586,595649,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.08000003491335922
2007-10-10,27.891563415527344,28.845121383666992,27.271751403808594,27.414785385131836,27.414785385131836,294052,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.05769229693252014
2007-10-11,25.316957473754883,28.46369743347168,25.316957473754883,26.318193435668945,26.318193435668945,187428,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.12429376487987948
2007-10-12,25.793737411499023,27.939241409301758,25.793737411499023,27.557819366455078,27.557819366455078,412048,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.08317926028223634
2007-10-15,26.938005447387695,28.70208740234375,26.938005447387695,28.559053421020508,28.559053421020508,534307,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.06548673243093156
2007-10-16,28.606731414794922,28.606731414794922,27.46246337890625,28.082275390625,28.082275390625,245727,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.04166662036471124
2007-10-17,26.699617385864258,26.89032745361328,25.17392349243164,26.461227416992188,26.461227416992188,148961,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.06818182162576546
2007-10-18,26.651939392089844,27.367107391357422,24.79250144958496,25.936769485473633,25.936769485473633,148811,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.10384615473383631
2007-10-19,24.840179443359375,26.461227416992188,23.17145347595215,23.648231506347656,23.648231506347656,198519,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.14197529492287742
2007-10-22,22.027183532714844,23.886621475219727,22.027183532714844,23.266809463500977,23.266809463500977,133512,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.08441560128389722
2007-10-23,23.7912654876709,24.41107749938965,23.028419494628906,23.362163543701172,23.362163543701172,144860,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.06004137648626863
2007-10-24,23.266809463500977,24.697145462036133,22.694673538208008,24.220365524291992,24.220365524291992,254835,MAGNUM,Basic Materials,Paper & Paper Products,N/A,EQUITY,,29.166,2.512,5.04,0.08823532625207536
