Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,58.724998474121094,58.724998474121094,56.0,56.349998474121094,40.92097473144531,47468,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.048660687037876675
2002-07-02,56.25,57.125,55.07500076293945,55.45000076293945,40.26741027832031,25926,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.03722195567249112
2002-07-03,55.375,57.875,55.0,56.849998474121094,41.28407287597656,80106,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.05227272727272727
2002-07-04,57.375,57.42499923706055,55.625,56.79999923706055,41.24776840209961,76220,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.0323595368460323
2002-07-05,55.79999923706055,57.224998474121094,55.5,56.04999923706055,40.703128814697266,32552,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.031081053587767454
2002-07-08,57.5,57.5,55.75,56.099998474121094,40.739437103271484,34730,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.03139013452914798
2002-07-09,56.025001525878906,56.70000076293945,55.75,55.974998474121094,40.64865493774414,47650,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.01704037242940723
2002-07-10,56.275001525878906,57.0,55.29999923706055,56.45000076293945,40.99359893798828,63018,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.03074142470873958
2002-07-11,56.0,57.0,56.0,56.5,41.0299072265625,47042,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.017857142857142856
2002-07-12,56.29999923706055,56.599998474121094,55.5,55.974998474121094,40.64865493774414,24914,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.019819792326506193
2002-07-15,56.849998474121094,58.5,55.75,55.79999923706055,40.521575927734375,43044,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.04932735426008968
2002-07-16,56.0,59.95000076293945,55.75,58.75,42.663841247558594,78460,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.07533633655496777
2002-07-17,58.92499923706055,62.45000076293945,58.07500076293945,61.25,44.47932815551758,128190,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.07533361932888523
2002-07-18,63.0,63.45000076293945,61.0,62.82500076293945,45.62307357788086,43442,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.040163946933433656
2002-07-19,61.5,63.25,61.5,62.625,45.47784423828125,34052,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.028455284552845527
2002-07-22,61.0,62.900001525878906,61.0,62.375,45.296295166015625,59714,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.031147565998014857
2002-07-23,61.5,66.0,61.5,64.9749984741211,47.18439483642578,77490,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.07317073170731707
2002-07-24,65.625,67.4000015258789,60.275001525878906,61.67499923706055,44.78795623779297,95618,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.11820820936754188
2002-07-25,64.0,64.0,62.0,62.099998474121094,45.09659194946289,41392,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.03225806451612903
2002-07-26,60.95000076293945,61.42499923706055,55.04999923706055,55.400001525878906,40.23109817504883,46838,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.1158038163188247
2002-07-29,55.5,56.45000076293945,53.75,54.625,39.668296813964844,64604,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.05023257233375727
2002-07-30,55.900001525878906,57.0,52.5,53.625,38.942108154296875,42968,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.08571428571428572
2002-07-31,52.5,54.525001525878906,52.5,53.625,38.942108154296875,34482,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.03857145763578869
2002-08-01,53.900001525878906,54.17499923706055,52.5,52.525001525878906,38.14329528808594,11904,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.031904747372581845
2002-08-02,52.5,56.04999923706055,52.5,54.625,39.668296813964844,38652,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.06761903308686756
2002-08-05,58.0,58.0,56.0,56.150001525878906,40.77574157714844,22064,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.03571428571428571
2002-08-06,55.54999923706055,57.54999923706055,55.54999923706055,57.375,41.66532897949219,24420,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.03600360085451967
2002-08-07,56.5,59.849998474121094,56.5,59.07500076293945,42.899864196777344,28058,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.059292008391523786
2002-08-08,59.45000076293945,59.95000076293945,57.75,57.974998474121094,42.10103988647461,40630,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.038095251306310876
2002-08-09,59.0,59.75,58.25,58.599998474121094,42.5549201965332,29912,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.02575107296137339
2002-08-12,58.79999923706055,59.25,58.525001525878906,58.79999923706055,42.70015335083008,18902,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.01238784203705676
2002-08-13,59.25,62.75,59.25,62.45000076293945,45.35076141357422,57540,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.05907172995780591
2002-08-14,62.75,63.724998474121094,62.25,62.70000076293945,45.53230667114258,58514,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.02369475460435492
2002-08-15,62.70000076293945,62.70000076293945,62.70000076293945,62.70000076293945,45.53230667114258,0,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.0
2002-08-16,64.5,64.5,62.900001525878906,63.17499923706055,45.87724685668945,42348,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.025437177031908457
2002-08-19,64.8499984741211,65.0,63.5,64.6500015258789,46.94837951660156,123558,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.023622047244094488
2002-08-20,66.32499694824219,66.5,64.5,65.80000305175781,47.783512115478516,127572,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.031007751937984496
2002-08-21,65.75,67.25,65.5250015258789,66.125,48.01951599121094,99124,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.02632580593591914
2002-08-22,67.0,67.0,65.69999694824219,65.94999694824219,47.89243698120117,27800,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.019786957566861718
2002-08-23,66.5,68.4000015258789,65.80000305175781,68.17500305175781,49.508209228515625,124192,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.03951365278928564
2002-08-26,69.8499984741211,70.0,66.0,68.19999694824219,49.52637481689453,40086,MAHSEAMLES,Basic Materials,Steel,N/A,EQUITY,0.0077,,8.391,70.99,0.06060606060606061
