Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2008-01-08,175.3000030517578,212.0,161.6999969482422,164.6999969482422,77.90828704833984,22042252,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.31106990724222533
2008-01-09,166.8000030517578,172.8000030517578,154.25,155.25,73.43812561035156,5104081,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.12025933907136345
2008-01-10,158.75,171.5,152.14999389648438,154.9499969482422,73.29621887207031,7501937,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.1271771730512224
2008-01-11,155.1999969482422,156.4499969482422,141.0500030517578,143.1999969482422,67.73809814453125,1760990,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.10918109580496357
2008-01-14,143.4499969482422,153.5,139.0,141.35000610351562,66.86298370361328,1515189,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.10431654676258993
2008-01-15,143.0,147.8000030517578,137.5500030517578,138.5500030517578,65.53850555419922,721823,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.074518355307801
2008-01-16,138.0,138.0,126.75,130.60000610351562,61.77791213989258,803686,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.08875739644970414
2008-01-17,134.0,154.0,129.0,148.0,70.00865173339844,5203805,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.1937984496124031
2008-01-18,145.0,148.39999389648438,130.9499969482422,133.5,63.14971923828125,1672825,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.13325694810927927
2008-01-21,133.0,133.0,106.80000305175781,108.0,51.08740234375,804568,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.2453183164755627
2008-01-22,99.0,99.0,87.0,92.4000015258789,43.708106994628906,294572,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.13793103448275862
2008-01-23,100.0,105.0,93.0,97.5999984741211,46.16786575317383,362831,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.12903225806451613
2008-01-24,101.0,103.9000015258789,90.1500015258789,91.5,43.282371520996094,275839,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.1525235692431226
2008-01-25,95.0,99.0,88.5,96.25,45.529273986816406,367339,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.11864406779661017
2008-01-28,93.5,105.0,84.94999694824219,101.44999694824219,47.98903274536133,476091,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.23602123333769812
2008-01-29,103.0,105.4000015258789,99.0999984741211,100.8499984741211,47.705223083496094,230106,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.06357218111767167
2008-01-30,103.6500015258789,103.6500015258789,96.0,97.0,45.88404846191406,148156,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.07968751589457194
2008-01-31,95.0999984741211,98.0,93.0,93.80000305175781,44.37035369873047,156878,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.053763440860215055
2008-02-01,96.0,96.9000015258789,92.0,94.3499984741211,44.63051986694336,124031,MANAKSIA,Industrials,Metal Fabrication,N/A,EQUITY,0.061,12.81,4.897,11.53,0.053260886150857674
